n,hablante,vid,veredicto_visual,url
1,Paulina Cocina,8RsYZSrc_5U,1_cara,https://www.youtube.com/watch?v=8RsYZSrc_5U
1,Paulina Cocina,Xze2Ei35cgw,1_cara,https://www.youtube.com/watch?v=Xze2Ei35cgw
5,Martin Garabal,yjDsqrLkrVQ,1_cara,https://www.youtube.com/watch?v=yjDsqrLkrVQ
6,Grego Rosello,4uJA-EFzw6U,1_cara,https://www.youtube.com/watch?v=4uJA-EFzw6U
7,Connie Ballarini,CkTE3kFrFtE,escenario_lejos,https://www.youtube.com/watch?v=CkTE3kFrFtE
7,Connie Ballarini,7CpBXrXjK8M,escenario_lejos,https://www.youtube.com/watch?v=7CpBXrXjK8M
7,Connie Ballarini,xI5EFJfDGuM,escenario_lejos,https://www.youtube.com/watch?v=xI5EFJfDGuM
8,Dalia Gutmann,Wj5WU2XUc3E,escenario_lejos,https://www.youtube.com/watch?v=Wj5WU2XUc3E
8,Dalia Gutmann,L1uvbztbuNA,escenario_lejos,https://www.youtube.com/watch?v=L1uvbztbuNA
10,Fernando Sanjiao,HxbDNIhQ4xU,escenario_lejos,https://www.youtube.com/watch?v=HxbDNIhQ4xU
12,Momo (Martin Perez Disalvo),bHgHSwZ5WuI,1_cara,https://www.youtube.com/watch?v=bHgHSwZ5WuI
12,Momo (Martin Perez Disalvo),8gmmZCVFNeI,1_cara,https://www.youtube.com/watch?v=8gmmZCVFNeI
12,Momo (Martin Perez Disalvo),BZHBw9Ik9m8,1_cara,https://www.youtube.com/watch?v=BZHBw9Ik9m8
13,Spreen (Ivan Buhajeruk),cBHIgr8c7NE,1_cara,https://www.youtube.com/watch?v=cBHIgr8c7NE
13,Spreen (Ivan Buhajeruk),VvxAx6TOp14,1_cara,https://www.youtube.com/watch?v=VvxAx6TOp14
13,Spreen (Ivan Buhajeruk),h3T8iCWFyFY,1_cara,https://www.youtube.com/watch?v=h3T8iCWFyFY
16,Ivana Nadal,cAg1TdyPXB4,1_cara,https://www.youtube.com/watch?v=cAg1TdyPXB4
16,Ivana Nadal,y_EuaU5TJYw,1_cara,https://www.youtube.com/watch?v=y_EuaU5TJYw
18,Cande Molfese,Y78Um4C7_H0,1_cara,https://www.youtube.com/watch?v=Y78Um4C7_H0
23,Eial Moldavsky,5g_wB3UdqA8,1_cara,https://www.youtube.com/watch?v=5g_wB3UdqA8
27,Pedro Rosemblat,8Fu9ErL-SYI,1_cara,https://www.youtube.com/watch?v=8Fu9ErL-SYI
39,La Faraona (Tipa)/creadora redes,1u0X-HjoA1Q,1_cara,https://www.youtube.com/watch?v=1u0X-HjoA1Q
39,La Faraona (Tipa)/creadora redes,roAx3VZapic,1_cara,https://www.youtube.com/watch?v=roAx3VZapic
39,La Faraona (Tipa)/creadora redes,SXNZlRmLjpY,1_cara,https://www.youtube.com/watch?v=SXNZlRmLjpY
42,Davoo Xeneize (tramos nuevos),3XArtmmBddg,1_cara,https://www.youtube.com/watch?v=3XArtmmBddg
42,Davoo Xeneize (tramos nuevos),zrrQwFEMLr8,1_cara,https://www.youtube.com/watch?v=zrrQwFEMLr8
42,Davoo Xeneize (tramos nuevos),Ro3YT5fJd9c,1_cara,https://www.youtube.com/watch?v=Ro3YT5fJd9c
43,Roberto Moldavsky,ArsO8FB9coQ,1_cara,https://www.youtube.com/watch?v=ArsO8FB9coQ
44,Ronnie Arias,LnmJcWJG3WQ,sin_lamina,https://www.youtube.com/watch?v=LnmJcWJG3WQ
45,Pichu Straneo,S0aUTzz362I,1_cara,https://www.youtube.com/watch?v=S0aUTzz362I
48,Cami Mayan,BvwlcIkG1WE,1_cara,https://www.youtube.com/watch?v=BvwlcIkG1WE
48,Cami Mayan,U4atsVpbwsc,1_cara,https://www.youtube.com/watch?v=U4atsVpbwsc
