job_id,video_id,part_id,prompt_md_path,expected_raw_output_path,main_clips,context_clips,estimated_chars,status,notes
video_h3HtBhArO1Q__part_008,h3HtBhArO1Q,part_008,data_cleaning_clean_v1\manual_gpt_handoff\jobs\video_h3HtBhArO1Q__part_008.md,data_cleaning_clean_v1\raw_outputs\video_h3HtBhArO1Q__part_008_raw.jsonl,7,3,12003,pending_manual,
video_eqw0QM4A0oA__part_003,eqw0QM4A0oA,part_003,data_cleaning_clean_v1\manual_gpt_handoff\jobs\video_eqw0QM4A0oA__part_003.md,data_cleaning_clean_v1\raw_outputs\video_eqw0QM4A0oA__part_003_raw.jsonl,7,3,12336,pending_manual,
video_q94HfK07DjI__part_002,q94HfK07DjI,part_002,data_cleaning_clean_v1\manual_gpt_handoff\jobs\video_q94HfK07DjI__part_002.md,data_cleaning_clean_v1\raw_outputs\video_q94HfK07DjI__part_002_raw.jsonl,10,3,13005,pending_manual,
video_VpCoTQ9073o__part_002,VpCoTQ9073o,part_002,data_cleaning_clean_v1\manual_gpt_handoff\jobs\video_VpCoTQ9073o__part_002.md,data_cleaning_clean_v1\raw_outputs\video_VpCoTQ9073o__part_002_raw.jsonl,9,3,15655,pending_manual,
video_OrwtPwftIi4__part_004,OrwtPwftIi4,part_004,data_cleaning_clean_v1\manual_gpt_handoff\jobs\video_OrwtPwftIi4__part_004.md,data_cleaning_clean_v1\raw_outputs\video_OrwtPwftIi4__part_004_raw.jsonl,18,3,19303,pending_manual,
video_YYIVFA000BI__part_005,YYIVFA000BI,part_005,data_cleaning_clean_v1\manual_gpt_handoff\jobs\video_YYIVFA000BI__part_005.md,data_cleaning_clean_v1\raw_outputs\video_YYIVFA000BI__part_005_raw.jsonl,26,3,23062,pending_manual,
video_EhYznjqlcKY__part_002,EhYznjqlcKY,part_002,data_cleaning_clean_v1\manual_gpt_handoff\jobs\video_EhYznjqlcKY__part_002.md,data_cleaning_clean_v1\raw_outputs\video_EhYznjqlcKY__part_002_raw.jsonl,34,3,34776,pending_manual,
video_j4x2GC1Ztro__part_004,j4x2GC1Ztro,part_004,data_cleaning_clean_v1\manual_gpt_handoff\jobs\video_j4x2GC1Ztro__part_004.md,data_cleaning_clean_v1\raw_outputs\video_j4x2GC1Ztro__part_004_raw.jsonl,65,3,57528,pending_manual,
video_ITovsJg-q5c__part_006,ITovsJg-q5c,part_006,data_cleaning_clean_v1\manual_gpt_handoff\jobs\video_ITovsJg-q5c__part_006.md,data_cleaning_clean_v1\raw_outputs\video_ITovsJg-q5c__part_006_raw.jsonl,79,3,64496,pending_manual,
video_jgp8WZvtkWU__part_004,jgp8WZvtkWU,part_004,data_cleaning_clean_v1\manual_gpt_handoff\jobs\video_jgp8WZvtkWU__part_004.md,data_cleaning_clean_v1\raw_outputs\video_jgp8WZvtkWU__part_004_raw.jsonl,92,3,75278,pending_manual,
video_FhPgg2-hIDU__part_001,FhPgg2-hIDU,part_001,data_cleaning_clean_v1\manual_gpt_handoff\jobs\video_FhPgg2-hIDU__part_001.md,data_cleaning_clean_v1\raw_outputs\video_FhPgg2-hIDU__part_001_raw.jsonl,82,3,110629,pending_manual,
video_qEKPgqURvo0__part_004,qEKPgqURvo0,part_004,data_cleaning_clean_v1\manual_gpt_handoff\jobs\video_qEKPgqURvo0__part_004.md,data_cleaning_clean_v1\raw_outputs\video_qEKPgqURvo0__part_004_raw.jsonl,175,3,129246,pending_manual,
video_WMk6afYRfKM__part_004,WMk6afYRfKM,part_004,data_cleaning_clean_v1\manual_gpt_handoff\jobs\video_WMk6afYRfKM__part_004.md,data_cleaning_clean_v1\raw_outputs\video_WMk6afYRfKM__part_004_raw.jsonl,155,3,129597,pending_manual,
video_EKVYAG_I44g__part_001,EKVYAG_I44g,part_001,data_cleaning_clean_v1\manual_gpt_handoff\jobs\video_EKVYAG_I44g__part_001.md,data_cleaning_clean_v1\raw_outputs\video_EKVYAG_I44g__part_001_raw.jsonl,129,3,135330,pending_manual,
video_Z-t-GNlxpYc__part_003,Z-t-GNlxpYc,part_003,data_cleaning_clean_v1\manual_gpt_handoff\jobs\video_Z-t-GNlxpYc__part_003.md,data_cleaning_clean_v1\raw_outputs\video_Z-t-GNlxpYc__part_003_raw.jsonl,184,3,135835,pending_manual,
video_EuSM3LscaWI__part_002,EuSM3LscaWI,part_002,data_cleaning_clean_v1\manual_gpt_handoff\jobs\video_EuSM3LscaWI__part_002.md,data_cleaning_clean_v1\raw_outputs\video_EuSM3LscaWI__part_002_raw.jsonl,179,3,142502,pending_manual,
video_JixCyhEGE0A__part_002,JixCyhEGE0A,part_002,data_cleaning_clean_v1\manual_gpt_handoff\jobs\video_JixCyhEGE0A__part_002.md,data_cleaning_clean_v1\raw_outputs\video_JixCyhEGE0A__part_002_raw.jsonl,181,3,154730,pending_manual,
video_PRQEkiIWps0__part_001,PRQEkiIWps0,part_001,data_cleaning_clean_v1\manual_gpt_handoff\jobs\video_PRQEkiIWps0__part_001.md,data_cleaning_clean_v1\raw_outputs\video_PRQEkiIWps0__part_001_raw.jsonl,203,3,157903,pending_manual,
video_ChceWp7jwCA__part_002,ChceWp7jwCA,part_002,data_cleaning_clean_v1\manual_gpt_handoff\jobs\video_ChceWp7jwCA__part_002.md,data_cleaning_clean_v1\raw_outputs\video_ChceWp7jwCA__part_002_raw.jsonl,156,6,160613,pending_manual,
video_WMk6afYRfKM__part_003,WMk6afYRfKM,part_003,data_cleaning_clean_v1\manual_gpt_handoff\jobs\video_WMk6afYRfKM__part_003.md,data_cleaning_clean_v1\raw_outputs\video_WMk6afYRfKM__part_003_raw.jsonl,188,6,160835,pending_manual,
video_qEKPgqURvo0__part_000,qEKPgqURvo0,part_000,data_cleaning_clean_v1\manual_gpt_handoff\jobs\video_qEKPgqURvo0__part_000.md,data_cleaning_clean_v1\raw_outputs\video_qEKPgqURvo0__part_000_raw.jsonl,226,3,160903,pending_manual,
video_VpCoTQ9073o__part_001,VpCoTQ9073o,part_001,data_cleaning_clean_v1\manual_gpt_handoff\jobs\video_VpCoTQ9073o__part_001.md,data_cleaning_clean_v1\raw_outputs\video_VpCoTQ9073o__part_001_raw.jsonl,154,6,160950,pending_manual,
video_OrwtPwftIi4__part_000,OrwtPwftIi4,part_000,data_cleaning_clean_v1\manual_gpt_handoff\jobs\video_OrwtPwftIi4__part_000.md,data_cleaning_clean_v1\raw_outputs\video_OrwtPwftIi4__part_000_raw.jsonl,215,3,160993,pending_manual,
video_OrwtPwftIi4__part_001,OrwtPwftIi4,part_001,data_cleaning_clean_v1\manual_gpt_handoff\jobs\video_OrwtPwftIi4__part_001.md,data_cleaning_clean_v1\raw_outputs\video_OrwtPwftIi4__part_001_raw.jsonl,213,6,161011,pending_manual,
video_WMk6afYRfKM__part_000,WMk6afYRfKM,part_000,data_cleaning_clean_v1\manual_gpt_handoff\jobs\video_WMk6afYRfKM__part_000.md,data_cleaning_clean_v1\raw_outputs\video_WMk6afYRfKM__part_000_raw.jsonl,190,3,161074,pending_manual,
video_ChceWp7jwCA__part_001,ChceWp7jwCA,part_001,data_cleaning_clean_v1\manual_gpt_handoff\jobs\video_ChceWp7jwCA__part_001.md,data_cleaning_clean_v1\raw_outputs\video_ChceWp7jwCA__part_001_raw.jsonl,156,6,161080,pending_manual,
video_q94HfK07DjI__part_001,q94HfK07DjI,part_001,data_cleaning_clean_v1\manual_gpt_handoff\jobs\video_q94HfK07DjI__part_001.md,data_cleaning_clean_v1\raw_outputs\video_q94HfK07DjI__part_001_raw.jsonl,220,6,161087,pending_manual,
video_JixCyhEGE0A__part_000,JixCyhEGE0A,part_000,data_cleaning_clean_v1\manual_gpt_handoff\jobs\video_JixCyhEGE0A__part_000.md,data_cleaning_clean_v1\raw_outputs\video_JixCyhEGE0A__part_000_raw.jsonl,187,3,161109,pending_manual,
video_YYIVFA000BI__part_002,YYIVFA000BI,part_002,data_cleaning_clean_v1\manual_gpt_handoff\jobs\video_YYIVFA000BI__part_002.md,data_cleaning_clean_v1\raw_outputs\video_YYIVFA000BI__part_002_raw.jsonl,224,6,161129,pending_manual,
video_OrwtPwftIi4__part_003,OrwtPwftIi4,part_003,data_cleaning_clean_v1\manual_gpt_handoff\jobs\video_OrwtPwftIi4__part_003.md,data_cleaning_clean_v1\raw_outputs\video_OrwtPwftIi4__part_003_raw.jsonl,209,6,161161,pending_manual,
video_EuSM3LscaWI__part_001,EuSM3LscaWI,part_001,data_cleaning_clean_v1\manual_gpt_handoff\jobs\video_EuSM3LscaWI__part_001.md,data_cleaning_clean_v1\raw_outputs\video_EuSM3LscaWI__part_001_raw.jsonl,195,6,161181,pending_manual,
video_WMk6afYRfKM__part_001,WMk6afYRfKM,part_001,data_cleaning_clean_v1\manual_gpt_handoff\jobs\video_WMk6afYRfKM__part_001.md,data_cleaning_clean_v1\raw_outputs\video_WMk6afYRfKM__part_001_raw.jsonl,187,6,161233,pending_manual,
video_VpCoTQ9073o__part_000,VpCoTQ9073o,part_000,data_cleaning_clean_v1\manual_gpt_handoff\jobs\video_VpCoTQ9073o__part_000.md,data_cleaning_clean_v1\raw_outputs\video_VpCoTQ9073o__part_000_raw.jsonl,154,3,161295,pending_manual,
video_WMk6afYRfKM__part_002,WMk6afYRfKM,part_002,data_cleaning_clean_v1\manual_gpt_handoff\jobs\video_WMk6afYRfKM__part_002.md,data_cleaning_clean_v1\raw_outputs\video_WMk6afYRfKM__part_002_raw.jsonl,190,6,161320,pending_manual,
video_EKVYAG_I44g__part_000,EKVYAG_I44g,part_000,data_cleaning_clean_v1\manual_gpt_handoff\jobs\video_EKVYAG_I44g__part_000.md,data_cleaning_clean_v1\raw_outputs\video_EKVYAG_I44g__part_000_raw.jsonl,152,3,161328,pending_manual,
video_jgp8WZvtkWU__part_003,jgp8WZvtkWU,part_003,data_cleaning_clean_v1\manual_gpt_handoff\jobs\video_jgp8WZvtkWU__part_003.md,data_cleaning_clean_v1\raw_outputs\video_jgp8WZvtkWU__part_003_raw.jsonl,206,6,161336,pending_manual,
video_ChceWp7jwCA__part_003,ChceWp7jwCA,part_003,data_cleaning_clean_v1\manual_gpt_handoff\jobs\video_ChceWp7jwCA__part_003.md,data_cleaning_clean_v1\raw_outputs\video_ChceWp7jwCA__part_003_raw.jsonl,157,6,161344,pending_manual,
video_ChceWp7jwCA__part_004,ChceWp7jwCA,part_004,data_cleaning_clean_v1\manual_gpt_handoff\jobs\video_ChceWp7jwCA__part_004.md,data_cleaning_clean_v1\raw_outputs\video_ChceWp7jwCA__part_004_raw.jsonl,161,3,161361,pending_manual,
video_ChceWp7jwCA__part_000,ChceWp7jwCA,part_000,data_cleaning_clean_v1\manual_gpt_handoff\jobs\video_ChceWp7jwCA__part_000.md,data_cleaning_clean_v1\raw_outputs\video_ChceWp7jwCA__part_000_raw.jsonl,156,3,161374,pending_manual,
video_PRQEkiIWps0__part_000,PRQEkiIWps0,part_000,data_cleaning_clean_v1\manual_gpt_handoff\jobs\video_PRQEkiIWps0__part_000.md,data_cleaning_clean_v1\raw_outputs\video_PRQEkiIWps0__part_000_raw.jsonl,201,3,161374,pending_manual,
video_EhYznjqlcKY__part_000,EhYznjqlcKY,part_000,data_cleaning_clean_v1\manual_gpt_handoff\jobs\video_EhYznjqlcKY__part_000.md,data_cleaning_clean_v1\raw_outputs\video_EhYznjqlcKY__part_000_raw.jsonl,179,3,161397,pending_manual,
video_qEKPgqURvo0__part_002,qEKPgqURvo0,part_002,data_cleaning_clean_v1\manual_gpt_handoff\jobs\video_qEKPgqURvo0__part_002.md,data_cleaning_clean_v1\raw_outputs\video_qEKPgqURvo0__part_002_raw.jsonl,218,6,161410,pending_manual,
video_OrwtPwftIi4__part_002,OrwtPwftIi4,part_002,data_cleaning_clean_v1\manual_gpt_handoff\jobs\video_OrwtPwftIi4__part_002.md,data_cleaning_clean_v1\raw_outputs\video_OrwtPwftIi4__part_002_raw.jsonl,213,6,161426,pending_manual,
video_EuSM3LscaWI__part_000,EuSM3LscaWI,part_000,data_cleaning_clean_v1\manual_gpt_handoff\jobs\video_EuSM3LscaWI__part_000.md,data_cleaning_clean_v1\raw_outputs\video_EuSM3LscaWI__part_000_raw.jsonl,197,3,161430,pending_manual,
video_qEKPgqURvo0__part_003,qEKPgqURvo0,part_003,data_cleaning_clean_v1\manual_gpt_handoff\jobs\video_qEKPgqURvo0__part_003.md,data_cleaning_clean_v1\raw_outputs\video_qEKPgqURvo0__part_003_raw.jsonl,219,6,161450,pending_manual,
video_YYIVFA000BI__part_000,YYIVFA000BI,part_000,data_cleaning_clean_v1\manual_gpt_handoff\jobs\video_YYIVFA000BI__part_000.md,data_cleaning_clean_v1\raw_outputs\video_YYIVFA000BI__part_000_raw.jsonl,223,3,161461,pending_manual,
video_eqw0QM4A0oA__part_001,eqw0QM4A0oA,part_001,data_cleaning_clean_v1\manual_gpt_handoff\jobs\video_eqw0QM4A0oA__part_001.md,data_cleaning_clean_v1\raw_outputs\video_eqw0QM4A0oA__part_001_raw.jsonl,188,6,161471,pending_manual,
video_YYIVFA000BI__part_003,YYIVFA000BI,part_003,data_cleaning_clean_v1\manual_gpt_handoff\jobs\video_YYIVFA000BI__part_003.md,data_cleaning_clean_v1\raw_outputs\video_YYIVFA000BI__part_003_raw.jsonl,232,6,161475,pending_manual,
video_Z-t-GNlxpYc__part_002,Z-t-GNlxpYc,part_002,data_cleaning_clean_v1\manual_gpt_handoff\jobs\video_Z-t-GNlxpYc__part_002.md,data_cleaning_clean_v1\raw_outputs\video_Z-t-GNlxpYc__part_002_raw.jsonl,208,6,161481,pending_manual,
video_EhYznjqlcKY__part_001,EhYznjqlcKY,part_001,data_cleaning_clean_v1\manual_gpt_handoff\jobs\video_EhYznjqlcKY__part_001.md,data_cleaning_clean_v1\raw_outputs\video_EhYznjqlcKY__part_001_raw.jsonl,179,6,161494,pending_manual,
video_ITovsJg-q5c__part_000,ITovsJg-q5c,part_000,data_cleaning_clean_v1\manual_gpt_handoff\jobs\video_ITovsJg-q5c__part_000.md,data_cleaning_clean_v1\raw_outputs\video_ITovsJg-q5c__part_000_raw.jsonl,197,3,161522,pending_manual,
video_eqw0QM4A0oA__part_002,eqw0QM4A0oA,part_002,data_cleaning_clean_v1\manual_gpt_handoff\jobs\video_eqw0QM4A0oA__part_002.md,data_cleaning_clean_v1\raw_outputs\video_eqw0QM4A0oA__part_002_raw.jsonl,182,6,161527,pending_manual,
video_YYIVFA000BI__part_001,YYIVFA000BI,part_001,data_cleaning_clean_v1\manual_gpt_handoff\jobs\video_YYIVFA000BI__part_001.md,data_cleaning_clean_v1\raw_outputs\video_YYIVFA000BI__part_001_raw.jsonl,228,6,161557,pending_manual,
video_eqw0QM4A0oA__part_000,eqw0QM4A0oA,part_000,data_cleaning_clean_v1\manual_gpt_handoff\jobs\video_eqw0QM4A0oA__part_000.md,data_cleaning_clean_v1\raw_outputs\video_eqw0QM4A0oA__part_000_raw.jsonl,192,3,161562,pending_manual,
video_ITovsJg-q5c__part_001,ITovsJg-q5c,part_001,data_cleaning_clean_v1\manual_gpt_handoff\jobs\video_ITovsJg-q5c__part_001.md,data_cleaning_clean_v1\raw_outputs\video_ITovsJg-q5c__part_001_raw.jsonl,208,6,161566,pending_manual,
video_YYIVFA000BI__part_004,YYIVFA000BI,part_004,data_cleaning_clean_v1\manual_gpt_handoff\jobs\video_YYIVFA000BI__part_004.md,data_cleaning_clean_v1\raw_outputs\video_YYIVFA000BI__part_004_raw.jsonl,225,6,161575,pending_manual,
video_h3HtBhArO1Q__part_005,h3HtBhArO1Q,part_005,data_cleaning_clean_v1\manual_gpt_handoff\jobs\video_h3HtBhArO1Q__part_005.md,data_cleaning_clean_v1\raw_outputs\video_h3HtBhArO1Q__part_005_raw.jsonl,197,6,161584,pending_manual,
video_jgp8WZvtkWU__part_002,jgp8WZvtkWU,part_002,data_cleaning_clean_v1\manual_gpt_handoff\jobs\video_jgp8WZvtkWU__part_002.md,data_cleaning_clean_v1\raw_outputs\video_jgp8WZvtkWU__part_002_raw.jsonl,202,6,161627,pending_manual,
video_Z-t-GNlxpYc__part_001,Z-t-GNlxpYc,part_001,data_cleaning_clean_v1\manual_gpt_handoff\jobs\video_Z-t-GNlxpYc__part_001.md,data_cleaning_clean_v1\raw_outputs\video_Z-t-GNlxpYc__part_001_raw.jsonl,204,6,161632,pending_manual,
video_h3HtBhArO1Q__part_006,h3HtBhArO1Q,part_006,data_cleaning_clean_v1\manual_gpt_handoff\jobs\video_h3HtBhArO1Q__part_006.md,data_cleaning_clean_v1\raw_outputs\video_h3HtBhArO1Q__part_006_raw.jsonl,197,6,161678,pending_manual,
video_ITovsJg-q5c__part_003,ITovsJg-q5c,part_003,data_cleaning_clean_v1\manual_gpt_handoff\jobs\video_ITovsJg-q5c__part_003.md,data_cleaning_clean_v1\raw_outputs\video_ITovsJg-q5c__part_003_raw.jsonl,205,6,161679,pending_manual,
video_h3HtBhArO1Q__part_007,h3HtBhArO1Q,part_007,data_cleaning_clean_v1\manual_gpt_handoff\jobs\video_h3HtBhArO1Q__part_007.md,data_cleaning_clean_v1\raw_outputs\video_h3HtBhArO1Q__part_007_raw.jsonl,198,6,161707,pending_manual,
video_q94HfK07DjI__part_000,q94HfK07DjI,part_000,data_cleaning_clean_v1\manual_gpt_handoff\jobs\video_q94HfK07DjI__part_000.md,data_cleaning_clean_v1\raw_outputs\video_q94HfK07DjI__part_000_raw.jsonl,222,3,161732,pending_manual,
video_JixCyhEGE0A__part_001,JixCyhEGE0A,part_001,data_cleaning_clean_v1\manual_gpt_handoff\jobs\video_JixCyhEGE0A__part_001.md,data_cleaning_clean_v1\raw_outputs\video_JixCyhEGE0A__part_001_raw.jsonl,184,6,161755,pending_manual,
video_ITovsJg-q5c__part_004,ITovsJg-q5c,part_004,data_cleaning_clean_v1\manual_gpt_handoff\jobs\video_ITovsJg-q5c__part_004.md,data_cleaning_clean_v1\raw_outputs\video_ITovsJg-q5c__part_004_raw.jsonl,208,6,161766,pending_manual,
video_Z-t-GNlxpYc__part_000,Z-t-GNlxpYc,part_000,data_cleaning_clean_v1\manual_gpt_handoff\jobs\video_Z-t-GNlxpYc__part_000.md,data_cleaning_clean_v1\raw_outputs\video_Z-t-GNlxpYc__part_000_raw.jsonl,209,3,161807,pending_manual,
video_h3HtBhArO1Q__part_003,h3HtBhArO1Q,part_003,data_cleaning_clean_v1\manual_gpt_handoff\jobs\video_h3HtBhArO1Q__part_003.md,data_cleaning_clean_v1\raw_outputs\video_h3HtBhArO1Q__part_003_raw.jsonl,198,6,161820,pending_manual,
video_j4x2GC1Ztro__part_002,j4x2GC1Ztro,part_002,data_cleaning_clean_v1\manual_gpt_handoff\jobs\video_j4x2GC1Ztro__part_002.md,data_cleaning_clean_v1\raw_outputs\video_j4x2GC1Ztro__part_002_raw.jsonl,187,6,161826,pending_manual,
video_h3HtBhArO1Q__part_000,h3HtBhArO1Q,part_000,data_cleaning_clean_v1\manual_gpt_handoff\jobs\video_h3HtBhArO1Q__part_000.md,data_cleaning_clean_v1\raw_outputs\video_h3HtBhArO1Q__part_000_raw.jsonl,195,3,161827,pending_manual,
video_ITovsJg-q5c__part_005,ITovsJg-q5c,part_005,data_cleaning_clean_v1\manual_gpt_handoff\jobs\video_ITovsJg-q5c__part_005.md,data_cleaning_clean_v1\raw_outputs\video_ITovsJg-q5c__part_005_raw.jsonl,204,6,161842,pending_manual,
video_qEKPgqURvo0__part_001,qEKPgqURvo0,part_001,data_cleaning_clean_v1\manual_gpt_handoff\jobs\video_qEKPgqURvo0__part_001.md,data_cleaning_clean_v1\raw_outputs\video_qEKPgqURvo0__part_001_raw.jsonl,220,6,161884,pending_manual,
video_FhPgg2-hIDU__part_000,FhPgg2-hIDU,part_000,data_cleaning_clean_v1\manual_gpt_handoff\jobs\video_FhPgg2-hIDU__part_000.md,data_cleaning_clean_v1\raw_outputs\video_FhPgg2-hIDU__part_000_raw.jsonl,121,3,161918,pending_manual,
video_h3HtBhArO1Q__part_001,h3HtBhArO1Q,part_001,data_cleaning_clean_v1\manual_gpt_handoff\jobs\video_h3HtBhArO1Q__part_001.md,data_cleaning_clean_v1\raw_outputs\video_h3HtBhArO1Q__part_001_raw.jsonl,192,6,161932,pending_manual,
video_ITovsJg-q5c__part_002,ITovsJg-q5c,part_002,data_cleaning_clean_v1\manual_gpt_handoff\jobs\video_ITovsJg-q5c__part_002.md,data_cleaning_clean_v1\raw_outputs\video_ITovsJg-q5c__part_002_raw.jsonl,207,6,161943,pending_manual,
