url,title,channel,video_id,duration_minutes,width,height,fps,source_type,expected_accent,visual_quality_score,audio_quality_score,context_score,total_score,visual_decision,audio_decision,decision,reasons,recommended_use,usable_minutes_estimate,accepted_clips_estimate,uncertainty
https://www.youtube.com/watch?v=yJxDKBgw5NU,"Santiago Cafiero, mano a mano en TN: ""Es una decisión sanitaria, no política""",Todo Noticias,yJxDKBgw5NU,23.817,640,360,25,interview,argentino/rioplatense_probable,100.0,92.28,98.0,97.28,strong_accept,strong_accept,strong_accept,audio_proxy_alto|audio_score_sobre_threshold|formato_interview|formato_largo|fuente_argentina_probable|speaker_count_usable|total_score_alto|visual_proxy_alto|visual_score_sobre_threshold|asr_espanol_y_habla_confirmados,ingest_full,20.65,248.0,low
https://www.youtube.com/watch?v=OrwtPwftIi4,🎤 Curso de Oratoria con Daniel Colombo | 100% Práctico,Daniel Colombo,OrwtPwftIi4,88.483,492,360,25,educational,argentino/rioplatense_probable,96.32,96.67,98.0,96.76,strong_accept,strong_accept,strong_accept,audio_proxy_alto|audio_score_sobre_threshold|formato_educational|formato_largo|fuente_argentina_probable|speaker_count_usable|total_score_alto|visual_proxy_alto|visual_score_sobre_threshold|asr_espanol_y_habla_confirmados|source_cap_applied_partial,ingest_partial,60,1023.0,low
https://www.youtube.com/watch?v=qEKPgqURvo0,REBORD - PERETTI | HAY ALGO AHÍ | BLENDER,BLENDER,qEKPgqURvo0,105.867,640,360,30,streamer,argentino/rioplatense_probable,98.2,85.2,98.0,94.26,strong_accept,accept,strong_accept,audio_proxy_alto|audio_proxy_intermedio|audio_proxy_suficiente|audio_score_sobre_threshold|formato_largo|formato_streamer|fuente_argentina_probable|speaker_count_usable|total_score_alto|visual_proxy_alto|visual_score_sobre_threshold|asr_espanol_y_habla_confirmados|source_cap_applied_partial,ingest_partial,60,822.0,low
https://www.youtube.com/watch?v=JixCyhEGE0A,Javier Milei en TN I Entrevista completa del 30/06/2024,Todo Noticias,JixCyhEGE0A,55.267,640,360,25,interview,argentino/rioplatense_probable,90.3,95.72,98.0,93.47,strong_accept,strong_accept,strong_accept,audio_proxy_alto|audio_score_sobre_threshold|formato_interview|formato_largo|fuente_argentina_probable|scene_cut_proxy_alto|speaker_count_usable|total_score_alto|visual_proxy_alto|visual_score_sobre_threshold|asr_espanol_y_habla_confirmados,ingest_full,37.76,453.0,low
https://www.youtube.com/watch?v=vDNy6EN7bIY,¿Cómo es el ESPAÑOL ARGENTINO FORMAL? - Argento Podcast #44,Spanish with Nico,vDNy6EN7bIY,13.55,640,360,30,podcast,argentino/rioplatense_probable,96.1,90.0,88.0,92.65,strong_accept,strong_accept,strong_accept,audio_proxy_alto|audio_score_sobre_threshold|formato_podcast|fuente_argentina_probable|speaker_count_usable|total_score_alto|visual_proxy_alto|visual_score_sobre_threshold|asr_espanol_y_habla_confirmados,ingest_full,13.02,156.0,low
https://www.youtube.com/watch?v=R3f0x1IJvhI,"GUILLERMO FRANCELLA, UN LUJO COMO PRIMER INVITADO DE OTRO DÍA PERDIDO || ENTREVISTA COMPLETA",eltrece,R3f0x1IJvhI,29.35,640,360,25,interview,argentino/rioplatense_probable,86.12,98.43,98.0,92.19,accept,strong_accept,strong_accept,audio_proxy_alto|audio_score_sobre_threshold|formato_interview|formato_largo|fuente_argentina_probable|scene_cut_proxy_alto|speaker_count_usable|total_score_alto|visual_score_sobre_threshold|asr_espanol_y_habla_confirmados,ingest_full,21.32,256.0,low
https://www.youtube.com/watch?v=j4x2GC1Ztro,Mario Pergolini y un imperdible mano a mano con Andy Kusnetzoff | #Perros2022 Perros de la Calle,Urbana Play 104.3 FM,j4x2GC1Ztro,83.233,640,360,30,interview,argentino/rioplatense_probable,87.28,96.45,98.0,92.18,accept,strong_accept,strong_accept,audio_proxy_alto|audio_score_sobre_threshold|formato_interview|formato_largo|fuente_argentina_probable|scene_cut_proxy_alto|speaker_count_usable|total_score_alto|visual_score_sobre_threshold|asr_espanol_y_habla_confirmados,ingest_full,56.41,677.0,low
https://www.youtube.com/watch?v=Z-t-GNlxpYc,"Entrevista completa de Javier Milei con Luis Majul: ""Hemos pasado el momento bisagra""",LA NACION,Z-t-GNlxpYc,80.5,640,360,30,interview,argentino/rioplatense_probable,90.66,87.51,98.0,91.18,strong_accept,accept,strong_accept,audio_proxy_alto|audio_proxy_intermedio|audio_score_sobre_threshold|formato_interview|formato_largo|fuente_argentina_probable|scene_cut_proxy_alto|speaker_count_usable|total_score_alto|visual_proxy_alto|visual_score_sobre_threshold|asr_espanol_y_habla_confirmados,ingest_full,49.64,596.0,low
https://www.youtube.com/watch?v=ITovsJg-q5c,Cómo Amarse a uno Mismo y Tener Buena Salud Mental: Hábitos de Vida - Gabriel Rolón,Tengo un Plan,ITovsJg-q5c,130.833,640,360,25,podcast,argentino/rioplatense_probable,88.06,91.57,98.0,91.1,strong_accept,strong_accept,strong_accept,audio_proxy_alto|audio_score_sobre_threshold|formato_largo|formato_podcast|fuente_argentina_probable|scene_cut_proxy_alto|speaker_count_usable|total_score_alto|visual_score_sobre_threshold|asr_espanol_y_habla_confirmados|source_cap_applied_partial,ingest_partial,60,1341.0,low
https://www.youtube.com/watch?v=eqw0QM4A0oA,Taty Almeida | Bios Militantes con Julia Mengolini en #Segurola,Futurock FM,eqw0QM4A0oA,56.917,640,360,30,podcast,argentino/rioplatense_probable,87.56,90.0,98.0,90.38,accept,strong_accept,strong_accept,audio_proxy_alto|audio_score_sobre_threshold|formato_largo|formato_podcast|fuente_argentina_probable|scene_cut_proxy_alto|speaker_count_usable|total_score_alto|visual_score_sobre_threshold|asr_espanol_y_habla_confirmados,ingest_full,49.83,598.0,low
