rank,url,title,channel,decision,total_score,visual_quality_score,audio_quality_score,context_score,usable_minutes_estimate,accepted_clips_estimate,recommended_use,reasons,contact_sheet_path,notes
1,https://www.youtube.com/watch?v=yJxDKBgw5NU,"Santiago Cafiero, mano a mano en TN: ""Es una decisión sanitaria, no política""",Todo Noticias,strong_accept,97.28,100.0,92.28,98.0,20.65,248.0,ingest_full,audio_proxy_alto|audio_score_sobre_threshold|formato_interview|formato_largo|fuente_argentina_probable|speaker_count_usable|total_score_alto|visual_proxy_alto|visual_score_sobre_threshold|asr_espanol_y_habla_confirmados,data_discovery/outputs/contact_sheets/yJxDKBgw5NU.jpg,low
2,https://www.youtube.com/watch?v=OrwtPwftIi4,🎤 Curso de Oratoria con Daniel Colombo | 100% Práctico,Daniel Colombo,strong_accept,96.76,96.32,96.67,98.0,60,1023.0,ingest_partial,audio_proxy_alto|audio_score_sobre_threshold|formato_educational|formato_largo|fuente_argentina_probable|speaker_count_usable|total_score_alto|visual_proxy_alto|visual_score_sobre_threshold|asr_espanol_y_habla_confirmados|source_cap_applied_partial,data_discovery/outputs/contact_sheets/OrwtPwftIi4.jpg,low
3,https://www.youtube.com/watch?v=JixCyhEGE0A,Javier Milei en TN I Entrevista completa del 30/06/2024,Todo Noticias,strong_accept,93.47,90.3,95.72,98.0,37.76,453.0,ingest_full,audio_proxy_alto|audio_score_sobre_threshold|formato_interview|formato_largo|fuente_argentina_probable|scene_cut_proxy_alto|speaker_count_usable|total_score_alto|visual_proxy_alto|visual_score_sobre_threshold|asr_espanol_y_habla_confirmados,data_discovery/outputs/contact_sheets/JixCyhEGE0A.jpg,low
4,https://www.youtube.com/watch?v=vDNy6EN7bIY,¿Cómo es el ESPAÑOL ARGENTINO FORMAL? - Argento Podcast #44,Spanish with Nico,strong_accept,92.65,96.1,90.0,88.0,13.02,156.0,ingest_full,audio_proxy_alto|audio_score_sobre_threshold|formato_podcast|fuente_argentina_probable|speaker_count_usable|total_score_alto|visual_proxy_alto|visual_score_sobre_threshold|asr_espanol_y_habla_confirmados,data_discovery/outputs/contact_sheets/vDNy6EN7bIY.jpg,low
5,https://www.youtube.com/watch?v=R3f0x1IJvhI,"GUILLERMO FRANCELLA, UN LUJO COMO PRIMER INVITADO DE OTRO DÍA PERDIDO || ENTREVISTA COMPLETA",eltrece,strong_accept,92.19,86.12,98.43,98.0,21.32,256.0,ingest_full,audio_proxy_alto|audio_score_sobre_threshold|formato_interview|formato_largo|fuente_argentina_probable|scene_cut_proxy_alto|speaker_count_usable|total_score_alto|visual_score_sobre_threshold|asr_espanol_y_habla_confirmados,data_discovery/outputs/contact_sheets/R3f0x1IJvhI.jpg,low
6,https://www.youtube.com/watch?v=j4x2GC1Ztro,Mario Pergolini y un imperdible mano a mano con Andy Kusnetzoff | #Perros2022 Perros de la Calle,Urbana Play 104.3 FM,strong_accept,92.18,87.28,96.45,98.0,56.41,677.0,ingest_full,audio_proxy_alto|audio_score_sobre_threshold|formato_interview|formato_largo|fuente_argentina_probable|scene_cut_proxy_alto|speaker_count_usable|total_score_alto|visual_score_sobre_threshold|asr_espanol_y_habla_confirmados,data_discovery/outputs/contact_sheets/j4x2GC1Ztro.jpg,low
7,https://www.youtube.com/watch?v=Z-t-GNlxpYc,"Entrevista completa de Javier Milei con Luis Majul: ""Hemos pasado el momento bisagra""",LA NACION,strong_accept,91.18,90.66,87.51,98.0,49.64,596.0,ingest_full,audio_proxy_alto|audio_proxy_intermedio|audio_score_sobre_threshold|formato_interview|formato_largo|fuente_argentina_probable|scene_cut_proxy_alto|speaker_count_usable|total_score_alto|visual_proxy_alto|visual_score_sobre_threshold|asr_espanol_y_habla_confirmados,data_discovery/outputs/contact_sheets/Z-t-GNlxpYc.jpg,low
8,https://www.youtube.com/watch?v=ITovsJg-q5c,Cómo Amarse a uno Mismo y Tener Buena Salud Mental: Hábitos de Vida - Gabriel Rolón,Tengo un Plan,strong_accept,91.1,88.06,91.57,98.0,60,1341.0,ingest_partial,audio_proxy_alto|audio_score_sobre_threshold|formato_largo|formato_podcast|fuente_argentina_probable|scene_cut_proxy_alto|speaker_count_usable|total_score_alto|visual_score_sobre_threshold|asr_espanol_y_habla_confirmados|source_cap_applied_partial,data_discovery/outputs/contact_sheets/ITovsJg-q5c.jpg,low
9,https://www.youtube.com/watch?v=eqw0QM4A0oA,Taty Almeida | Bios Militantes con Julia Mengolini en #Segurola,Futurock FM,strong_accept,90.38,87.56,90.0,98.0,49.83,598.0,ingest_full,audio_proxy_alto|audio_score_sobre_threshold|formato_largo|formato_podcast|fuente_argentina_probable|scene_cut_proxy_alto|speaker_count_usable|total_score_alto|visual_score_sobre_threshold|asr_espanol_y_habla_confirmados,data_discovery/outputs/contact_sheets/eqw0QM4A0oA.jpg,low
10,https://www.youtube.com/watch?v=jgp8WZvtkWU,Martin Menem con Iván Schargrodsky en #OnTheRecord,Cenital,accept,90.69,95.53,77.77,98.0,60,748.0,ingest_partial,audio_proxy_intermedio|audio_proxy_suficiente|audio_score_sobre_threshold|formato_interview|formato_largo|fuente_argentina_probable|speaker_count_usable|total_score_alto|visual_proxy_alto|visual_score_sobre_threshold|asr_espanol_y_habla_confirmados|source_cap_applied_partial,data_discovery/outputs/contact_sheets/jgp8WZvtkWU.jpg,medium:samples_incompletos|audio_asr_confirmado
11,https://www.youtube.com/watch?v=h3HtBhArO1Q,El Método Rebord #56 - Andy Chango,El Método Rebord,accept,90.64,84.25,96.38,98.0,60,1228.0,ingest_partial,audio_proxy_alto|audio_score_sobre_threshold|black_frame_rate_alto|formato_largo|formato_podcast|fuente_argentina_probable|speaker_count_usable|total_score_alto|visual_score_sobre_threshold|asr_espanol_y_habla_confirmados|source_cap_applied_partial,data_discovery/outputs/contact_sheets/h3HtBhArO1Q.jpg,low
12,https://www.youtube.com/watch?v=sjnH4bTak9s,Obstáculos ideológicos en el empleo,Universidad Torcuato Di Tella,accept,88.85,82.07,94.06,98.0,9.13,110.0,ingest_full,audio_proxy_alto|audio_score_sobre_threshold|formato_interview|formato_largo|fuente_argentina_probable|scene_cut_proxy_alto|speaker_count_usable|total_score_alto|visual_score_sobre_threshold|asr_espanol_y_habla_confirmados,data_discovery/outputs/contact_sheets/sjnH4bTak9s.jpg,low
13,https://www.youtube.com/watch?v=EuSM3LscaWI,Marcos Galperin | La vida del emprendedor | Aprender de Grandes #072,Aprender de Grandes,accept,87.48,80.21,92.58,98.0,25.5,306.0,ingest_full,audio_proxy_alto|audio_score_sobre_threshold|face_detect_rate_bajo|formato_largo|formato_podcast|fuente_argentina_probable|speaker_count_usable|total_score_alto|visual_proxy_alto|visual_score_sobre_threshold|asr_espanol_y_habla_confirmados,data_discovery/outputs/contact_sheets/EuSM3LscaWI.jpg,low
14,https://www.youtube.com/watch?v=IGYG0Kn0wxo,ENTREVISTA: DIEGO TORRES,Congo,accept,86.56,91.29,94.39,63.0,31.17,374.0,ingest_full,audio_proxy_alto|audio_score_sobre_threshold|contexto_incierto|formato_a_evitar_keyword|formato_interview|formato_largo|fuente_argentina_probable|scene_cut_proxy_alto|speaker_count_usable|total_score_alto|visual_score_sobre_threshold|asr_espanol_y_habla_confirmados,data_discovery/outputs/contact_sheets/IGYG0Kn0wxo.jpg,low
