url,title,channel,decision,total_score,visual_quality_score,audio_quality_score,context_score,reject_reasons
https://www.youtube.com/watch?v=jEEahJU8_jg,#NADIEDICENADA l ¿NOS COMPRAN UNA CAMISA PARA MARCOS? EXPERTOS EN MIMITOS Y ¿CHAU NAVE?,LUZU TV,reject,82.15,65.3,99.66,98.0,audio_proxy_alto|audio_score_sobre_threshold|face_detect_rate_bajo|formato_largo|formato_streamer|fuente_argentina_probable|scene_cut_proxy_alto|speaker_count_usable|asr_espanol_y_habla_confirmados
https://www.youtube.com/watch?v=rDUAAU4WxrQ,VOLVIÓ ROBER Y DESCUBRIMOS LA CONSPIRACIÓN DEL MUNDIAL | #ParenLaMano Completo - 01/07 | VORTERIX,Vorterix,reject,82.01,66.28,97.55,98.0,audio_proxy_alto|audio_score_sobre_threshold|face_detect_rate_bajo|formato_interview|formato_largo|fuente_argentina_probable|perfil_extremo_proxy|scene_cut_proxy_alto|speaker_count_usable|asr_espanol_y_habla_confirmados
https://www.youtube.com/watch?v=AWJxm8noyy0,TOMÁS MAZZA (Y ALONSO) Y LA PEOR ENTREVISTA DE SU VIDA - ENTRE DOS SUCULENTAS #29,Matias Bottero,reject,77.06,61.25,96.13,88.0,audio_proxy_alto|audio_score_sobre_threshold|face_detect_rate_bajo|formato_interview|fuente_argentina_probable|scene_cut_proxy_alto|speaker_count_usable|asr_not_run
https://www.youtube.com/watch?v=ifzcNaAU6Fo,El Pullover Azul: Una historia real de la Guerra de Malvinas | Pensar Malvinas | Encuentro,Canal Encuentro,reject,73.34,54.24,95.4,88.0,audio_proxy_alto|audio_score_sobre_threshold|face_detect_rate_bajo|formato_educational|formato_largo|fuente_argentina_probable|muchos_hablantes_posible|perfil_extremo_proxy|scene_cut_proxy_alto|speaker_count_usable|asr_espanol_y_habla_confirmados
https://www.youtube.com/watch?v=8pxVgqaqTbU,Ricardo Lagos en FLACSO Argentina,FLACSO Argentina,reject,73.14,51.58,92.5,98.0,audio_proxy_alto|audio_score_sobre_threshold|face_detect_rate_bajo|formato_educational|formato_largo|fuente_argentina_probable|speaker_count_usable|asr_espanol_y_habla_confirmados
https://www.youtube.com/watch?v=SS6C0SQNqi0,Conferencia de Veena Das en UNSAM: ‘Políticas de la vida cotidiana: memoria y presente’,UNSAM National University of San Martín Argentina,reject,71.72,53.93,90.53,88.0,audio_proxy_alto|audio_score_sobre_threshold|face_detect_rate_bajo|formato_educational|formato_largo|fuente_argentina_probable|muchos_hablantes_posible|perfil_extremo_proxy|speaker_count_usable|visual_proxy_intermedio|asr_espanol_y_habla_confirmados
https://www.youtube.com/watch?v=zCE7O_VJH0A,EL PROBLEMA DE MBAPPÉ Y REPASAMOS EL MUNDIAL | #ParenLaMano Completo - 19/06 | VORTERIX,Vorterix,reject,71.36,44.54,98.31,98.0,audio_proxy_alto|audio_score_sobre_threshold|face_detect_rate_bajo|formato_interview|formato_largo|fuente_argentina_probable|scene_cut_proxy_alto|speaker_count_usable|asr_espanol_y_habla_confirmados
https://www.youtube.com/watch?v=1bhYeJkJdck,"Historia Argentina - Cap 1, 2, 3 y 4",tijobrae2,reject,70.67,64.22,75.2,80.0,audio_proxy_intermedio|audio_proxy_suficiente|audio_score_sobre_threshold|face_detect_rate_bajo|formato_largo|fuente_argentina_probable|scene_cut_proxy_alto|asr_espanol_y_habla_confirmados
https://www.youtube.com/watch?v=D9EsQ9_Xv3U,PREVIA DEL PARTIDO DE ARGENTINA Y VINO ERNESTOU | #ParenLaMano Completo - 02/07 | VORTERIX,Vorterix,reject,70.1,42.09,98.2,98.0,audio_proxy_alto|audio_score_sobre_threshold|face_detect_rate_bajo|formato_interview|formato_largo|fuente_argentina_probable|scene_cut_proxy_alto|speaker_count_usable|asr_espanol_y_habla_confirmados
https://www.youtube.com/watch?v=_9njPXc9BWw,Carlos Pagni en la UNSAM,UNSAM National University of San Martín Argentina,reject,69.99,72.35,59.39,80.0,audio_muy_bajo_o_saturado_proxy|audio_proxy_suficiente|face_detect_rate_bajo|formato_largo|fuente_argentina_probable|habla_insuficiente_proxy|perfil_extremo_proxy|visual_proxy_alto|asr_espanol_y_habla_confirmados
