source_id,clip_id,split,titulo,spk,existing_text,source_url,source_video_id,start_time,end_time,expected_duration,extracted_duration,alignment_method,alignment_score,alignment_confidence,large_full_segment_text,turbo_full_segment_text,clip_audio_path,clip_video_path,status,notes
f01__AN_CDOTA_VIAJE_MUNDIAL_BRASIL_2014_parte_1,f01::ANÉCDOTA VIAJE MUNDIAL BRASIL 2014  parte 1::clip_0000,train,ANÉCDOTA VIAJE MUNDIAL BRASIL 2014  parte 1,f01,bueno amigos esta es una anecdota muy especial porque es un gran recuerdo y la apuesta es que creo haberla contado alguna vez y en mixer creo que fue entonces se perdieron mucho las transmisiones incluso se perdio la de duki y neo pero creo que habia que darla con detalles con fotos de como fue el viaje y demas,https://www.youtube.com/watch?v=PyOSsNLEg4I,PyOSsNLEg4I,6.15,16.01,16.52,9.86,youtube_auto_subs_fuzzy_ordered,62.94,low,contado alguna vez y en mixer creo que fue entonces se perdieron muchas las transmisiones incluso se predera edu kineo pero creo que habia que darla con detalles con fotos de como fue el viaje,,,,needs_review,subtitle_raw_score=66.97; pending_clip_extraction_asr_gpt
f01__AN_CDOTA_VIAJE_MUNDIAL_BRASIL_2014_parte_1,f01::ANÉCDOTA VIAJE MUNDIAL BRASIL 2014  parte 1::clip_0001,train,ANÉCDOTA VIAJE MUNDIAL BRASIL 2014  parte 1,f01,les comento los pongo en contexto argentina seleccion 2014 el maestro sabela al frente de la seleccion argentina parecia que nos daba molidos mangos en la primera ronda todos se acuerdan del partido con iran que nos salva messi,https://www.youtube.com/watch?v=PyOSsNLEg4I,PyOSsNLEg4I,17.76,29.779,14.0,12.019,youtube_auto_subs_fuzzy_ordered,70.52,medium,contexto argentina seleccion 2014 el maestro sabe la al frente de la seleccion argentina parecia que no daban un y dos manos la primera ronda se monto se acuerda en el partido con iran que,,,,needs_review,subtitle_raw_score=71.93; pending_clip_extraction_asr_gpt
f01__AN_CDOTA_VIAJE_MUNDIAL_BRASIL_2014_parte_1,f01::ANÉCDOTA VIAJE MUNDIAL BRASIL 2014  parte 1::clip_0002,train,ANÉCDOTA VIAJE MUNDIAL BRASIL 2014  parte 1,f01,cuestion yo voy a ser sincero yo tampoco tenia tanta fe en la seleccion lo bancaba sabela pero habia cositas que no me gustaban bueno como somos los argentinos en eso tengo que ser honesto,https://www.youtube.com/watch?v=PyOSsNLEg4I,PyOSsNLEg4I,29.789,40.34,10.32,10.551,youtube_auto_subs_fuzzy_ordered,86.76,high,nos salva mes y cuestion yo voy a ser sincero yo tampoco tenia tanta fe en la seleccion lo bancaba sabella pero habia cosas que no me gustaban bueno como somos los argentinos en eso tengo que,,,,needs_review,subtitle_raw_score=86.98; pending_clip_extraction_asr_gpt
f01__AN_CDOTA_VIAJE_MUNDIAL_BRASIL_2014_parte_1,f01::ANÉCDOTA VIAJE MUNDIAL BRASIL 2014  parte 1::clip_0003,train,ANÉCDOTA VIAJE MUNDIAL BRASIL 2014  parte 1,f01,cuestion que jugabamos con holanda nos juntabamos todos los beider a ver el partido,https://www.youtube.com/watch?v=PyOSsNLEg4I,PyOSsNLEg4I,42.899,46.91,4.92,4.011,youtube_auto_subs_fuzzy_ordered,68.73,medium,demos con holanda nos juntabamos todos los vader a ver el partido estabamos en,,,,needs_review,subtitle_raw_score=70.58; pending_clip_extraction_asr_gpt
f01__AN_CDOTA_VIAJE_MUNDIAL_BRASIL_2014_parte_1,f01::ANÉCDOTA VIAJE MUNDIAL BRASIL 2014  parte 1::clip_0004,train,ANÉCDOTA VIAJE MUNDIAL BRASIL 2014  parte 1,f01,estabamos en la casa de amilcar ya antes del partido me decian no porque vos momo que toque el otro dale gero que la concha de tu madre bueno,https://www.youtube.com/watch?v=PyOSsNLEg4I,PyOSsNLEg4I,46.92,54.59,7.24,7.67,youtube_auto_subs_fuzzy_ordered,57.97,low,la casa de america antes del partido me decian a poquito que lo trata ligero que la concha de toma de agua yo discutiendo,,,,needs_review,subtitle_raw_score=58.56; pending_clip_extraction_asr_gpt
f01__AN_CDOTA_VIAJE_MUNDIAL_BRASIL_2014_parte_1,f01::ANÉCDOTA VIAJE MUNDIAL BRASIL 2014  parte 1::clip_0005,train,ANÉCDOTA VIAJE MUNDIAL BRASIL 2014  parte 1,f01,yo discutiendo con juancito que los dos siempre discutiamos,https://www.youtube.com/watch?v=PyOSsNLEg4I,PyOSsNLEg4I,54.6,56.24,3.28,1.64,youtube_auto_subs_fuzzy_ordered,57.55,low,con juancito que en el los dos siempre,,,,needs_review,subtitle_raw_score=62.55; pending_clip_extraction_asr_gpt
f01__AN_CDOTA_VIAJE_MUNDIAL_BRASIL_2014_parte_1,f01::ANÉCDOTA VIAJE MUNDIAL BRASIL 2014  parte 1::clip_0006,train,ANÉCDOTA VIAJE MUNDIAL BRASIL 2014  parte 1,f01,entonces contra holanda me dice hagamos una cosa si le ganamos a holanda nos vamos a brasil a ver la final,https://www.youtube.com/watch?v=PyOSsNLEg4I,PyOSsNLEg4I,56.25,63.77,7.08,7.52,youtube_auto_subs_fuzzy_ordered,80.1,high,discutimos entonces contra holanda me dice hagamos una cosa si llegaramos holanda nos vamos a brasil a verla,,,,needs_review,subtitle_raw_score=80.72; pending_clip_extraction_asr_gpt
f01__AN_CDOTA_VIAJE_MUNDIAL_BRASIL_2014_parte_1,f01::ANÉCDOTA VIAJE MUNDIAL BRASIL 2014  parte 1::clip_0007,train,ANÉCDOTA VIAJE MUNDIAL BRASIL 2014  parte 1,f01,entonces yo agarro y digo si porque yo no creia que le vayamos a ganar a holanda acuerdense que ese holanda fue el que hizo el gol de palomita no me acuerdo robben no si creo que fue el gol de robben,https://www.youtube.com/watch?v=PyOSsNLEg4I,PyOSsNLEg4I,63.78,75.38,11.96,11.6,youtube_auto_subs_fuzzy_ordered,77.0,medium,de llegar al rio porque o sea yo no creia que le vayamos a ganar a holanda acuerdense que ese holanda fue el que hizo el gol de palomita no me acuerdo y ahora no les roben no si creo que fue,,,,needs_review,subtitle_raw_score=77.3; pending_clip_extraction_asr_gpt
f01__AN_CDOTA_VIAJE_MUNDIAL_BRASIL_2014_parte_1,f01::ANÉCDOTA VIAJE MUNDIAL BRASIL 2014  parte 1::clip_0008,train,ANÉCDOTA VIAJE MUNDIAL BRASIL 2014  parte 1,f01,tenian tenian una maquina increible holanda van persie cuestion que le digo no tengo si bueno si le digo si dale si le ganamos a holanda vamos a brasil,https://www.youtube.com/watch?v=PyOSsNLEg4I,PyOSsNLEg4I,75.39,85.37,9.08,9.98,youtube_auto_subs_fuzzy_ordered,66.23,medium,gol de robben tenian una maquina increible holanda van persie cuestion que leo no tengo si mueven asi leo suicidarse si llegaran a moverse,,,,needs_review,subtitle_raw_score=67.22; pending_clip_extraction_asr_gpt
f01__AN_CDOTA_VIAJE_MUNDIAL_BRASIL_2014_parte_1,f01::ANÉCDOTA VIAJE MUNDIAL BRASIL 2014  parte 1::clip_0009,train,ANÉCDOTA VIAJE MUNDIAL BRASIL 2014  parte 1,f01,yo la tire por tirarla bueno entonces vamos a penales cuando ganamos todos obviamente festejando que se yo y me dice no vamos a tener que ir a brasil,https://www.youtube.com/watch?v=PyOSsNLEg4I,PyOSsNLEg4I,85.38,97.37,10.68,11.99,youtube_auto_subs_fuzzy_ordered,72.3,medium,yo la tenemos tirarla bueno entonces vamos al final cuando ganamos todos obviamente festejando que se yo y me dice no puede llegar a ser bueno si esta,,,,needs_review,subtitle_raw_score=73.53; pending_clip_extraction_asr_gpt
