dataset_group,source_id,clip_id,clip_name,model_role,model_name,device,compute_type,audio_path,audio_gcs_path,transcript_path,transcript_gcs_path,text,language,duration,status,notes
argentina/existing,f08__EL_DIA_QUE_CASI_MATO_A_MI_TIO_An_cdota_real,f08::EL DIA QUE CASI MATO A MI TIO (Anécdota real)::clip_0000,clip_0000,sample_small,small,cpu,int8,C:\Users\bianc\NLP Natural Language Processing\labios-argentos\data_release\work\existing_reconstruction\f08__EL_DIA_QUE_CASI_MATO_A_MI_TIO_An_cdota_real\reconstructed_audio\clip_0000.wav,gs://labios-argentos-vsr-clean-v1/argentina/existing/reconstructed_audio/f08__EL_DIA_QUE_CASI_MATO_A_MI_TIO_An_cdota_real/clip_0000.wav,C:\Users\bianc\NLP Natural Language Processing\labios-argentos\data_release\work\asr_existing\transcripts\sample_small\f08__EL_DIA_QUE_CASI_MATO_A_MI_TIO_An_cdota_real\clip_0000.txt,gs://labios-argentos-vsr-clean-v1/argentina/existing/transcripts/sample_small/f08__EL_DIA_QUE_CASI_MATO_A_MI_TIO_An_cdota_real/clip_0000.txt,bienvenida a una anécdota graciosa hoy les voy a contar una historia real como se dice story time algo que es real algo que pasó y que realmente casi terminó,es,8.821,completed_asr,
argentina/existing,f08__EL_DIA_QUE_CASI_MATO_A_MI_TIO_An_cdota_real,f08::EL DIA QUE CASI MATO A MI TIO (Anécdota real)::clip_0001,clip_0001,sample_small,small,cpu,int8,C:\Users\bianc\NLP Natural Language Processing\labios-argentos\data_release\work\existing_reconstruction\f08__EL_DIA_QUE_CASI_MATO_A_MI_TIO_An_cdota_real\reconstructed_audio\clip_0001.wav,gs://labios-argentos-vsr-clean-v1/argentina/existing/reconstructed_audio/f08__EL_DIA_QUE_CASI_MATO_A_MI_TIO_An_cdota_real/clip_0001.wav,C:\Users\bianc\NLP Natural Language Processing\labios-argentos\data_release\work\asr_existing\transcripts\sample_small\f08__EL_DIA_QUE_CASI_MATO_A_MI_TIO_An_cdota_real\clip_0001.txt,gs://labios-argentos-vsr-clean-v1/argentina/existing/transcripts/sample_small/f08__EL_DIA_QUE_CASI_MATO_A_MI_TIO_An_cdota_real/clip_0001.txt,una manera muy trágica porque fue un cago risa lo que pasó es una de las anécdotas de las experiencias que me han pasado en la vida más raras y quédense hasta el final de vídeo porque no lo van a,es,8.51,completed_asr,
argentina/existing,f08__EL_DIA_QUE_CASI_MATO_A_MI_TIO_An_cdota_real,f08::EL DIA QUE CASI MATO A MI TIO (Anécdota real)::clip_0002,clip_0002,sample_small,small,cpu,int8,C:\Users\bianc\NLP Natural Language Processing\labios-argentos\data_release\work\existing_reconstruction\f08__EL_DIA_QUE_CASI_MATO_A_MI_TIO_An_cdota_real\reconstructed_audio\clip_0002.wav,gs://labios-argentos-vsr-clean-v1/argentina/existing/reconstructed_audio/f08__EL_DIA_QUE_CASI_MATO_A_MI_TIO_An_cdota_real/clip_0002.wav,C:\Users\bianc\NLP Natural Language Processing\labios-argentos\data_release\work\asr_existing\transcripts\sample_small\f08__EL_DIA_QUE_CASI_MATO_A_MI_TIO_An_cdota_real\clip_0002.txt,gs://labios-argentos-vsr-clean-v1/argentina/existing/transcripts/sample_small/f08__EL_DIA_QUE_CASI_MATO_A_MI_TIO_An_cdota_real/clip_0002.txt,pasó eso antes que nada muchas gracias por darnos tal vídeo compartilo con sus amigos suscríbete a canal activa la campanita todo eso que ustedes saben así que ponete cómodo cómodo ahí en tu casa,es,8.299,completed_asr,
argentina/existing,f08__EL_DIA_QUE_CASI_MATO_A_MI_TIO_An_cdota_real,f08::EL DIA QUE CASI MATO A MI TIO (Anécdota real)::clip_0000,clip_0000,sample_small_gpu,small,cuda,float16,/home/bianc/labios-full-clean-release/data_release/work/asr_existing/audio_cache/f08__EL_DIA_QUE_CASI_MATO_A_MI_TIO_An_cdota_real/clip_0000.wav,gs://labios-argentos-vsr-clean-v1/argentina/existing/reconstructed_audio/f08__EL_DIA_QUE_CASI_MATO_A_MI_TIO_An_cdota_real/clip_0000.wav,/home/bianc/labios-full-clean-release/data_release/work/asr_existing/transcripts/sample_small_gpu/f08__EL_DIA_QUE_CASI_MATO_A_MI_TIO_An_cdota_real/clip_0000.txt,gs://labios-argentos-vsr-clean-v1/argentina/existing/transcripts/sample_small_gpu/f08__EL_DIA_QUE_CASI_MATO_A_MI_TIO_An_cdota_real/clip_0000.txt,bienvenida a una anécdota graciosa hoy les voy a contar una historia real como se dice story time algo que es real algo que pasó y que realmente casi terminó,es,8.821,completed_asr,
argentina/existing,f08__EL_DIA_QUE_CASI_MATO_A_MI_TIO_An_cdota_real,f08::EL DIA QUE CASI MATO A MI TIO (Anécdota real)::clip_0001,clip_0001,sample_small_gpu,small,cuda,float16,/home/bianc/labios-full-clean-release/data_release/work/asr_existing/audio_cache/f08__EL_DIA_QUE_CASI_MATO_A_MI_TIO_An_cdota_real/clip_0001.wav,gs://labios-argentos-vsr-clean-v1/argentina/existing/reconstructed_audio/f08__EL_DIA_QUE_CASI_MATO_A_MI_TIO_An_cdota_real/clip_0001.wav,/home/bianc/labios-full-clean-release/data_release/work/asr_existing/transcripts/sample_small_gpu/f08__EL_DIA_QUE_CASI_MATO_A_MI_TIO_An_cdota_real/clip_0001.txt,gs://labios-argentos-vsr-clean-v1/argentina/existing/transcripts/sample_small_gpu/f08__EL_DIA_QUE_CASI_MATO_A_MI_TIO_An_cdota_real/clip_0001.txt,una manera muy trágica porque fue un cago risa lo que pasó es una de las anécdotas de las experiencias que me han pasado en la vida más raras y quédense hasta el final de vídeo porque no lo van a,es,8.51,completed_asr,
argentina/existing,f08__EL_DIA_QUE_CASI_MATO_A_MI_TIO_An_cdota_real,f08::EL DIA QUE CASI MATO A MI TIO (Anécdota real)::clip_0002,clip_0002,sample_small_gpu,small,cuda,float16,/home/bianc/labios-full-clean-release/data_release/work/asr_existing/audio_cache/f08__EL_DIA_QUE_CASI_MATO_A_MI_TIO_An_cdota_real/clip_0002.wav,gs://labios-argentos-vsr-clean-v1/argentina/existing/reconstructed_audio/f08__EL_DIA_QUE_CASI_MATO_A_MI_TIO_An_cdota_real/clip_0002.wav,/home/bianc/labios-full-clean-release/data_release/work/asr_existing/transcripts/sample_small_gpu/f08__EL_DIA_QUE_CASI_MATO_A_MI_TIO_An_cdota_real/clip_0002.txt,gs://labios-argentos-vsr-clean-v1/argentina/existing/transcripts/sample_small_gpu/f08__EL_DIA_QUE_CASI_MATO_A_MI_TIO_An_cdota_real/clip_0002.txt,pasó eso antes que nada muchas gracias por darnos tal vídeo compartilo con sus amigos suscríbete a canal activa la campanita todo eso que ustedes saben así que ponete cómodo cómodo ahí en tu casa,es,8.299,completed_asr,
argentina/existing,f08__EL_DIA_QUE_CASI_MATO_A_MI_TIO_An_cdota_real,f08::EL DIA QUE CASI MATO A MI TIO (Anécdota real)::clip_0000,clip_0000,large,large-v3,cuda,float16,/home/bianc/labios-full-clean-release/data_release/work/asr_existing/audio_cache/f08__EL_DIA_QUE_CASI_MATO_A_MI_TIO_An_cdota_real/clip_0000.wav,gs://labios-argentos-vsr-clean-v1/argentina/existing/reconstructed_audio/f08__EL_DIA_QUE_CASI_MATO_A_MI_TIO_An_cdota_real/clip_0000.wav,/home/bianc/labios-full-clean-release/data_release/work/asr_existing/transcripts/large/f08__EL_DIA_QUE_CASI_MATO_A_MI_TIO_An_cdota_real/clip_0000.txt,gs://labios-argentos-vsr-clean-v1/argentina/existing/transcripts/large/f08__EL_DIA_QUE_CASI_MATO_A_MI_TIO_An_cdota_real/clip_0000.txt,bienvenida a una anécdota graciosa hoy les voy a contar una historia real como se dice story time algo que es real algo que pasó y que realmente casi terminó,es,8.821,completed_asr,
argentina/existing,f08__EL_DIA_QUE_CASI_MATO_A_MI_TIO_An_cdota_real,f08::EL DIA QUE CASI MATO A MI TIO (Anécdota real)::clip_0001,clip_0001,large,large-v3,cuda,float16,/home/bianc/labios-full-clean-release/data_release/work/asr_existing/audio_cache/f08__EL_DIA_QUE_CASI_MATO_A_MI_TIO_An_cdota_real/clip_0001.wav,gs://labios-argentos-vsr-clean-v1/argentina/existing/reconstructed_audio/f08__EL_DIA_QUE_CASI_MATO_A_MI_TIO_An_cdota_real/clip_0001.wav,/home/bianc/labios-full-clean-release/data_release/work/asr_existing/transcripts/large/f08__EL_DIA_QUE_CASI_MATO_A_MI_TIO_An_cdota_real/clip_0001.txt,gs://labios-argentos-vsr-clean-v1/argentina/existing/transcripts/large/f08__EL_DIA_QUE_CASI_MATO_A_MI_TIO_An_cdota_real/clip_0001.txt,De una manera muy trágica Porque fue un cago de risa Lo que pasó Es una de las anécdotas De las experiencias Que me han pasado en la vida Más raras Y quédense hasta el final del video Porque no lo van a ver,es,8.51,completed_asr,
argentina/existing,f08__EL_DIA_QUE_CASI_MATO_A_MI_TIO_An_cdota_real,f08::EL DIA QUE CASI MATO A MI TIO (Anécdota real)::clip_0002,clip_0002,large,large-v3,cuda,float16,/home/bianc/labios-full-clean-release/data_release/work/asr_existing/audio_cache/f08__EL_DIA_QUE_CASI_MATO_A_MI_TIO_An_cdota_real/clip_0002.wav,gs://labios-argentos-vsr-clean-v1/argentina/existing/reconstructed_audio/f08__EL_DIA_QUE_CASI_MATO_A_MI_TIO_An_cdota_real/clip_0002.wav,/home/bianc/labios-full-clean-release/data_release/work/asr_existing/transcripts/large/f08__EL_DIA_QUE_CASI_MATO_A_MI_TIO_An_cdota_real/clip_0002.txt,gs://labios-argentos-vsr-clean-v1/argentina/existing/transcripts/large/f08__EL_DIA_QUE_CASI_MATO_A_MI_TIO_An_cdota_real/clip_0002.txt,"Paso eso, antes que nada muchas gracias por Darnos un like al video, compartirlo con sus amigos Suscribirse al canal, activar la campanita, todo eso que ustedes saben Así que ponete comodo, comoda ahí en tu casa",es,8.299,completed_asr,
argentina/existing,f08__EL_DIA_QUE_CASI_MATO_A_MI_TIO_An_cdota_real,f08::EL DIA QUE CASI MATO A MI TIO (Anécdota real)::clip_0003,clip_0003,large,large-v3,cuda,float16,/home/bianc/labios-full-clean-release/data_release/work/existing_reconstruction/f08__EL_DIA_QUE_CASI_MATO_A_MI_TIO_An_cdota_real/reconstructed_audio/clip_0003.wav,gs://labios-argentos-vsr-clean-v1/argentina/existing/reconstructed_audio/f08__EL_DIA_QUE_CASI_MATO_A_MI_TIO_An_cdota_real/clip_0003.wav,/home/bianc/labios-full-clean-release/data_release/work/asr_existing/transcripts/large/f08__EL_DIA_QUE_CASI_MATO_A_MI_TIO_An_cdota_real/clip_0003.txt,gs://labios-argentos-vsr-clean-v1/argentina/existing/transcripts/large/f08__EL_DIA_QUE_CASI_MATO_A_MI_TIO_An_cdota_real/clip_0003.txt,"Porque te voy a contar el día que casi mato a mi tío A ver, no soy un asesino Pero lo que pasó provocó que él casi pierda la vida Así que empezamos Vamos a ver",es,10.401,completed_asr,
