3% of  118.02MiB at    6.88MiB/s ETA 00:03
[download]  82.5% of  118.02MiB at    7.41MiB/s ETA 00:02
[download]  82.7% of  118.02MiB at    5.50MiB/s ETA 00:03
[download]  83.1% of  118.02MiB at    5.36MiB/s ETA 00:03
[download]  83.9% of  118.02MiB at    5.68MiB/s ETA 00:03
[download]  85.6% of  118.02MiB at    5.70MiB/s ETA 00:02
[download]  89.0% of  118.02MiB at    4.83MiB/s ETA 00:02
[download]  90.4% of  118.02MiB at    4.91MiB/s ETA 00:02
[download]  90.4% of  118.02MiB at  Unknown B/s ETA Unknown
[download]  90.4% of  118.02MiB at  Unknown B/s ETA Unknown
[download]  90.4% of  118.02MiB at  Unknown B/s ETA Unknown
[download]  90.4% of  118.02MiB at  Unknown B/s ETA Unknown
[download]  90.4% of  118.02MiB at  Unknown B/s ETA Unknown
[download]  90.5% of  118.02MiB at    4.02MiB/s ETA 00:02  
[download]  90.5% of  118.02MiB at    5.40MiB/s ETA 00:02
[download]  90.6% of  118.02MiB at    5.24MiB/s ETA 00:02
[download]  90.8% of  118.02MiB at    6.28MiB/s ETA 00:01
[download]  91.3% of  118.02MiB at    6.11MiB/s ETA 00:01
[download]  92.1% of  118.02MiB at    5.75MiB/s ETA 00:01
[download]  93.8% of  118.02MiB at    5.73MiB/s ETA 00:01
[download]  97.2% of  118.02MiB at    5.53MiB/s ETA 00:00
[download]  98.5% of  118.02MiB at    5.60MiB/s ETA 00:00
[download]  98.5% of  118.02MiB at  333.49KiB/s ETA 00:05
[download]  98.5% of  118.02MiB at 1000.47KiB/s ETA 00:01
[download]  98.5% of  118.02MiB at    1.75MiB/s ETA 00:00
[download]  98.6% of  118.02MiB at    3.75MiB/s ETA 00:00
[download]  98.6% of  118.02MiB at    6.17MiB/s ETA 00:00
[download]  98.6% of  118.02MiB at    5.16MiB/s ETA 00:00
[download]  98.6% of  118.02MiB at    6.08MiB/s ETA 00:00
[download]  98.8% of  118.02MiB at    6.75MiB/s ETA 00:00
[download]  99.0% of  118.02MiB at    5.51MiB/s ETA 00:00
[download]  99.4% of  118.02MiB at    5.76MiB/s ETA 00:00
[download] 100.0% of  118.02MiB at    5.61MiB/s ETA 00:00
[download] 100% of  118.02MiB in 00:00:24 at 4.79MiB/s   
[download] Destination: C:\Users\bianc\NLP Natural Language Processing\labios-argentos\data_release\local_sources\argentina_new_discovery\YYIVFA000BI\YYIVFA000BI.f251.webm

[download]   0.0% of   99.30MiB at   64.21KiB/s ETA 26:23
