dataset_group,source_id,clip_id,split,spk,titulo,source_url,source_video_id,start_time,end_time,mp4_visual_roi_path,npz_path,clip_with_audio_path,existing_text,large_text,turbo_text,clean_gpt_text,selected_training_text,text_source,clean_status,clean_confidence,patch_count,alignment_confidence,asr_status,gpt_status,usable_for_training,usable_for_eval,needs_review,failure_reason,notes
argentina/existing,f01__AN_CDOTA_VIAJE_MUNDIAL_BRASIL_2014_parte_1,f01::ANÉCDOTA VIAJE MUNDIAL BRASIL 2014  parte 1::clip_0000,train,f01,ANÉCDOTA VIAJE MUNDIAL BRASIL 2014  parte 1,https://www.youtube.com/watch?v=PyOSsNLEg4I,PyOSsNLEg4I,6.15,16.01,gs://labios-argentos-vsr-dataset/lip_rois/ANÉCDOTA VIAJE MUNDIAL BRASIL 2014  parte 1/clip_0000.mp4,gs://labios-argentos-vsr-dataset/lip_rois/ANÉCDOTA VIAJE MUNDIAL BRASIL 2014  parte 1/clip_0000.npz,,bueno amigos esta es una anecdota muy especial porque es un gran recuerdo y la apuesta es que creo haberla contado alguna vez y en mixer creo que fue entonces se perdieron mucho las transmisiones incluso se perdio la de duki y neo pero creo que habia que darla con detalles con fotos de como fue el viaje y demas,,,,bueno amigos esta es una anecdota muy especial porque es un gran recuerdo y la apuesta es que creo haberla contado alguna vez y en mixer creo que fue entonces se perdieron mucho las transmisiones incluso se perdio la de duki y neo pero creo que habia que darla con detalles con fotos de como fue el viaje y demas,existing_text,baseline_existing_only,low,0,low,pending_reconstruction_or_asr,blocked_no_asr_context,true,false,true,not_processed_before_spot_preemption,
argentina/existing,f01__AN_CDOTA_VIAJE_MUNDIAL_BRASIL_2014_parte_1,f01::ANÉCDOTA VIAJE MUNDIAL BRASIL 2014  parte 1::clip_0001,train,f01,ANÉCDOTA VIAJE MUNDIAL BRASIL 2014  parte 1,https://www.youtube.com/watch?v=PyOSsNLEg4I,PyOSsNLEg4I,17.76,29.779,gs://labios-argentos-vsr-dataset/lip_rois/ANÉCDOTA VIAJE MUNDIAL BRASIL 2014  parte 1/clip_0001.mp4,gs://labios-argentos-vsr-dataset/lip_rois/ANÉCDOTA VIAJE MUNDIAL BRASIL 2014  parte 1/clip_0001.npz,gs://labios-argentos-vsr-clean-v1/argentina/existing/clips_with_audio/f01__AN_CDOTA_VIAJE_MUNDIAL_BRASIL_2014_parte_1/clip_0001.mp4,les comento los pongo en contexto argentina seleccion 2014 el maestro sabela al frente de la seleccion argentina parecia que nos daba molidos mangos en la primera ronda todos se acuerdan del partido con iran que nos salva messi,contexto argentina selección 2014 el maestro sabela al frente de la selección argentina parecía que no dábamos ni dos mangos la primera ronda de motos acuerda en el partido con irán que,contexto argentina selección 2014 el maestro sabela al frente de la selección argentina parecía que no dábamos ni dos mangos en la primera ronda el moto se acuerda en el partido con irán que,"contexto Argentina selección 2014, el maestro Sabella al frente de la selección argentina, parecía que no dábamos ni dos mangos en la primera ronda, todos se acuerdan del partido con Irán que","contexto Argentina selección 2014, el maestro Sabella al frente de la selección argentina, parecía que no dábamos ni dos mangos en la primera ronda, todos se acuerdan del partido con Irán que",clean_gpt_v1,completed_clean_gpt,high,1,medium,completed_large_turbo,completed_clean_gpt,true,false,false,,gpt_cleaning_applied
argentina/existing,f01__AN_CDOTA_VIAJE_MUNDIAL_BRASIL_2014_parte_1,f01::ANÉCDOTA VIAJE MUNDIAL BRASIL 2014  parte 1::clip_0002,train,f01,ANÉCDOTA VIAJE MUNDIAL BRASIL 2014  parte 1,https://www.youtube.com/watch?v=PyOSsNLEg4I,PyOSsNLEg4I,29.789,40.34,gs://labios-argentos-vsr-dataset/lip_rois/ANÉCDOTA VIAJE MUNDIAL BRASIL 2014  parte 1/clip_0002.mp4,gs://labios-argentos-vsr-dataset/lip_rois/ANÉCDOTA VIAJE MUNDIAL BRASIL 2014  parte 1/clip_0002.npz,gs://labios-argentos-vsr-clean-v1/argentina/existing/clips_with_audio/f01__AN_CDOTA_VIAJE_MUNDIAL_BRASIL_2014_parte_1/clip_0002.mp4,cuestion yo voy a ser sincero yo tampoco tenia tanta fe en la seleccion lo bancaba sabela pero habia cositas que no me gustaban bueno como somos los argentinos en eso tengo que ser honesto,"nos salva Messi. Cuestión, yo voy a ser sincero, yo tampoco tenía tanta fe en la selección. Lo bancaba Isabela, pero había cositas que no me gustaban. Bueno, como somos los argentinos, eso tengo que...",No salva Messi. Cuestión. Yo voy a ser sincero. Yo tampoco tenía tanta fe en la selección. Lo bancaba a Sabela. Pero había cositas que no me gustaban. Bueno. Como somos los argentinos. Eso tengo que saber.,"nos salva Messi. Cuestión, yo voy a ser sincero, yo tampoco tenía tanta fe en la selección. Lo bancaba a Sabella, pero había cositas que no me gustaban. Bueno, como somos los argentinos, eso tengo que...","nos salva Messi. Cuestión, yo voy a ser sincero, yo tampoco tenía tanta fe en la selección. Lo bancaba a Sabella, pero había cositas que no me gustaban. Bueno, como somos los argentinos, eso tengo que...",clean_gpt_v1,completed_clean_gpt,high,1,high,completed_large_turbo,completed_clean_gpt,true,false,false,,gpt_cleaning_applied
argentina/existing,f01__AN_CDOTA_VIAJE_MUNDIAL_BRASIL_2014_parte_1,f01::ANÉCDOTA VIAJE MUNDIAL BRASIL 2014  parte 1::clip_0003,train,f01,ANÉCDOTA VIAJE MUNDIAL BRASIL 2014  parte 1,https://www.youtube.com/watch?v=PyOSsNLEg4I,PyOSsNLEg4I,42.899,46.91,gs://labios-argentos-vsr-dataset/lip_rois/ANÉCDOTA VIAJE MUNDIAL BRASIL 2014  parte 1/clip_0003.mp4,gs://labios-argentos-vsr-dataset/lip_rois/ANÉCDOTA VIAJE MUNDIAL BRASIL 2014  parte 1/clip_0003.npz,gs://labios-argentos-vsr-clean-v1/argentina/existing/clips_with_audio/f01__AN_CDOTA_VIAJE_MUNDIAL_BRASIL_2014_parte_1/clip_0003.mp4,cuestion que jugabamos con holanda nos juntabamos todos los beider a ver el partido,"con Holanda, nos juntábamos todos los Bader a ver el partido, estábamos en","con Holanda, nos juntábamos todos los Vader a ver el partido, estábamos en","con Holanda, nos juntábamos todos los Bader a ver el partido, estábamos en","con Holanda, nos juntábamos todos los Bader a ver el partido, estábamos en",clean_gpt_v1,completed_clean_gpt,medium,0,medium,completed_large_turbo,completed_clean_gpt,true,false,false,,gpt_cleaning_applied
argentina/existing,f01__AN_CDOTA_VIAJE_MUNDIAL_BRASIL_2014_parte_1,f01::ANÉCDOTA VIAJE MUNDIAL BRASIL 2014  parte 1::clip_0004,train,f01,ANÉCDOTA VIAJE MUNDIAL BRASIL 2014  parte 1,https://www.youtube.com/watch?v=PyOSsNLEg4I,PyOSsNLEg4I,46.92,54.59,gs://labios-argentos-vsr-dataset/lip_rois/ANÉCDOTA VIAJE MUNDIAL BRASIL 2014  parte 1/clip_0004.mp4,gs://labios-argentos-vsr-dataset/lip_rois/ANÉCDOTA VIAJE MUNDIAL BRASIL 2014  parte 1/clip_0004.npz,,estabamos en la casa de amilcar ya antes del partido me decian no porque vos momo que toque el otro dale gero que la concha de tu madre bueno,,,,estabamos en la casa de amilcar ya antes del partido me decian no porque vos momo que toque el otro dale gero que la concha de tu madre bueno,existing_text,baseline_existing_only,low,0,low,pending_reconstruction_or_asr,blocked_no_asr_context,true,false,true,not_processed_before_spot_preemption,
argentina/existing,f01__AN_CDOTA_VIAJE_MUNDIAL_BRASIL_2014_parte_1,f01::ANÉCDOTA VIAJE MUNDIAL BRASIL 2014  parte 1::clip_0005,train,f01,ANÉCDOTA VIAJE MUNDIAL BRASIL 2014  parte 1,https://www.youtube.com/watch?v=PyOSsNLEg4I,PyOSsNLEg4I,54.6,56.24,gs://labios-argentos-vsr-dataset/lip_rois/ANÉCDOTA VIAJE MUNDIAL BRASIL 2014  parte 1/clip_0005.mp4,gs://labios-argentos-vsr-dataset/lip_rois/ANÉCDOTA VIAJE MUNDIAL BRASIL 2014  parte 1/clip_0005.npz,,yo discutiendo con juancito que los dos siempre discutiamos,,,,yo discutiendo con juancito que los dos siempre discutiamos,existing_text,baseline_existing_only,low,0,low,pending_reconstruction_or_asr,blocked_no_asr_context,true,false,true,not_processed_before_spot_preemption,
argentina/existing,f01__AN_CDOTA_VIAJE_MUNDIAL_BRASIL_2014_parte_1,f01::ANÉCDOTA VIAJE MUNDIAL BRASIL 2014  parte 1::clip_0006,train,f01,ANÉCDOTA VIAJE MUNDIAL BRASIL 2014  parte 1,https://www.youtube.com/watch?v=PyOSsNLEg4I,PyOSsNLEg4I,56.25,63.77,gs://labios-argentos-vsr-dataset/lip_rois/ANÉCDOTA VIAJE MUNDIAL BRASIL 2014  parte 1/clip_0006.mp4,gs://labios-argentos-vsr-dataset/lip_rois/ANÉCDOTA VIAJE MUNDIAL BRASIL 2014  parte 1/clip_0006.npz,gs://labios-argentos-vsr-clean-v1/argentina/existing/clips_with_audio/f01__AN_CDOTA_VIAJE_MUNDIAL_BRASIL_2014_parte_1/clip_0006.mp4,entonces contra holanda me dice hagamos una cosa si le ganamos a holanda nos vamos a brasil a ver la final,"discutíamos, entonces contra Holanda me dice, hagamos una cosa si le ganamos a Holanda nos vamos a Brasil, a ver la final","discutíamos. Entonces, contra Holanda me dice, hagamos una cosa si le ganamos a Holanda nos vamos a Brasil, a ver la final","discutíamos, entonces contra Holanda me dice, hagamos una cosa si le ganamos a Holanda nos vamos a Brasil, a ver la final","discutíamos, entonces contra Holanda me dice, hagamos una cosa si le ganamos a Holanda nos vamos a Brasil, a ver la final",clean_gpt_v1,completed_clean_gpt,medium,0,high,completed_large_turbo,completed_clean_gpt,true,false,false,,gpt_cleaning_applied
argentina/existing,f01__AN_CDOTA_VIAJE_MUNDIAL_BRASIL_2014_parte_1,f01::ANÉCDOTA VIAJE MUNDIAL BRASIL 2014  parte 1::clip_0007,train,f01,ANÉCDOTA VIAJE MUNDIAL BRASIL 2014  parte 1,https://www.youtube.com/watch?v=PyOSsNLEg4I,PyOSsNLEg4I,63.78,75.38,gs://labios-argentos-vsr-dataset/lip_rois/ANÉCDOTA VIAJE MUNDIAL BRASIL 2014  parte 1/clip_0007.mp4,gs://labios-argentos-vsr-dataset/lip_rois/ANÉCDOTA VIAJE MUNDIAL BRASIL 2014  parte 1/clip_0007.npz,gs://labios-argentos-vsr-clean-v1/argentina/existing/clips_with_audio/f01__AN_CDOTA_VIAJE_MUNDIAL_BRASIL_2014_parte_1/clip_0007.mp4,entonces yo agarro y digo si porque yo no creia que le vayamos a ganar a holanda acuerdense que ese holanda fue el que hizo el gol de palomita no me acuerdo robben no si creo que fue el gol de robben,"Entonces yo agarro y digo, sí, porque, o sea, yo no creía que le vayamos a ganar a Holanda, acuérdense que ese Holanda fue el que hizo el gol de Palomita, no me acuerdo, ay, ahora no me acuerdo, Robben, no, sí creo que fue.","Entonces yo agarro y digo, sí, porque, o sea, yo no creía que le vayamos a ganar a Holanda, acuérdense que ese Holanda fue el que hizo el gol de Palomita, no me acuerdo, ahora no me dice, Robben, no, sí creo que fue.","Entonces yo agarro y digo, sí, porque, o sea, yo no creía que le vayamos a ganar a Holanda, acuérdense que ese Holanda fue el que hizo el gol de Palomita, no me acuerdo, ay, ahora no me acuerdo, Robben, no, sí creo que fue.","Entonces yo agarro y digo, sí, porque, o sea, yo no creía que le vayamos a ganar a Holanda, acuérdense que ese Holanda fue el que hizo el gol de Palomita, no me acuerdo, ay, ahora no me acuerdo, Robben, no, sí creo que fue.",clean_gpt_v1,completed_clean_gpt,medium,0,medium,completed_large_turbo,completed_clean_gpt,true,false,false,,gpt_cleaning_applied
argentina/existing,f01__AN_CDOTA_VIAJE_MUNDIAL_BRASIL_2014_parte_1,f01::ANÉCDOTA VIAJE MUNDIAL BRASIL 2014  parte 1::clip_0008,train,f01,ANÉCDOTA VIAJE MUNDIAL BRASIL 2014  parte 1,https://www.youtube.com/watch?v=PyOSsNLEg4I,PyOSsNLEg4I,75.39,85.37,gs://labios-argentos-vsr-dataset/lip_rois/ANÉCDOTA VIAJE MUNDIAL BRASIL 2014  parte 1/clip_0008.mp4,gs://labios-argentos-vsr-dataset/lip_rois/ANÉCDOTA VIAJE MUNDIAL BRASIL 2014  parte 1/clip_0008.npz,gs://labios-argentos-vsr-clean-v1/argentina/existing/clips_with_audio/f01__AN_CDOTA_VIAJE_MUNDIAL_BRASIL_2014_parte_1/clip_0008.mp4,tenian tenian una maquina increible holanda van persie cuestion que le digo no tengo si bueno si le digo si dale si le ganamos a holanda vamos a brasil,"de Robben. Tenían una máquina increíble Holanda. Van Persie. Cuestión que le digo, no tengo. Sí, bueno, sí, le digo sí, sí, dale. Si le ganamos a Holanda, vamos a jugar así.",de roben que tenían una en una máquina increíble holanda van persi cuestión que leo no tengo sí bueno sí leo sí sí dale si llegamos la tomo ahora sí,"de Robben. Tenían una máquina increíble Holanda. Van Persie. Cuestión que le digo, no tengo. Sí, bueno, sí, le digo sí, sí, dale. Si le ganamos a Holanda, vamos a Brasil.","de Robben. Tenían una máquina increíble Holanda. Van Persie. Cuestión que le digo, no tengo. Sí, bueno, sí, le digo sí, sí, dale. Si le ganamos a Holanda, vamos a Brasil.",clean_gpt_v1,completed_clean_gpt,medium,1,medium,completed_large_turbo,completed_clean_gpt,true,false,false,,gpt_cleaning_applied
argentina/existing,f01__AN_CDOTA_VIAJE_MUNDIAL_BRASIL_2014_parte_1,f01::ANÉCDOTA VIAJE MUNDIAL BRASIL 2014  parte 1::clip_0009,train,f01,ANÉCDOTA VIAJE MUNDIAL BRASIL 2014  parte 1,https://www.youtube.com/watch?v=PyOSsNLEg4I,PyOSsNLEg4I,85.38,97.37,gs://labios-argentos-vsr-dataset/lip_rois/ANÉCDOTA VIAJE MUNDIAL BRASIL 2014  parte 1/clip_0009.mp4,gs://labios-argentos-vsr-dataset/lip_rois/ANÉCDOTA VIAJE MUNDIAL BRASIL 2014  parte 1/clip_0009.npz,gs://labios-argentos-vsr-clean-v1/argentina/existing/clips_with_audio/f01__AN_CDOTA_VIAJE_MUNDIAL_BRASIL_2014_parte_1/clip_0009.mp4,yo la tire por tirarla bueno entonces vamos a penales cuando ganamos todos obviamente festejando que se yo y me dice no vamos a tener que ir a brasil,"Yo la tiré por tirarla. Bueno, entonces vamos a penales, cuando ganamos, todos obviamente, festejando, que se yo y me dice, no vamos a tener que ir a Brasil. Bueno, si, está",yo la tiré por tirarla bueno entonces vamos a penales cuando ganamos todos obviamente festejando que se yo y me dice no vamos a tener que ver así bueno si está bien,"Yo la tiré por tirarla. Bueno, entonces vamos a penales, cuando ganamos, todos obviamente, festejando, que se yo y me dice, no vamos a tener que ir a Brasil. Bueno, si, está","Yo la tiré por tirarla. Bueno, entonces vamos a penales, cuando ganamos, todos obviamente, festejando, que se yo y me dice, no vamos a tener que ir a Brasil. Bueno, si, está",clean_gpt_v1,completed_clean_gpt,medium,0,medium,completed_large_turbo,completed_clean_gpt,true,false,false,,gpt_cleaning_applied
