url,video_id,title,channel,decision,accepted_clips_estimate,usable_minutes_estimate,ingest_status,failure_reason,manual_alternative_url,manual_download_path,manual_notes
https://www.youtube.com/watch?v=ITovsJg-q5c,ITovsJg-q5c,Cómo Amarse a uno Mismo y Tener Buena Salud Mental: Hábitos de Vida - Gabriel Rolón,Tengo un Plan,strong_accept,1341.0,60,clips_generated_pending_asr_roi,,,,
https://www.youtube.com/watch?v=h3HtBhArO1Q,h3HtBhArO1Q,El Método Rebord #56 - Andy Chango,El Método Rebord,accept,1228.0,60,blocked_download_failed,youtube_requires_login_or_cookies_from_vm,,,
https://www.youtube.com/watch?v=OrwtPwftIi4,OrwtPwftIi4,🎤 Curso de Oratoria con Daniel Colombo | 100% Práctico,Daniel Colombo,strong_accept,1023.0,60,blocked_download_failed,youtube_requires_login_or_cookies_from_vm,,,
https://www.youtube.com/watch?v=qEKPgqURvo0,qEKPgqURvo0,REBORD - PERETTI | HAY ALGO AHÍ | BLENDER,BLENDER,strong_accept,822.0,60,blocked_download_failed,youtube_requires_login_or_cookies_from_vm,,,
https://www.youtube.com/watch?v=jgp8WZvtkWU,jgp8WZvtkWU,Martin Menem con Iván Schargrodsky en #OnTheRecord,Cenital,accept,748.0,60,blocked_download_failed,youtube_requires_login_or_cookies_from_vm,,,
https://www.youtube.com/watch?v=YYIVFA000BI,YYIVFA000BI,Pepe Mujica con Jorge Fontevecchia (Entrevista Completa),Perfil,accept,682.0,56.86,blocked_download_failed,youtube_requires_login_or_cookies_from_vm,,,
https://www.youtube.com/watch?v=WMk6afYRfKM,WMk6afYRfKM,"Entrevista en “IP Noticias” con Noelia Barral, Romina Calderaro y Nora Veiras - IP - 07/02/2021",Alberto Fernández,accept,680.0,56.7,blocked_download_failed,youtube_requires_login_or_cookies_from_vm,,,
https://www.youtube.com/watch?v=j4x2GC1Ztro,j4x2GC1Ztro,Mario Pergolini y un imperdible mano a mano con Andy Kusnetzoff | #Perros2022 Perros de la Calle,Urbana Play 104.3 FM,strong_accept,677.0,56.41,blocked_download_failed,youtube_requires_login_or_cookies_from_vm,,,
https://www.youtube.com/watch?v=eqw0QM4A0oA,eqw0QM4A0oA,Taty Almeida | Bios Militantes con Julia Mengolini en #Segurola,Futurock FM,strong_accept,598.0,49.83,blocked_download_failed,youtube_requires_login_or_cookies_from_vm,,,
https://www.youtube.com/watch?v=Z-t-GNlxpYc,Z-t-GNlxpYc,"Entrevista completa de Javier Milei con Luis Majul: ""Hemos pasado el momento bisagra""",LA NACION,strong_accept,596.0,49.64,blocked_download_failed,youtube_requires_login_or_cookies_from_vm,,,
https://www.youtube.com/watch?v=JixCyhEGE0A,JixCyhEGE0A,Javier Milei en TN I Entrevista completa del 30/06/2024,Todo Noticias,strong_accept,453.0,37.76,blocked_download_failed,youtube_requires_login_or_cookies_from_vm,,,
https://www.youtube.com/watch?v=EhYznjqlcKY,EhYznjqlcKY,Guido Di Tella con Juan Carlos de Pablo - DiFilm (1998),archivodichiara,accept,408.0,34.01,blocked_download_failed,youtube_requires_login_or_cookies_from_vm,,,
https://www.youtube.com/watch?v=IGYG0Kn0wxo,IGYG0Kn0wxo,ENTREVISTA: DIEGO TORRES,Congo,accept,374.0,31.17,blocked_download_failed,youtube_requires_login_or_cookies_from_vm,,,
https://www.youtube.com/watch?v=PRQEkiIWps0,PRQEkiIWps0,Coscu Mete Un Bombazo Histórico Después De Probar Las Salsas Más Picantes Del Mundo,Terapia Picante,accept,331.0,27.57,blocked_download_failed,youtube_requires_login_or_cookies_from_vm,,,
https://www.youtube.com/watch?v=EuSM3LscaWI,EuSM3LscaWI,Marcos Galperin | La vida del emprendedor | Aprender de Grandes #072,Aprender de Grandes,accept,306.0,25.5,blocked_download_failed,youtube_requires_login_or_cookies_from_vm,,,
https://www.youtube.com/watch?v=q94HfK07DjI,q94HfK07DjI,El último reportaje del papa Francisco con Infobae,Infobae,accept,295.0,24.55,blocked_download_failed,youtube_requires_login_or_cookies_from_vm,,,
https://www.youtube.com/watch?v=R3f0x1IJvhI,R3f0x1IJvhI,"GUILLERMO FRANCELLA, UN LUJO COMO PRIMER INVITADO DE OTRO DÍA PERDIDO || ENTREVISTA COMPLETA",eltrece,strong_accept,256.0,21.32,blocked_download_failed,youtube_requires_login_or_cookies_from_vm,,,
https://www.youtube.com/watch?v=yJxDKBgw5NU,yJxDKBgw5NU,"Santiago Cafiero, mano a mano en TN: ""Es una decisión sanitaria, no política""",Todo Noticias,strong_accept,248.0,20.65,blocked_download_failed,youtube_requires_login_or_cookies_from_vm,,,
https://www.youtube.com/watch?v=vDNy6EN7bIY,vDNy6EN7bIY,¿Cómo es el ESPAÑOL ARGENTINO FORMAL? - Argento Podcast #44,Spanish with Nico,strong_accept,156.0,13.02,blocked_download_failed,youtube_requires_login_or_cookies_from_vm,,,
https://www.youtube.com/watch?v=sjnH4bTak9s,sjnH4bTak9s,Obstáculos ideológicos en el empleo,Universidad Torcuato Di Tella,accept,110.0,9.13,blocked_download_failed,youtube_requires_login_or_cookies_from_vm,,,
