source_id,spk,titulo,clip_count,current_match_confidence,current_candidate_url,current_candidate_title,current_candidate_channel,failure_reason,example_clip_ids,example_texts,youtube_search_query_1,youtube_search_query_2,youtube_search_query_3,google_search_query,manual_url,manual_confidence,manual_notes
f07__DAVOO_XENEIZE_OPINA_DE_BOCA_0_UNIVERSIDAD_CATOLICA,f07,DAVOO XENEIZE OPINA DE BOCA 0 UNIVERSIDAD CATOLICA,937,medium,https://www.youtube.com/watch?v=ChceWp7jwCA,DAVOO XENEIZE OPINA DE BOCA 0 UNIVERSIDAD CATOLICA 1 (2026) - FECHA 6 - COPA LIBERTADORES.,Davoo Xeneize,blocked_alignment_failed=23|baseline_existing_only=128|low_alignment_score_present,clip_0000|clip_0001|clip_0002|clip_0003|clip_0004,el club atletico boca juniors perdio 1 a 0 frente a universidad catolica en la bombonera || en el estadio alberto jose armando y queda eliminado de la copa libertadores en fase de grupos || primera vez que un equipo chileno gana en la bombonera en copa libertadores,DAVOO XENEIZE OPINA DE BOCA 0 UNIVERSIDAD CATOLICA,f07 DAVOO XENEIZE OPINA DE BOCA 0 UNIVERSIDAD CATOLICA,el club atletico boca juniors perdio 1 a 0 frente a universidad catolica en la bombonera,site:youtube.com DAVOO XENEIZE OPINA DE BOCA 0 UNIVERSIDAD CATOLICA,,,
f13__JULI_POGGIO_EN_FERN_CON_GREGO,f13,JULI POGGIO EN FERNÉ CON GREGO,556,high,https://www.youtube.com/watch?v=1zF5z-CjewQ,JULI POGGIO EN FERNÉ CON GREGO,Grego Rossello,blocked_alignment_failed=5|baseline_existing_only=551|low_alignment_score_present|source_reconstruction_failed,clip_0000|clip_0001|clip_0002|clip_0003|clip_0004,trabaje muchisimo en flores en avellaneda te juro que yo era la reina de avellaneda || en serio me encanta es una persona con la cual es muy dificil pelear || ah si por que te lo digo como hermana porque es esa gente que te dice tipo dale dale buenisimo si,JULI POGGIO EN FERNÉ CON GREGO,f13 JULI POGGIO EN FERNÉ CON GREGO,trabaje muchisimo en flores en avellaneda te juro que yo era la reina de avellaneda,site:youtube.com JULI POGGIO EN FERNÉ CON GREGO,,,
f22__ME_ACUSARON_DE_BRUJA_Y_ME_TUVE_QUE_IR_DEL_PUEBLO_-,f22,ME ACUSARON DE BRUJA Y ME TUVE QUE IR DEL PUEBLO -,542,medium,https://www.youtube.com/watch?v=G555f-3hnd8,ME ACUSARON DE BRUJA Y ME TUVE QUE IR DEL PUEBLO - Anécdotas de pueblo,Martin Cirio,blocked_alignment_failed=6|baseline_existing_only=536|low_alignment_score_present|source_reconstruction_failed,clip_0000|clip_0001|clip_0002|clip_0003|clip_0004,holi holis bellos mios como estan soy yo || la señora elfa y hoy en el video de la fecha vamos a hablar de anecdotas de pueblos || ustedes me mandaron sus anecdotas de pueblo a djforanachorracom,ME ACUSARON DE BRUJA Y ME TUVE QUE IR DEL PUEBLO -,f22 ME ACUSARON DE BRUJA Y ME TUVE QUE IR DEL PUEBLO -,holi holis bellos mios como estan soy yo,site:youtube.com ME ACUSARON DE BRUJA Y ME TUVE QUE IR DEL PUEBLO -,,,
f42__Por_qu_ya_no_podemos_conversar_y_c_mo_aprender_a,f42,Por qué ya no podemos conversar (y cómo aprender a,373,high,https://www.youtube.com/watch?v=uSK7zk5u-RE,Por qué ya no podemos conversar (y cómo aprender a argumentar),Azul ☆ Take it easy,blocked_alignment_failed=5|baseline_existing_only=368|low_alignment_score_present|source_reconstruction_failed,clip_0000|clip_0001|clip_0002|clip_0003|clip_0004,hoy todo el mundo tiene opiniones pero muy pocas personas saben argumentarlas || siento que estamos constantemente informandonos de fuentes de informacion muy vacias muy banales muy basicas || y siento que no se puede hablar con nadie y que la gente en general veo como un patron de que no se puede conversar y mucho menos debatir de temas,Por qué ya no podemos conversar (y cómo aprender a,f42 Por qué ya no podemos conversar (y cómo aprender a,hoy todo el mundo tiene opiniones pero muy pocas personas saben argumentarlas,site:youtube.com Por qué ya no podemos conversar (y cómo aprender a,,,
f12__GASPI_DAMIAN_KUC_LA_REINI_BOTTERO_EL_MUNDIAL_Y,f12,"GASPI, DAMIAN KUC, LA REINI, BOTTERO, EL MUNDIAL Y",360,high,https://www.youtube.com/watch?v=VpCoTQ9073o,"GASPI, DAMIAN KUC, LA REINI, BOTTERO, EL MUNDIAL Y MÁS",PabloAgustin,blocked_alignment_failed=7|baseline_existing_only=32|low_alignment_score_present,clip_0000|clip_0001|clip_0003|clip_0004|clip_0005,hola a todos mi nombre es pablo agustin y si estas suscripto eso esta muy bien y si sos miembro mucho mejor || en el dia de hoy tenemos noticias siiii yey || lo vamos a tratar al final porque ya venimos de semanas estamos o sea tenemos que levantar y las noticias estan muy dificiles,"GASPI, DAMIAN KUC, LA REINI, BOTTERO, EL MUNDIAL Y","f12 GASPI, DAMIAN KUC, LA REINI, BOTTERO, EL MUNDIAL Y",hola a todos mi nombre es pablo agustin y si estas suscripto eso esta muy bien y si sos miembro mucho mejor,"site:youtube.com GASPI, DAMIAN KUC, LA REINI, BOTTERO, EL MUNDIAL Y",,,
f27__MICA_SUAREZ_KEVSHO_LULI_GONZALEZ_JAMES_CHARLES,f27,"MICA SUAREZ, KEVSHO, LULI GONZALEZ, JAMES CHARLES,",331,medium,https://www.youtube.com/watch?v=GhdO9yCVxb8,"MICA SUAREZ, KEVSHO, LULI GONZALEZ, JAMES CHARLES, NATI J, PASO DE TODO CHICOS, ME EXTRAÑARON?",PabloAgustin,blocked_alignment_failed=5|baseline_existing_only=326|low_alignment_score_present|source_reconstruction_failed,clip_0000|clip_0001|clip_0002|clip_0003|clip_0004,hola a todos mi nombre es pablo agustin y si estas suscripto eso esta muy bien y si sos miembro mucho mejor || en el dia de hoy tenemos un video de noticias volvi volvi || he vuelto en forma de fichas juan domingo perdon juan domingo perdon,"MICA SUAREZ, KEVSHO, LULI GONZALEZ, JAMES CHARLES,","f27 MICA SUAREZ, KEVSHO, LULI GONZALEZ, JAMES CHARLES,",hola a todos mi nombre es pablo agustin y si estas suscripto eso esta muy bien y si sos miembro mucho mejor,"site:youtube.com MICA SUAREZ, KEVSHO, LULI GONZALEZ, JAMES CHARLES,",,,
f01__AN_CDOTA_VIAJE_MUNDIAL_BRASIL_2014_parte_1,f01,ANÉCDOTA VIAJE MUNDIAL BRASIL 2014  parte 1,302,high,https://www.youtube.com/watch?v=PyOSsNLEg4I,ANÉCDOTA VIAJE MUNDIAL BRASIL 2014 | parte 1,Momo,blocked_alignment_failed=23|baseline_existing_only=89|low_alignment_score_present,clip_0000|clip_0001|clip_0002|clip_0003|clip_0004,bueno amigos esta es una anecdota muy especial porque es un gran recuerdo y la apuesta es que creo haberla contado alguna vez y en mixer creo que fue entonces se perdieron mucho las transmisiones incluso se perdio la de duki y neo pero creo que habia que darla con detalles con fotos de como fue el viaje y demas || les comento los pongo en contexto argentina seleccion 2014 el maestro sabela al frente de la seleccion argentina parecia que nos daba molidos mangos en la primera ronda todos se acuerdan del partido con iran que nos salva messi || cuestion yo voy a ser sincero yo tampoco tenia tanta fe en la seleccion lo bancaba sabela pero habia cositas que no me gustaban bueno como somos los argentinos en eso tengo que ser honesto,ANÉCDOTA VIAJE MUNDIAL BRASIL 2014 parte 1,f01 ANÉCDOTA VIAJE MUNDIAL BRASIL 2014 parte 1,bueno amigos esta es una anecdota muy especial porque es un gran recuerdo y la apuesta es que creo haberla contado alguna vez y en mixer creo que fue entonces se perdieron mucho la,site:youtube.com ANÉCDOTA VIAJE MUNDIAL BRASIL 2014 parte 1,,,
f11__Entrevista_completa_por_mi_libro_Franco_con_Diego,f11,Entrevista completa por mi libro Franco con Diego,295,high,https://www.youtube.com/watch?v=EKVYAG_I44g,"Entrevista completa por mi libro ""Franco"" con Diego Sehinkman",Mauricio Macri,blocked_alignment_failed=1|baseline_existing_only=13|low_alignment_score_present,clip_0015|clip_0019|clip_0020|clip_0021|clip_0024,ahi esta francisco yo lo he llevado millones de veces ahi pero bueno que se yo || una mezcla digo yo no pero un dia creo que en la pandemia dije || voy a escribir mi vision de quien fue papa,Entrevista completa por mi libro Franco con Diego,f11 Entrevista completa por mi libro Franco con Diego,ahi esta francisco yo lo he llevado millones de veces ahi pero bueno que se yo,site:youtube.com Entrevista completa por mi libro Franco con Diego,,,
f29__Manipulaci_n_mental_C_mo_tu_CEREBRO_literalmente_c,f29,Manipulación mental Cómo tu CEREBRO literalmente c,291,low,https://www.youtube.com/watch?v=L968oG0ozIM,Experta en Reprogramación Mental: Cómo ENGAÑAR a tu cerebro para ELIMINAR malos hábitos | Ana Ibañez,A lo Grande Podcast (con Marian Gamboa),match_confidence=low|blocked_source_not_found=291,clip_0000|clip_0001|clip_0002|clip_0003|clip_0004,buenas yo dije que iba a ser mas constante con los videos quizas no fue una semana exacta || ocho dias pero heme aqui grabando un nuevo episodio y yo no se si no claro no lo ven || porque lo corto pero yo tengo el microfono enchufado a la computadora y el celular aparte,Manipulación mental Cómo tu CEREBRO literalmente c,f29 Manipulación mental Cómo tu CEREBRO literalmente c,buenas yo dije que iba a ser mas constante con los videos quizas no fue una semana exacta,site:youtube.com Manipulación mental Cómo tu CEREBRO literalmente c,,,
f18__Las_y_los_estudiantes_al_frente_-_Entrevista_a_la,f18,Las y los estudiantes al frente - Entrevista a la,257,medium,https://www.youtube.com/watch?v=ai0ICVOsXlI,"""Las y los estudiantes al frente"" - Entrevista a la docente Cristal Farias",BAeducación,blocked_alignment_failed=124|baseline_existing_only=133|low_alignment_score_present,clip_0001|clip_0002|clip_0003|clip_0004|clip_0005,que es la educacion secundaria gracias la primera pregunta es si tu familia esta o estaba de acuerdo con tu transicion || bien hermosa pregunta en estas situaciones de transiciones es muy dificil contar con el apoyo familiar || por ese motivo es que muchas chicas chicos y chiques que transitan esta situacion,Las y los estudiantes al frente - Entrevista a la,f18 Las y los estudiantes al frente - Entrevista a la,que es la educacion secundaria gracias la primera pregunta es si tu familia esta o estaba de acuerdo con tu transicion,site:youtube.com Las y los estudiantes al frente - Entrevista a la,,,
