source_id,spk,titulo,clip_count,example_clips,n_frames_min,n_frames_mean,n_frames_max,text_examples,candidate_url,candidate_video_id,candidate_title,candidate_channel,candidate_duration,match_method,match_score,match_confidence,has_youtube_subs,has_youtube_auto_subs,source_status,notes
f01__AN_CDOTA_VIAJE_MUNDIAL_BRASIL_2014_parte_1,f01,ANÉCDOTA VIAJE MUNDIAL BRASIL 2014  parte 1,302,clip_0000|clip_0001|clip_0002|clip_0003|clip_0004,80,118.9,413,bueno amigos esta es una anecdota muy especial porque es un gran recuerdo y la apuesta es que creo haberla contado alguna vez y en mixer creo que fue entonces se perdieron mucho las transmisiones incluso se perdio la de duki y neo pero creo que habia que darla con detalles con fotos de como fue el viaje y demas || les comento los pongo en contexto argentina seleccion 2014 el maestro sabela al frente de la seleccion argentina parecia que nos daba molidos mangos en la primera ronda todos se acuerdan del partido con iran que nos salva messi || cuestion yo voy a ser sincero yo tampoco tenia tanta fe en la seleccion lo bancaba sabela pero habia cositas que no me gustaban bueno como somos los argentinos en eso tengo que ser honesto,https://www.youtube.com/watch?v=PyOSsNLEg4I,PyOSsNLEg4I,ANÉCDOTA VIAJE MUNDIAL BRASIL 2014 | parte 1,Momo,1596,ytsearch_title,100.0,high,false,true,mapped_high,"mapping_index=1; subtitles=; auto_subs=aa,ab,af,ak,am"
f02__AZZARO_REACCI_N_-_CICLO_TERMINADO_RACING_EMPAT_2-,f02,AZZARO REACCIÓN - CICLO TERMINADO RACING EMPATÓ 2-,165,clip_0000|clip_0001|clip_0002|clip_0003|clip_0006,80,134.17,351,es una verguenza absoluta lo que acaba de pasar en la cancha de racing || y la verdad es que cualquier cosa que pueda decir en este video || no no me voy a arrepentir no no me voy a arrepentir bajo ningun concepto,https://www.youtube.com/watch?v=a4ggqJZXnQE,a4ggqJZXnQE,AZZARO REACCIÓN - CICLO TERMINADO: RACING EMPATÓ 2-2 VS CARACAS Y QUEDÓ ELIMINADO EN LA SUDAMERICANA,AZZ,1141,ytsearch_title,65.28,low,false,true,needs_review,"mapping_index=2; subtitles=; auto_subs=aa,ab,af,ak,am"
f03__AZZARO_REACCI_N_-_RIVER_A_LA_FINAL_LE_GAN_1-0_A,f03,"AZZARO REACCIÓN - RIVER, A LA FINAL LE GANÓ 1-0 A",221,clip_0000|clip_0001|clip_0002|clip_0003|clip_0004,79,128.19,267,y river se metio en la final y river que durante todo el semestre estuvimos diciendo || no tiene el plantel que deberia tener esta plagado de pibes || hay jugadores que no estan a la altura que culo que tiene river,https://www.youtube.com/watch?v=9k48Da7vkzE,9k48Da7vkzE,"AZZARO REACCIÓN - RIVER, A LA FINAL: LE GANÓ 1-0 A CENTRAL EN EL MONUMENTAL",AZZ,1255,ytsearch_title,78.63,medium,false,true,mapped_medium,"mapping_index=3; subtitles=; auto_subs=aa,ab,af,ak,am"
f04__BULLRICH_DESAF_A_a_KARINA_MILEI_con_el_3_ESTA_SE,f04,BULLRICH DESAFÍA a KARINA MILEI con el 3%  ESTA SE,97,clip_0008|clip_0009|clip_0010|clip_0011|clip_0012,79,121.69,252,porque esta lia porque estuvo bueno el guion || que sentis vos ian ayesa bienvenido nuevamente || que tal buenas tardes yo no se cuanta gente le ve en general,https://www.youtube.com/watch?v=Dp3FkqrX3a4,Dp3FkqrX3a4,BULLRICH DESAFÍA a KARINA MILEI con el 3% | ESTA SEMANA EN SPRINGFIELD con Pedro ROSEMBLAT,GELATINA,1198,ytsearch_title,71.11,medium,false,true,mapped_medium,"mapping_index=4; subtitles=; auto_subs=aa,ab,af,ak,am"
f05__CHARLA_SOBRE_EL_AMOR_Y_EL_DESAMOR,f05,CHARLA SOBRE EL AMOR Y EL DESAMOR,233,clip_0000|clip_0001|clip_0002|clip_0003|clip_0004,75,98.71,200,voy a antereccionar maria del cerro y ahora que hay un monton de gente en el chat les quiero decir algo || la vida aca voy a aparecer un hippie o esas finas que leen el horoscopo || pero la vida posta que se trata de energias,https://www.youtube.com/watch?v=_GTu8K8a_Jw,_GTu8K8a_Jw,CHARLA SOBRE EL AMOR Y EL DESAMOR,Coscu,989,ytsearch_title,100.0,high,false,true,mapped_high,"mapping_index=5; subtitles=; auto_subs=aa,ab,af,ak,am"
f06__Coronavirus_conferencia_completa_de_Alberto_Fern_n,f06,Coronavirus conferencia completa de Alberto Fernán,184,clip_0001|clip_0002|clip_0003|clip_0004|clip_0005,80,126.79,250,buenas tardes a todos a todas a ver tuvimos hoy una nueva reunion con el || con el gabinete con la parte del gabinete que esta dedicado al problema del coronavirus || y con los expertos en infectologia y los expertos medicos,https://www.youtube.com/watch?v=KlGIXhSc1LI,KlGIXhSc1LI,Coronavirus | Resumen: lo que dejó la conferencia de Alberto Fernández,Todo Noticias,237,ytsearch_title,70.09,medium,false,true,mapped_medium,"mapping_index=6; subtitles=; auto_subs=aa,ab,af,ak,am"
f07__DAVOO_XENEIZE_OPINA_DE_BOCA_0_UNIVERSIDAD_CATOLICA,f07,DAVOO XENEIZE OPINA DE BOCA 0 UNIVERSIDAD CATOLICA,937,clip_0000|clip_0001|clip_0002|clip_0003|clip_0004,79,100.71,421,el club atletico boca juniors perdio 1 a 0 frente a universidad catolica en la bombonera || en el estadio alberto jose armando y queda eliminado de la copa libertadores en fase de grupos || primera vez que un equipo chileno gana en la bombonera en copa libertadores,https://www.youtube.com/watch?v=ChceWp7jwCA,ChceWp7jwCA,DAVOO XENEIZE OPINA DE BOCA 0 UNIVERSIDAD CATOLICA 1 (2026) - FECHA 6 - COPA LIBERTADORES.,Davoo Xeneize,3720,ytsearch_title,75.19,medium,false,true,mapped_medium,"mapping_index=7; subtitles=; auto_subs=aa,ab,af,ak,am"
f08__EL_DIA_QUE_CASI_MATO_A_MI_TIO_An_cdota_real,f08,EL DIA QUE CASI MATO A MI TIO (Anécdota real),23,clip_0000|clip_0001|clip_0002|clip_0003|clip_0004,254,258.13,270,bienvenidos amigos como estan les doy la bienvenida a una anecdota graciosa hoy les voy a contar una historia real como se dice story time algo que es real algo que paso y que realmente casi || termino de una manera muy tragica porque fue un cago de risa lo que paso es una de las anecdotas de las experiencias que me han pasado en la vida mas raras y quedense hasta el final del video porque no lo van a poder creer es como lucas || como carajo paso eso antes que nada muchas gracias por dar me gusta al video compartilo con sus amigos suscribete al canal y activa la campanita todo eso que ustedes saben asi que ponete comodo comoda ahi en tu casa porque te voy,https://www.youtube.com/watch?v=Yqe3Z8zVS_A,Yqe3Z8zVS_A,EL DIA QUE CASI MATO A MI TIO (Anécdota real),Lucas Castel :D,494,ytsearch_title,100.0,high,false,true,mapped_high,"mapping_index=8; subtitles=; auto_subs=aa,ab,af,ak,am"
f09__ESTOY_EN_UN_BROTE_PERDON,f09,ESTOY EN UN BROTE PERDON,207,clip_0000|clip_0001|clip_0002|clip_0003|clip_0005,32,204.38,286,hola a todos mi nombre es pablo agustin y si estas suscripto eso esta muy bien en el dia de hoy yo estoy teniendo un brote yo no me siento un poco bien estoy con un bajon de presion entonces yo tengo que blanquearlo de || entrada porque si no este video no va a ir ni para delante ni para atras || hay que aceptar que en la vida hay crisis o sea la vida es lo bueno y la vida es lo malo bueno etcetera etcetera cosas que ya aprendimos bueno esta bien eso lo hablo con victoria,https://www.youtube.com/watch?v=FhPgg2-hIDU,FhPgg2-hIDU,ESTOY EN UN BROTE PERDON,PabloAgustin,1936,ytsearch_title,100.0,high,false,true,mapped_high,"mapping_index=9; subtitles=; auto_subs=aa,ab,af,ak,am"
f10__El_mensaje_de_Coscu_sobre_EL_AMOR,f10,El mensaje de Coscu sobre EL AMOR,7,clip_0000|clip_0001|clip_0002|clip_0003|clip_0004,86,157.29,258,yo me vine a preguntar aca corte con mi novia estoy re mal se que es una catastrofe pero despues de la catastrofe || viene una etapa increible para nosotros saben cual es || cuando hacemos el duelo cuando nos tomamos nuestro tiempo cuando lloramos lloramos lloramos,https://www.youtube.com/watch?v=HxbDNIhQ4xU,HxbDNIhQ4xU,"La convivencia, no muy buena idea: Fernando Sanjiao at TEDxUTN",TEDx Talks,529,existing_manifest_url_metadata_mismatch,25.81,none,false,true,blocked_source_not_found,"mapping_index=10; subtitles=; auto_subs=aa,ab,af,ak,am"
