titulo,clip,n_frames,texto
ANCDOTA VIAJE MUNDIAL BRASIL 2014  parte 1,clip_0000,194,bueno amigos esta es una anecdota muy especial porque es un gran recuerdo y la posta es que creo que creo haberla contado alguna vez
ANCDOTA VIAJE MUNDIAL BRASIL 2014  parte 1,clip_0001,126,y en mixer creo que fue entonces se perdieron muchas transmisiones incluso se perdieron a eduqui y neo
ANCDOTA VIAJE MUNDIAL BRASIL 2014  parte 1,clip_0002,100,pero creo que habia que darla con detalles con fotos de como fue el viaje y demas
ANCDOTA VIAJE MUNDIAL BRASIL 2014  parte 1,clip_0003,114,les comento los pongo en contexto argentina seleccion 2014
ANCDOTA VIAJE MUNDIAL BRASIL 2014  parte 1,clip_0004,164,el maestro zabela al frente de la seleccion argentina parecia que no daba moneda dos mangos en la primera ronda
ANCDOTA VIAJE MUNDIAL BRASIL 2014  parte 1,clip_0005,150,los motos se acuerdan el partido con iran que nos salva messi cuestion yo voy a ser sincero yo tampoco tenia tanta fe en la seleccion
ANCDOTA VIAJE MUNDIAL BRASIL 2014  parte 1,clip_0006,108,lo bancaba zabela pero habia cositas que no me gustaba
ANCDOTA VIAJE MUNDIAL BRASIL 2014  parte 1,clip_0007,195,bueno como somos los argentinos tengo que ser honesto cuestion que jugabamos con holanda nos juntabamos todos los vader a ver el partido
ANCDOTA VIAJE MUNDIAL BRASIL 2014  parte 1,clip_0008,141,estabamos en la casa de milcar ya antes del partido me decia nada porque vos momo que toque el otro
ANCDOTA VIAJE MUNDIAL BRASIL 2014  parte 1,clip_0009,129,da legero que la concha de tu madre yo discutiendo con juancito que en los dos siempre discutimos
ANCDOTA VIAJE MUNDIAL BRASIL 2014  parte 1,clip_0010,177,entonces contra holanda me dice hagamos una cosa si le ganamos a holanda nos vamos a brasil a ver la final
ANCDOTA VIAJE MUNDIAL BRASIL 2014  parte 1,clip_0011,194,yo habia ruido porque yo no creia que le vayamos a ganar a holanda acuerdense que ese holanda fue el que hizo el gol de palomita
ANCDOTA VIAJE MUNDIAL BRASIL 2014  parte 1,clip_0012,169,no me acuerdo ahora no me lo he visto no si creo que fue el gol de robben que tenian una maquina increible holanda
ANCDOTA VIAJE MUNDIAL BRASIL 2014  parte 1,clip_0013,168,van persi cuestion que le digo no tengo si bueno si le digo si si le ganamos a holanda vamos a brasil
ANCDOTA VIAJE MUNDIAL BRASIL 2014  parte 1,clip_0014,153,yo la tire por tirarla bueno entonces vamos a penale cuando va a ver a tu hijo que ganamos todos
ANCDOTA VIAJE MUNDIAL BRASIL 2014  parte 1,clip_0015,194,obviamente festejando que se yo y me dice no vamos a tener a brasil bueno si esta bien yo siempre que digo algo lo cumplo
ANCDOTA VIAJE MUNDIAL BRASIL 2014  parte 1,clip_0016,138,lo miro a milcar y bueno no vamos a brasil bueno no vamos a brasil ya arranco como la mierda estabamos en lo de a milcar
ANCDOTA VIAJE MUNDIAL BRASIL 2014  parte 1,clip_0017,166,claro cuando vimos todo eso todo empezando a buscar pasaje empezamos a buscar pasaje que si que no vamos a brasil que no vamos a brasil que toque el otro gol no vamos a brasil
ANCDOTA VIAJE MUNDIAL BRASIL 2014  parte 1,clip_0018,229,bueno empezamos a sacar cuentas no vamos a comprar el aire bueno cuando digo no ya esta todo agotado no hay nada no hay nada para irnos
ANCDOTA VIAJE MUNDIAL BRASIL 2014  parte 1,clip_0019,177,aparece la hermana de a milcar y dice encontre un vuelo nos manda el link yo como un pelotudo agarro ni mire
ANCDOTA VIAJE MUNDIAL BRASIL 2014  parte 1,clip_0020,252,ponele que el partido era miercoles 24 y el lunes podiamos volar entonces era lunes 22 lunes 22 martes 23 y miercoles 24 lunes 22
ANCDOTA VIAJE MUNDIAL BRASIL 2014  parte 1,clip_0021,220,entonces buscamos para sacar lunes 22 miro asi lunes 22 voy compro el pasaje un termino para el pasaje era ponele nosotros estamos jugando el mundial no me acuerdo fue junio ponele
ANCDOTA VIAJE MUNDIAL BRASIL 2014  parte 1,clip_0022,298,el pasaje era el lunes 22 de octubre cuando me llegue a la notificacion de que compro un pasaje boludo compro un pasaje en octubre todos cagandose de risa sos un pelotudo
ANCDOTA VIAJE MUNDIAL BRASIL 2014  parte 1,clip_0023,388,y luciano me miraba y me decia al hubeo el de la anecdota me decia oh brasil temporada baja hermoso vos sos pelotudo luciano le digo hermoso la es pelota boludo acabo de comprarme acabo de meter no se cuantos miles de pesos en el horto boludo no brasil en temporada baja hermoso
ANCDOTA VIAJE MUNDIAL BRASIL 2014  parte 1,clip_0024,195,vos sos un tarado le digo ahora que mierda hago en el pasaje no me van a devolver la plata hermoso en temporada baja andar a concha a tu madre luciano le digo sos un tarado
ANCDOTA VIAJE MUNDIAL BRASIL 2014  parte 1,clip_0025,262,bueno a todo esto todos cagandose de risa de que ya habia gastado 15 mil 20 mil pesos al pedo ya empece a hacer el reclamo de en un se que la tarjeta la habia perdido que me hicieron el piching no se que mierda
ANCDOTA VIAJE MUNDIAL BRASIL 2014  parte 1,clip_0026,150,cagando en la puteda de la hermana de amilca de ligo veronica como me vas a mandar un link de un pasaje en octubre cuando vole en junio
ANCDOTA VIAJE MUNDIAL BRASIL 2014  parte 1,clip_0027,158,bueno cuestion que claro no terminaba mas todo burlandose bueno tenian razon era un pelotudo
ANCDOTA VIAJE MUNDIAL BRASIL 2014  parte 1,clip_0028,275,cuestion que agarro y me dice bueno vamos en auto yo tenia el goltren amigo yo esta todo bien pero en el goltren no llegamos ni a palo o sea y re incomodo
ANCDOTA VIAJE MUNDIAL BRASIL 2014  parte 1,clip_0029,233,hacemos 10 horas de viaje y tenemos que operar de la columna a la mitad del auto o sea no podemos era a rio de janeiro en un goltren
ANCDOTA VIAJE MUNDIAL BRASIL 2014  parte 1,clip_0030,162,bueno dice discutiendo en cual vamos bueno a ver quien se sube eramos a milcar luciano juancito y yo
ANCDOTA VIAJE MUNDIAL BRASIL 2014  parte 1,clip_0031,250,vamos 4 bueno listo vamos 4 faltando un dia se baja a milcar no que no se a mi me ha pedido el trabajo voludo tenemos que ir
ANCDOTA VIAJE MUNDIAL BRASIL 2014  parte 1,clip_0032,138,no que no se que porque mi papa dice que no se que toque el auto vanda la concha a tu madre esta bien
ANCDOTA VIAJE MUNDIAL BRASIL 2014  parte 1,clip_0033,208,eramos 3 economicamente era era inviable porque estabamos si ibamos 4 dividiamos entre todos era menos plata entre nafta y demas
ANCDOTA VIAJE MUNDIAL BRASIL 2014  parte 1,clip_0034,162,juancito dice yo pongo el auto juancito tiene un 580 auto muy lindo para que anden dos personas porque es comun smart
ANCDOTA VIAJE MUNDIAL BRASIL 2014  parte 1,clip_0035,212,pero atras lo que nadie nos dijo es que el que va atras o sea el que va atras del 580 ponenle esta es la butaca de una la butaca es un auto normal
ANCDOTA VIAJE MUNDIAL BRASIL 2014  parte 1,clip_0036,175,la butaca del 580 o sea esta es la butaca del 580 y esta es la postura de las gobas asi claro que es lo que pasa
ANCDOTA VIAJE MUNDIAL BRASIL 2014  parte 1,clip_0037,182,cuando vos vas adentro de un huevo con ruedas podes ir adentro de un huevo con ruedas durante 8 horas no 34 36
ANCDOTA VIAJE MUNDIAL BRASIL 2014  parte 1,clip_0038,262,nunca lo pensamos o sea agarramos claro o sea ese auto era un creador de mochilas estilo coscu o sea salias de ahi tenias tu propia mochila
ANCDOTA VIAJE MUNDIAL BRASIL 2014  parte 1,clip_0039,212,un viaje una mochila agarro digo bueno a todo esto aca es donde se empieza a poner linda la cosa para ustedes para nosotros nafta
ANCDOTA VIAJE MUNDIAL BRASIL 2014  parte 1,clip_0040,112,porque empezamos a buscar quien iba a ocupar el lugar de a milcar para bajar los costos del viaje
ANCDOTA VIAJE MUNDIAL BRASIL 2014  parte 1,clip_0041,188,y juancito dice mi primo se quiere sumar bueno esta bien que onda tu primo miralio juancito es un viaje de 36 horas nosotros nos conocemos
ANCDOTA VIAJE MUNDIAL BRASIL 2014  parte 1,clip_0042,252,podemos viajar pero a este chavon no lo conocemos o sea nada de recopado es un genio buena onda el chavon viola bueno como se llama alan creo que se llama
ANCDOTA VIAJE MUNDIAL BRASIL 2014  parte 1,clip_0043,155,me olvide el nombre porque termine tan pero tan encabronado con ese chavon que lo aborre si
ANCDOTA VIAJE MUNDIAL BRASIL 2014  parte 1,clip_0044,175,pues tiene un que es loco dice bueno viene alan no se que bueno escuchadme todos buscando un gps bueno escuchadme vamos con gps
ANCDOTA VIAJE MUNDIAL BRASIL 2014  parte 1,clip_0045,250,a ver quien tiene un gps y salta armamos un grupito y salta y dice no yo tengo gps bueno a todo esto luciano que ya habia ido a san pablo a ver a los estudiantes
ANCDOTA VIAJE MUNDIAL BRASIL 2014  parte 1,clip_0046,175,por la copa de libertadores es ese tipo alarmista que decia yo les voy a aclarar una cosa si vamos en auto hay que tener mucho cuidado en san pablo
ANCDOTA VIAJE MUNDIAL BRASIL 2014  parte 1,clip_0047,175,en san pablo te violan te matan violan el cadaver despues desaparecen el cadaver vuelven a violarlo una vez que estan el basurero
ANCDOTA VIAJE MUNDIAL BRASIL 2014  parte 1,clip_0048,175,entonces voy a decir empezo a meter miedo desde la arranca entonces ya san pablo era como decir estamos pasando por el infierno el umbral del infierno a san pablo
ANCDOTA VIAJE MUNDIAL BRASIL 2014  parte 1,clip_0049,175,entonces le digo no creo que sea tan grave luciano o sea me meti en google street lo veo las autopistas que vamos a agarrar no no eso es terrible
ANCDOTA VIAJE MUNDIAL BRASIL 2014  parte 1,clip_0050,125,hay que tener mucho cuidado y que esto que es otro entonces luciano pone en el grupo actualizar el gps
ANCDOTA VIAJE MUNDIAL BRASIL 2014  parte 1,clip_0051,150,porque hicieron autopistas nuevas que no estan en el viejo en el mapa que te viene con ese gps
ANCDOTA VIAJE MUNDIAL BRASIL 2014  parte 1,clip_0052,200,si dice el chamon yo lo actualizo bueno cuestion que nos encontramos yo agarro no tenia el gol tren mentira tenia un gol power 3 puertas
ANCDOTA VIAJE MUNDIAL BRASIL 2014  parte 1,clip_0053,150,que tenia escape silem que sonaba o sea ir en ese auto no podia ir a capital le volaba la cabeza a cualquiera porque asi ha
ANCDOTA VIAJE MUNDIAL BRASIL 2014  parte 1,clip_0054,200,lo tenia medio pistelo entonces lo dejo mi auto en la casa de mi ex en nuñez y todos saliamos desde puentes avedra que estaba muy nomas
ANCDOTA VIAJE MUNDIAL BRASIL 2014  parte 1,clip_0055,275,bueno luluyo nos vamos desde la plata y alan y juancito que eran de juancito de lanuz y alan de san isidro nos encontramos en punto medio que era ahi punto de puentes avedra
ANCDOTA VIAJE MUNDIAL BRASIL 2014  parte 1,clip_0056,150,caemos que es eso dice bueno en esa epoca yo estaba mas trastornado que ahora era todo el tiempo todo el tiempo era
ANCDOTA VIAJE MUNDIAL BRASIL 2014  parte 1,clip_0057,175,entonces bueno llegamos cada uno se habia armado su bolsito traemos plata traemos esto traemos el otro cuando estabamos en
ANCDOTA VIAJE MUNDIAL BRASIL 2014  parte 1,clip_0058,200,por subirnos al auto nos vamos a subir al auto cain nos presenta la primera vez que veiamos a alan real proximamente llamado camion de basura
ANCDOTA VIAJE MUNDIAL BRASIL 2014  parte 1,clip_0059,250,todo el trayecto se llamo camion de basura despues de algo estrategico que paso o sea paso algo que quebro el viaje a lo cual yo lo apode el camion de basura
ANCDOTA VIAJE MUNDIAL BRASIL 2014  parte 1,clip_0060,150,y se lo dije o sea despues del viaje se puso returbo pero ahora es alan despues va a ser el camion de basura
ANCDOTA VIAJE MUNDIAL BRASIL 2014  parte 1,clip_0061,200,entonces agarro nos subimos y cae a alan y dice no yo trajo un tapper con unos anguchitos que preparo mi mama es para que lleguemos mas o menos a turuguay
ANCDOTA VIAJE MUNDIAL BRASIL 2014  parte 1,clip_0062,200,puerta con brasil y podamos con esto tenemos que llegar el chavon saco un tapper con no se habia bonelle 12 sanguchitos de pan lagdal
ANCDOTA VIAJE MUNDIAL BRASIL 2014  parte 1,clip_0063,200,bueno que esto que es el otro y adentro de un tapper que persona escuchen esto que persona adentro de un tapper guarda un gorrito de argentina
ANCDOTA VIAJE MUNDIAL BRASIL 2014  parte 1,clip_0064,100,entonces el chavon lo que viene con el tapper de comida y un tapper con un gorrito adentro
ANCDOTA VIAJE MUNDIAL BRASIL 2014  parte 1,clip_0065,125,entonces juancito le dice por que escuchas hay un gorro adentro del tapper
ANCDOTA VIAJE MUNDIAL BRASIL 2014  parte 1,clip_0066,125,asi es el gorro de cabala que utilizo yo nunca lo la ves y por que lo tenes adentro del tapper
ANCDOTA VIAJE MUNDIAL BRASIL 2014  parte 1,clip_0067,75,no no porque lo cuido asi para que no agarre olor
ANCDOTA VIAJE MUNDIAL BRASIL 2014  parte 1,clip_0068,100,bueno lo que era para que no agarre olor amigos era una camara al vacio de caca
ANCDOTA VIAJE MUNDIAL BRASIL 2014  parte 1,clip_0069,150,o sea era como tener un sorete guardarlo en un tapper y decir hay olor a caca todo el año
ANCDOTA VIAJE MUNDIAL BRASIL 2014  parte 1,clip_0070,75,tapper de caca o sea tapper de gorrito con caca
ANCDOTA VIAJE MUNDIAL BRASIL 2014  parte 1,clip_0071,100,entonces lo que nunca lo abrimos el tapper o sea hasta no llegar a brasil no sabiamos de esto
ANCDOTA VIAJE MUNDIAL BRASIL 2014  parte 1,clip_0072,100,deja el tapper con el gorro que el gorro tenia no se 10 años
ANCDOTA VIAJE MUNDIAL BRASIL 2014  parte 1,clip_0073,150,habia el tapper con comida bueno subimos a panamericana hablando de las reglas de convivencia y demas
ANCDOTA VIAJE MUNDIAL BRASIL 2014  parte 1,clip_0074,125,y que esto que es lo otro bueno entonces bueno estabamos ahi en el viaje arrancamos y vamos a panamericana
ANCDOTA VIAJE MUNDIAL BRASIL 2014  parte 1,clip_0075,125,si no porque los muchachos cuidemos el auto cuidemos esto no hagamos cagada nos van a detener en brasil
ANCDOTA VIAJE MUNDIAL BRASIL 2014  parte 1,clip_0076,125,sino no no te lo hablas brasil bueno lulo hablando de san pablo lulo hablaba de san pablo
ANCDOTA VIAJE MUNDIAL BRASIL 2014  parte 1,clip_0077,75,todo lo que era era san pablo hay que tener cuidado en san pablo menos mal que actualizate el gpc
ANCDOTA VIAJE MUNDIAL BRASIL 2014  parte 1,clip_0078,125,porque en san pablo y en san pablo y en san pablo y en san pablo y digo luciano no quiero escucharte mas hablar de san pablo
ANCDOTA VIAJE MUNDIAL BRASIL 2014  parte 1,clip_0079,125,ya sabemos que en san pablo nos van a coger violar nos vamos a morir y nos van a vender los organos
ANCDOTA VIAJE MUNDIAL BRASIL 2014  parte 1,clip_0080,125,ya esta amigo no me estas mas miedo el viaje recien empieza nos hace tomar una loza mala a todos
ANCDOTA VIAJE MUNDIAL BRASIL 2014  parte 1,clip_0081,100,que nadie quiere tener una loza mala todavia ni salimos de buenos aires
ANCDOTA VIAJE MUNDIAL BRASIL 2014  parte 1,clip_0082,100,bueno no yo aviso porque bueno esto terminan estabamos yendo a la autopista
ANCDOTA VIAJE MUNDIAL BRASIL 2014  parte 1,clip_0083,125,entonces juancito agarra pues me pone el mas fuerte yo me vuelvo loco y encuentro un casquito de obrero
ANCDOTA VIAJE MUNDIAL BRASIL 2014  parte 1,clip_0084,93,y estaba el techo abierto y agarre tire el casquito por arriba del ca
ANCDOTA VIAJE MUNDIAL BRASIL 2014  parte 1,clip_0085,125,ahora si pa tiro el casquito por arriba del del la ventana del auto
ANCDOTA VIAJE MUNDIAL BRASIL 2014  parte 1,clip_0086,75,sale el casquito volando claro atras venia un auto yo con un tarado
ANCDOTA VIAJE MUNDIAL BRASIL 2014  parte 1,clip_0087,75,el casquito pa le pega en el parabrisa
ANCDOTA VIAJE MUNDIAL BRASIL 2014  parte 1,clip_0088,100,y loco se nos pone el lado y nos dice usted esta enfermo que no se que bueno juancito me dice
ANCDOTA VIAJE MUNDIAL BRASIL 2014  parte 1,clip_0089,100,eguero no podemos arrancar el viaje asi tiraste un casquito en panamericana
ANCDOTA VIAJE MUNDIAL BRASIL 2014  parte 1,clip_0090,125,o sea amigo aparte de ese casco yo lo uso en el trabajo o sea no podemos arrancar el viaje asi
ANCDOTA VIAJE MUNDIAL BRASIL 2014  parte 1,clip_0091,150,bueno a todo esto el pisione dice yo tengo hambre bueno bueno que es para comer frenar a comer algo no frenar a comer algo
ANCDOTA VIAJE MUNDIAL BRASIL 2014  parte 1,clip_0092,175,yo le digo no agarra el taper de los sandwiches no pero y ahi empezo el niño racionador ahi alan dice no no no estos sandwiches son como
ANCDOTA VIAJE MUNDIAL BRASIL 2014  parte 1,clip_0093,100,para llegar a la frontera con brasil el en su cabeza imaginaba que esos sandwiches van a llegar a la frontera y asi
ANCDOTA VIAJE MUNDIAL BRASIL 2014  parte 1,clip_0094,75,bueno no comemos la mitad y despues la otra mitad la comemos
ANCDOTA VIAJE MUNDIAL BRASIL 2014  parte 1,clip_0095,100,amigo cuestion que no habiamos salido de buenos aires que ya no quedaba un sandwiches
ANCDOTA VIAJE MUNDIAL BRASIL 2014  parte 1,clip_0096,200,nos habiamos comido todos los sandwiches del taper y el chavon decia no porque vamos a preparar esto para todo el viaje no lo comimos todos eran las 2 de la mañana habiamos cenado todo
ANCDOTA VIAJE MUNDIAL BRASIL 2014  parte 1,clip_0097,125,o sea ya pintaba para ser un viaje distinto entonces voy a empezar a mostrar imagenes de los personajes
ANCDOTA VIAJE MUNDIAL BRASIL 2014  parte 1,clip_0100,112,no quiero perderme detalles porque la verdad es una anecdota muy larga porque fue un viaje extremadamente largo
ANCDOTA VIAJE MUNDIAL BRASIL 2014  parte 1,clip_0101,175,cuestion que el viaje arranca pasamos sarate entramos uruguay lo que se acuerdan que lo que les decian era
ANCDOTA VIAJE MUNDIAL BRASIL 2014  parte 1,clip_0102,100,gente hagan el ingreso y hagan el egreso porque se comen una multa
ANCDOTA VIAJE MUNDIAL BRASIL 2014  parte 1,clip_0103,175,cuestion que pasamos uruguay no se por donde y pasamos bien no se ya en la salida todo bien entramos
ANCDOTA VIAJE MUNDIAL BRASIL 2014  parte 1,clip_0104,150,se viene ese viaje egipto con pimpicompcom peseto y decidi no pagarlo con el dinero que yo uso mensualmente
ANCDOTA VIAJE MUNDIAL BRASIL 2014  parte 1,clip_0105,200,un amigo me recomendo una pagina llama binomocom es una pagina en la cual ustedes van a predecir cual es el valor de una moneda en determinado tiempo
ANCDOTA VIAJE MUNDIAL BRASIL 2014  parte 1,clip_0115,175,pasense a todo esto siempre recordandole el luciano diciendo que tenemos que entrar y que no se que el gps lo pone
ANCDOTA VIAJE MUNDIAL BRASIL 2014  parte 1,clip_0116,125,y el auto agarro por otro lado entonces claro lo que nosotros no queriamos entrar por no se donde
ANCDOTA VIAJE MUNDIAL BRASIL 2014  parte 1,clip_0117,90,que era que estaba toda la cola de argentino que tenias para pasar seis horas con el
ANCDOTA VIAJE MUNDIAL BRASIL 2014  parte 1,clip_0118,100,y pasamos por un lugar no pasaba nada
ANCDOTA VIAJE MUNDIAL BRASIL 2014  parte 1,clip_0119,75,todo esto durmiendo llegamos a la primer frontera
ANCDOTA VIAJE MUNDIAL BRASIL 2014  parte 1,clip_0120,150,pasamos todo bien todo esto sin dormir nos ibamos a turnar nos ibamos a turnar un tiempo adelante uno
ANCDOTA VIAJE MUNDIAL BRASIL 2014  parte 1,clip_0121,100,o sea eran parejitas juancito y yo adelante manejaba el o manejaba yo
ANCDOTA VIAJE MUNDIAL BRASIL 2014  parte 1,clip_0122,150,y atras alan y luciano ir adelante era como el premio mayor o sea estaba era yo te juro que
ANCDOTA VIAJE MUNDIAL BRASIL 2014  parte 1,clip_0123,75,convenia pagar y viajar adelante y ir atras atras
ANCDOTA VIAJE MUNDIAL BRASIL 2014  parte 1,clip_0124,100,y vas en esta posicion amigos asi saben lo que es ir asi
ANCDOTA VIAJE MUNDIAL BRASIL 2014  parte 1,clip_0125,125,horas y horas y horas bueno ibamos de parejitas ibamos yendo para brasil
ANCDOTA VIAJE MUNDIAL BRASIL 2014  parte 1,clip_0126,125,nos dormimos los que obviamente el que iba adelante tenia que encargarse de que el conductor no se duerma
ANCDOTA VIAJE MUNDIAL BRASIL 2014  parte 1,clip_0127,175,acompañante tenia que despertar el conductor en un momento ibamos juancito y yo manejando y lulo atras con alan
ANCDOTA VIAJE MUNDIAL BRASIL 2014  parte 1,clip_0128,125,cuando estabamos manejando yo escucho que el que empezaba a ser el camion de basura
