source_id,clip,split,transcript_usability,transcript_reasons,transcript_policy_moderate
LE DIJE QUE SOY ARGENTINO - Story Time - CAP 91,clip_0001,test,usable,auto_clean_safe_only_or_no_issue,keep
LE DIJE QUE SOY ARGENTINO - Story Time - CAP 91,clip_0002,test,questionable,possible_entity_error,keep
LE DIJE QUE SOY ARGENTINO - Story Time - CAP 91,clip_0003,test,usable,auto_clean_safe_only_or_no_issue,keep
LE DIJE QUE SOY ARGENTINO - Story Time - CAP 91,clip_0004,test,questionable,possible_entity_error,keep
LE DIJE QUE SOY ARGENTINO - Story Time - CAP 91,clip_0005,test,questionable,asr_disagreement,keep
LE DIJE QUE SOY ARGENTINO - Story Time - CAP 91,clip_0006,test,questionable,possible_timestamp_misalignment,keep
LE DIJE QUE SOY ARGENTINO - Story Time - CAP 91,clip_0007,test,questionable,possible_timestamp_misalignment,keep
LE DIJE QUE SOY ARGENTINO - Story Time - CAP 91,clip_0008,test,usable,auto_clean_safe_only_or_no_issue,keep
LE DIJE QUE SOY ARGENTINO - Story Time - CAP 91,clip_0009,test,usable,auto_clean_safe_only_or_no_issue,keep
LE DIJE QUE SOY ARGENTINO - Story Time - CAP 91,clip_0010,test,usable,auto_clean_safe_only_or_no_issue,keep
LE DIJE QUE SOY ARGENTINO - Story Time - CAP 91,clip_0011,test,questionable,possible_timestamp_misalignment,keep
LE DIJE QUE SOY ARGENTINO - Story Time - CAP 91,clip_0012,test,questionable,possible_entity_error,keep
LE DIJE QUE SOY ARGENTINO - Story Time - CAP 91,clip_0013,test,usable,auto_clean_safe_only_or_no_issue,keep
LE DIJE QUE SOY ARGENTINO - Story Time - CAP 91,clip_0014,test,questionable,possible_entity_error,keep
LE DIJE QUE SOY ARGENTINO - Story Time - CAP 91,clip_0015,test,usable,auto_clean_safe_only_or_no_issue,keep
LE DIJE QUE SOY ARGENTINO - Story Time - CAP 91,clip_0016,test,usable,auto_clean_safe_only_or_no_issue,keep
LE DIJE QUE SOY ARGENTINO - Story Time - CAP 91,clip_0017,test,usable,auto_clean_safe_only_or_no_issue,keep
LE DIJE QUE SOY ARGENTINO - Story Time - CAP 91,clip_0018,test,usable,auto_clean_safe_only_or_no_issue,keep
LE DIJE QUE SOY ARGENTINO - Story Time - CAP 91,clip_0019,test,usable,auto_clean_safe_only_or_no_issue,keep
LE DIJE QUE SOY ARGENTINO - Story Time - CAP 91,clip_0020,test,questionable,possible_entity_error,keep
LE DIJE QUE SOY ARGENTINO - Story Time - CAP 91,clip_0021,test,questionable,possible_entity_error,keep
LE DIJE QUE SOY ARGENTINO - Story Time - CAP 91,clip_0022,test,usable,auto_clean_safe_only_or_no_issue,keep
LE DIJE QUE SOY ARGENTINO - Story Time - CAP 91,clip_0023,test,questionable,possible_entity_error,keep
LE DIJE QUE SOY ARGENTINO - Story Time - CAP 91,clip_0024,test,questionable,asr_disagreement,keep
LE DIJE QUE SOY ARGENTINO - Story Time - CAP 91,clip_0025,test,questionable,asr_disagreement,keep
LE DIJE QUE SOY ARGENTINO - Story Time - CAP 91,clip_0026,test,questionable,asr_disagreement,keep
LE DIJE QUE SOY ARGENTINO - Story Time - CAP 91,clip_0027,test,questionable,possible_entity_error,keep
LE DIJE QUE SOY ARGENTINO - Story Time - CAP 91,clip_0028,test,questionable,asr_disagreement,keep
LE DIJE QUE SOY ARGENTINO - Story Time - CAP 91,clip_0029,test,usable,auto_clean_safe_only_or_no_issue,keep
LE DIJE QUE SOY ARGENTINO - Story Time - CAP 91,clip_0030,test,usable,auto_clean_safe_only_or_no_issue,keep
LE DIJE QUE SOY ARGENTINO - Story Time - CAP 91,clip_0031,test,usable,auto_clean_safe_only_or_no_issue,keep
LE DIJE QUE SOY ARGENTINO - Story Time - CAP 91,clip_0032,test,questionable,asr_disagreement,keep
LE DIJE QUE SOY ARGENTINO - Story Time - CAP 91,clip_0033,test,usable,auto_clean_safe_only_or_no_issue,keep
LE DIJE QUE SOY ARGENTINO - Story Time - CAP 91,clip_0034,test,bad_candidate,possible_timestamp_misalignment,exclude
LE DIJE QUE SOY ARGENTINO - Story Time - CAP 91,clip_0035,test,questionable,asr_disagreement,keep
LE DIJE QUE SOY ARGENTINO - Story Time - CAP 91,clip_0036,test,bad_candidate,possible_timestamp_misalignment,exclude
LE DIJE QUE SOY ARGENTINO - Story Time - CAP 91,clip_0037,test,bad_candidate,possible_audio_text_mismatch,exclude
LE DIJE QUE SOY ARGENTINO - Story Time - CAP 91,clip_0038,test,usable,auto_clean_safe_only_or_no_issue,keep
LE DIJE QUE SOY ARGENTINO - Story Time - CAP 91,clip_0039,test,usable,auto_clean_safe_only_or_no_issue,keep
