sampleID,spk,titulo,clip_original,n_frames,texto
f01_0000,f01,LE DIJE QUE SOY ARGENTINO - Story Time - CAP 91,clip_0002,200,es un mito para huayo lo deberian ver pero bueno creo que estamos con 7 dias seguidos
f01_0001,f01,LE DIJE QUE SOY ARGENTINO - Story Time - CAP 91,clip_0003,225,haciendo lives que buena onda espero que la esten disfrutando como yo que haces andy
f01_0002,f01,LE DIJE QUE SOY ARGENTINO - Story Time - CAP 91,clip_0004,175,todo bien como va la gente mientras todos estan entrando queria contarles una anecdota muy graciosa
f01_0003,f01,LE DIJE QUE SOY ARGENTINO - Story Time - CAP 91,clip_0005,225,que haces moni que haces rama valen ana que buena onda que todos entran asi tan rapido enzo
f01_0004,f01,LE DIJE QUE SOY ARGENTINO - Story Time - CAP 91,clip_0006,250,maximo loreto dominique marcelo tuti bueno vamos a arrancar con esto les queria contar una anecdota
f01_0005,f01,LE DIJE QUE SOY ARGENTINO - Story Time - CAP 91,clip_0007,175,muy graciosa en mi vida donde ser argentino o por lo menos mentir y decirles que soy argentino
f01_0006,f01,LE DIJE QUE SOY ARGENTINO - Story Time - CAP 91,clip_0009,200,canada donde se habla frances una ciudad super linda tengo varios amigos que viven en montreal
f01_0007,f01,LE DIJE QUE SOY ARGENTINO - Story Time - CAP 91,clip_0010,200,especialmente durante el verano en montreal es espectacular y deberian ir a montreal por favor
f01_0008,f01,LE DIJE QUE SOY ARGENTINO - Story Time - CAP 91,clip_0011,175,bueno les cuento mi bien llegaba al hotel donde me estaba quedando en montreal con mis amigos
f01_0009,f01,LE DIJE QUE SOY ARGENTINO - Story Time - CAP 91,clip_0012,225,yo entraba primero mis amigos se quedaron agarraron todos sus valijas y todo mientras yo estaba entrando al hotel
f01_0010,f01,LE DIJE QUE SOY ARGENTINO - Story Time - CAP 91,clip_0013,75,para subir al lobby y hacer el checkin y todo
f01_0011,f01,LE DIJE QUE SOY ARGENTINO - Story Time - CAP 91,clip_0014,225,entro al ascensor y entran dos personas mas dos tipos que se veian como que si fuesen amigos
f01_0012,f01,LE DIJE QUE SOY ARGENTINO - Story Time - CAP 91,clip_0015,200,hablando en frances nada mas completamente en frances que becoa de quebec
f01_0013,f01,LE DIJE QUE SOY ARGENTINO - Story Time - CAP 91,clip_0016,175,y yo ahi tranquilo solito no pasaba nada
f01_0014,f01,LE DIJE QUE SOY ARGENTINO - Story Time - CAP 91,clip_0017,175,y empece a darme cuenta de que estos pibes estos tipos se estaban borrando de mi
f01_0015,f01,LE DIJE QUE SOY ARGENTINO - Story Time - CAP 91,clip_0018,200,y me estaba dando cuenta de eso dije para un poco se estan borrando de mi esto no es justo
f01_0016,f01,LE DIJE QUE SOY ARGENTINO - Story Time - CAP 91,clip_0021,100,y se estan borrando de mi porque soy de estados unidos no
f01_0017,f01,LE DIJE QUE SOY ARGENTINO - Story Time - CAP 91,clip_0022,225,y dije oh les voy a pegar con una noticia y les voy a mentir y ver su reaccion
f01_0018,f01,LE DIJE QUE SOY ARGENTINO - Story Time - CAP 91,clip_0024,175,y no sabes como les cambiaron o no sabes como les cambio la cara
f01_0019,f01,LE DIJE QUE SOY ARGENTINO - Story Time - CAP 91,clip_0025,125,o dijo eh eh eh eh eh where are you from
f01_0020,f01,LE DIJE QUE SOY ARGENTINO - Story Time - CAP 91,clip_0026,225,y yo yo soy argentina que quieres me dijo argentina messi oh como esta
f01_0021,f01,LE DIJE QUE SOY ARGENTINO - Story Time - CAP 91,clip_0028,200,y empezaron a hablar conmigo y todo y al gran no les dije que soy de estados unidos seguia con mi mentira
f01_0022,f01,LE DIJE QUE SOY ARGENTINO - Story Time - CAP 91,clip_0029,150,diciendo si soy argentina y que estoy aca de besita y todo
f01_0023,f01,LE DIJE QUE SOY ARGENTINO - Story Time - CAP 91,clip_0030,225,y ahi fue cuando dije mira vos que bien que aprendi español porque cualquier otra persona se iba a enojar
f01_0024,f01,LE DIJE QUE SOY ARGENTINO - Story Time - CAP 91,clip_0032,200,como que de repente yo era como su amigo y querian saber un poco mas de mi querian saber un poco mas de argentina
f01_0025,f01,LE DIJE QUE SOY ARGENTINO - Story Time - CAP 91,clip_0033,100,y fue genial fue super super genial
f01_0026,f01,LE DIJE QUE SOY ARGENTINO - Story Time - CAP 91,clip_0034,100,yo creo que conte esta anecdota en otro video en otro live que hice hace mucho tiempo
f01_0027,f01,LE DIJE QUE SOY ARGENTINO - Story Time - CAP 91,clip_0036,175,podes de repente si estas en una situacion donde no sabes que hacer podes decir que si si hablo español
f01_0028,f01,LE DIJE QUE SOY ARGENTINO - Story Time - CAP 91,clip_0037,125,soy de argentina y por ahi te puedes llegar a servir a mi me sirvio un monton claro
f01_0029,f01,LE DIJE QUE SOY ARGENTINO - Story Time - CAP 91,clip_0038,75,natalla dice alto chamullo
f01_0030,f01,LE DIJE QUE SOY ARGENTINO - Story Time - CAP 91,clip_0039,250,si chamulle un monton y funciono como que todo mis clases de chamullo que aprendi en argentina sirvieron un monton un monton
f01_0031,f01,LE DIJE QUE SOY ARGENTINO - Story Time - CAP 91,clip_0042,175,como que en ese momento el estadounidense no servia y era como el chiste
f01_0032,f01,LE DIJE QUE SOY ARGENTINO - Story Time - CAP 91,clip_0043,175,pero el argentino si era el capo el argentino era como que querian saber mas querian ser amigos
f01_0033,f01,LE DIJE QUE SOY ARGENTINO - Story Time - CAP 91,clip_0045,225,pero bueno eso es una anecdota tengo otras anecdotas que creo que voy a contar en otro video tambien
f01_0034,f01,LE DIJE QUE SOY ARGENTINO - Story Time - CAP 91,clip_0046,100,pero bueno terminando con este video queria hablar un poco mas con ustedes
f01_0035,f01,LE DIJE QUE SOY ARGENTINO - Story Time - CAP 91,clip_0047,125,porque se que hay varios que siempre estan aca en este chat conmigo todos los dias
f01_0036,f01,LE DIJE QUE SOY ARGENTINO - Story Time - CAP 91,clip_0048,200,de hecho cuando subi un video recien todos me decian yo te voy a esperar porque me iba a dormir en este momento
f01_0037,f01,LE DIJE QUE SOY ARGENTINO - Story Time - CAP 91,clip_0049,200,pero te espero porque se que vas a hacer un live ana ortiz creo que fuiste vos y otras personas mas
f01_0038,f01,LE DIJE QUE SOY ARGENTINO - Story Time - CAP 91,clip_0050,100,daniel daniel que haces yo what up man
f01_0039,f01,LE DIJE QUE SOY ARGENTINO - Story Time - CAP 91,clip_0051,175,donde esta el equipo kaka todos que tienen el emoji de kaka al lado de su nombre
f01_0040,f01,LE DIJE QUE SOY ARGENTINO - Story Time - CAP 91,clip_0052,175,vamos arriba vamos yo los veo aca es tu danding
f01_0041,f01,LE DIJE QUE SOY ARGENTINO - Story Time - CAP 91,clip_0053,125,vanessa como andas que lindo verte aca
f01_0042,f01,LE DIJE QUE SOY ARGENTINO - Story Time - CAP 91,clip_0054,200,le respondo a esta pregunta a sebastian aguero te gustaria tener hijos argentinos
f01_0043,f01,LE DIJE QUE SOY ARGENTINO - Story Time - CAP 91,clip_0055,225,yo creo que si obviamente argentina tiene toda una historia de mi vida me ha marcado como persona
f01_0044,f01,LE DIJE QUE SOY ARGENTINO - Story Time - CAP 91,clip_0056,175,me identifico mucho con los argentinos con la cultura como hablan y todo
f01_0045,f01,LE DIJE QUE SOY ARGENTINO - Story Time - CAP 91,clip_0057,250,pero bueno como que teniendo cualquier hijo obviamente me encantaria tener un hijo que sea bilingue o trilingue
f01_0046,f01,LE DIJE QUE SOY ARGENTINO - Story Time - CAP 91,clip_0058,175,creo que mi hijo o hija va a tener que ser trilingue yo fui bilingue y hay que mejorar siempre
