palabras,n_frases,wer,cer,palabras_ref
5,2,60.0,39.53,10
6,3,122.22,63.54,18
7,12,83.33,52.57,84
8,11,84.09,49.57,88
9,27,64.61,36.92,243
10,32,78.44,43.77,320
11,40,71.82,41.75,440
12,43,74.42,43.9,516
13,68,68.55,40.76,884
14,81,68.08,40.3,1134
15,66,67.27,40.5,990
16,69,70.29,43.74,1104
17,35,70.59,43.42,595
18,46,68.6,42.65,828
19,32,68.09,41.91,608
20,21,68.57,42.32,420
21,20,67.86,42.54,420
22,14,77.27,50.41,308
23,9,73.43,43.92,207
24,9,65.28,39.25,216
25,6,56.0,33.29,150
26,1,61.54,35.71,26
27,4,66.67,43.05,108
28,1,78.57,53.91,28
29,4,62.93,41.46,116
30,1,76.67,47.73,30
33,1,72.73,52.76,33
