titulo,clip,veredicto,ov_propio,ov_prev,ov_next,audio_transcripto,texto_asignado
BULLRICH DESAFÍA a KARINA MILEI con el 3%  ESTA SE,clip_0000,texto_dudoso,0.000,0.000,0.000,mas rapido,en la gran masa del pueblo combatiendo al pan
BULLRICH DESAFÍA a KARINA MILEI con el 3%  ESTA SE,clip_0001,texto_dudoso,0.143,0.000,0.000,tuberlojba verde aqui lo volscale yreeee favourite,palompa palompa vende a quien lo boludo segun la hora en que me escuches
BULLRICH DESAFÍA a KARINA MILEI con el 3%  ESTA SE,clip_0002,ok,0.692,0.231,0.154,el pampa el vino vino sobre la carta de la mesa que se vayan a cuba que vayan a cuba,al pan pan al vino vino sobre las cartas a la mesa que se vayan a cuba que vivan en cuba
BULLRICH DESAFÍA a KARINA MILEI con el 3%  ESTA SE,clip_0003,ok,0.545,0.182,0.091,papa no el no se va a morir somote van somote van somote van falo parch falo parch,papa noel no se va a morir como te va como te va palompa palompa vende
BULLRICH DESAFÍA a KARINA MILEI con el 3%  ESTA SE,clip_0004,texto_dudoso,0.467,0.067,0.067,hey hy cheei rajarse todo a la pufre y muy buenas noches tardes ya archivo,y si hijo vayanse todos a la p y muy buenas noches tardes dias noches
BULLRICH DESAFÍA a KARINA MILEI con el 3%  ESTA SE,clip_0005,ok,0.778,0.111,0.000,segun la hora ni a me escuchas 80000 personas vieron la ultima edicion de esta semana en el springfield,segun la hora en que me escuches 80000 personas vieron la ultima edicion de esta semana en springfield
BULLRICH DESAFÍA a KARINA MILEI con el 3%  ESTA SE,clip_0006,ok,0.500,0.125,0.250,que tal eh que senti nicobona no se si porque tu y shobu esta a vos esta marquito,que tal eh que sentis nico bonda no se si es porque estoy yo porque estas vos porque estas marquitos
BULLRICH DESAFÍA a KARINA MILEI con el 3%  ESTA SE,clip_0007,ok,0.500,0.100,0.100,pues esta ali a pues tuvo bueno el guion que sentimos,porque esta lia porque estuvo bueno el guion que sentis vos ian
BULLRICH DESAFÍA a KARINA MILEI con el 3%  ESTA SE,clip_0008,ok,0.600,0.067,0.067,a que se habian venido nuevamente que tal como tal yo no se cuantas gente la ven general,ayer sabes bienvenido nuevamente que tal como andas yo no se cuanta gente le ve en general
BULLRICH DESAFÍA a KARINA MILEI con el 3%  ESTA SE,clip_0009,ok,0.714,0.214,0.143,no no nunca menos nunca miro los numeros asi que 80 mire es mucho en comparacion,nunca miro los numeros asi que 80000 es mucho en comparacion
BULLRICH DESAFÍA a KARINA MILEI con el 3%  ESTA SE,clip_0010,ok,0.632,0.105,0.053,y es mucha gente si sumo donde gente lo hara le mandamos un saludo gran a todos los esprinfilianos y esprinfilianas,y es mucha gente si es un monton de gente la verdad le mandamos un saludo grande a todos los springfieldianos y springfieldianas
BULLRICH DESAFÍA a KARINA MILEI con el 3%  ESTA SE,clip_0011,ok,1.000,0.429,0.714,que la verdad fueron los que regaron la semillita,que la verdad fueron los que regaron la semillita
BULLRICH DESAFÍA a KARINA MILEI con el 3%  ESTA SE,clip_0012,ok,1.000,0.385,0.154,hola los que regaron la semillita e hicieron de esta seccion un canal,hola los que regaron la semillita e hicieron de esta seccion un canal
BULLRICH DESAFÍA a KARINA MILEI con el 3%  ESTA SE,clip_0013,ok,0.786,0.214,0.071,en el canal el texto arranco como esta semana en el springfield amigos todo esto que ven,esto arranco como esta semana en springfield amigos todo esto que ven
BULLRICH DESAFÍA a KARINA MILEI con el 3%  ESTA SE,clip_0014,ok,0.714,0.143,0.143,este imperio que llega hasta conectecas hasta aqui,este imperio que llega hasta connecticut hasta kiev
BULLRICH DESAFÍA a KARINA MILEI con el 3%  ESTA SE,clip_0015,ok,0.667,0.333,0.000,hasta noel brasilia,hasta brasil y hasta brasilia
