titulo,clip,n_frames,luma_media,frac_oscuros,movimiento_global,actividad_boca,textura_boca,estado,razones,texto
ANÉCDOTA VIAJE MUNDIAL BRASIL 2014  parte 1,clip_0000,413,104.15,0.0,3.422,11.902,27.99,keep,,bueno amigos esta es una anecdota muy especial porque es un gran recuerdo y la apuesta es que creo haberla contado alguna vez y en mixer creo que fue entonces se perdieron mucho las transmisiones incluso se perdio la de duki y neo pero creo que habia que darla con detalles con fotos de como fue el viaje y demas
ANÉCDOTA VIAJE MUNDIAL BRASIL 2014  parte 1,clip_0001,350,106.99,0.0,3.143,9.559,30.58,keep,,les comento los pongo en contexto argentina seleccion 2014 el maestro sabela al frente de la seleccion argentina parecia que nos daba molidos mangos en la primera ronda todos se acuerdan del partido con iran que nos salva messi
ANÉCDOTA VIAJE MUNDIAL BRASIL 2014  parte 1,clip_0002,258,107.39,0.0,2.325,7.069,26.54,keep,,cuestion yo voy a ser sincero yo tampoco tenia tanta fe en la seleccion lo bancaba sabela pero habia cositas que no me gustaban bueno como somos los argentinos en eso tengo que ser honesto
ANÉCDOTA VIAJE MUNDIAL BRASIL 2014  parte 1,clip_0003,123,107.66,0.0,3.089,8.222,27.38,keep,,cuestion que jugabamos con holanda nos juntabamos todos los beider a ver el partido
ANÉCDOTA VIAJE MUNDIAL BRASIL 2014  parte 1,clip_0004,181,105.9,0.0,3.504,10.64,30.45,keep,,estabamos en la casa de amilcar ya antes del partido me decian no porque vos momo que toque el otro dale gero que la concha de tu madre bueno
ANÉCDOTA VIAJE MUNDIAL BRASIL 2014  parte 1,clip_0005,82,105.69,0.0,3.245,6.675,26.09,keep,,yo discutiendo con juancito que los dos siempre discutiamos
ANÉCDOTA VIAJE MUNDIAL BRASIL 2014  parte 1,clip_0006,177,103.73,0.0,3.183,9.981,22.52,keep,,entonces contra holanda me dice hagamos una cosa si le ganamos a holanda nos vamos a brasil a ver la final
ANÉCDOTA VIAJE MUNDIAL BRASIL 2014  parte 1,clip_0007,299,105.65,0.0,2.047,6.666,23.48,keep,,entonces yo agarro y digo si porque yo no creia que le vayamos a ganar a holanda acuerdense que ese holanda fue el que hizo el gol de palomita no me acuerdo robben no si creo que fue el gol de robben
ANÉCDOTA VIAJE MUNDIAL BRASIL 2014  parte 1,clip_0008,227,104.24,0.0,2.778,9.157,23.08,keep,,tenian tenian una maquina increible holanda van persie cuestion que le digo no tengo si bueno si le digo si dale si le ganamos a holanda vamos a brasil
ANÉCDOTA VIAJE MUNDIAL BRASIL 2014  parte 1,clip_0009,267,104.69,0.0,3.112,8.436,23.89,keep,,yo la tire por tirarla bueno entonces vamos a penales cuando ganamos todos obviamente festejando que se yo y me dice no vamos a tener que ir a brasil
ANÉCDOTA VIAJE MUNDIAL BRASIL 2014  parte 1,clip_0010,84,106.39,0.0,2.585,6.474,22.16,keep,,bueno si esta bien yo siempre que digo algo lo cumplo
ANÉCDOTA VIAJE MUNDIAL BRASIL 2014  parte 1,clip_0011,185,104.45,0.0,3.34,11.03,27.36,keep,,lo miro a amilcar y bueno nos vamos a brasil bueno nos vamos a brasil ya arranco como la mierda estabamos en los de amilcar claro cuando vimos todo eso todo empezo
ANÉCDOTA VIAJE MUNDIAL BRASIL 2014  parte 1,clip_0012,124,108.05,0.0,4.837,14.446,37.35,keep,,empezamos a buscar pasaje empezamos a buscar pasaje que si que no vamos a brasil que no vamos a brasil que esto que lo otro bueno no vamos a brasil
ANÉCDOTA VIAJE MUNDIAL BRASIL 2014  parte 1,clip_0013,230,105.21,0.0,3.659,13.383,30.36,keep,,bueno empezamos a sacar cuentas no vamos a comprar el aereo bueno cuando digo no ya esta todo agotado no hay nada no hay nada para para para irnos
ANÉCDOTA VIAJE MUNDIAL BRASIL 2014  parte 1,clip_0014,168,105.87,0.0,3.259,10.148,26.48,keep,,aparece la hermana de amilcar y dice encontre un vuelo nos manda el link yo como un pelotudo agarro ni mire
ANÉCDOTA VIAJE MUNDIAL BRASIL 2014  parte 1,clip_0015,180,108.07,0.0,2.99,9.213,22.16,keep,,ponele que el partido era miercoles 24 y el lunes podiamos volar entonces era el lunes 22
ANÉCDOTA VIAJE MUNDIAL BRASIL 2014  parte 1,clip_0016,172,107.92,0.0,2.966,7.388,21.99,keep,,lunes 22 martes 23 martes 23 miercoles 24 lunes 22 entonces buscamos para sacar el lunes 22 miro asi lunes 22 voy compro el pasaje
