split,spk,titulo,clip,n_frames,texto,npz,source_id,training_usability,policy_moderate,review_score,quality_score,visual_quality_label
train,f01,ANÉCDOTA VIAJE MUNDIAL BRASIL 2014  parte 1,clip_0000,413,bueno amigos esta es una anecdota muy especial porque es un gran recuerdo y la apuesta es que creo haberla contado alguna vez y en mixer creo que fue entonces se perdieron mucho las transmisiones incluso se perdio la de duki y neo pero creo que habia que darla con detalles con fotos de como fue el viaje y demas,data/processed/lip_rois/ANÉCDOTA VIAJE MUNDIAL BRASIL 2014  parte 1/clip_0000.npz,ANÉCDOTA VIAJE MUNDIAL BRASIL 2014  parte 1,questionable,keep,5.00,0.6683,questionable
train,f01,ANÉCDOTA VIAJE MUNDIAL BRASIL 2014  parte 1,clip_0001,350,les comento los pongo en contexto argentina seleccion 2014 el maestro sabela al frente de la seleccion argentina parecia que nos daba molidos mangos en la primera ronda todos se acuerdan del partido con iran que nos salva messi,data/processed/lip_rois/ANÉCDOTA VIAJE MUNDIAL BRASIL 2014  parte 1/clip_0001.npz,ANÉCDOTA VIAJE MUNDIAL BRASIL 2014  parte 1,questionable,keep,5.00,0.6283,questionable
train,f01,ANÉCDOTA VIAJE MUNDIAL BRASIL 2014  parte 1,clip_0002,258,cuestion yo voy a ser sincero yo tampoco tenia tanta fe en la seleccion lo bancaba sabela pero habia cositas que no me gustaban bueno como somos los argentinos en eso tengo que ser honesto,data/processed/lip_rois/ANÉCDOTA VIAJE MUNDIAL BRASIL 2014  parte 1/clip_0002.npz,ANÉCDOTA VIAJE MUNDIAL BRASIL 2014  parte 1,questionable,keep,8.00,0.565,questionable
train,f01,ANÉCDOTA VIAJE MUNDIAL BRASIL 2014  parte 1,clip_0003,123,cuestion que jugabamos con holanda nos juntabamos todos los beider a ver el partido,data/processed/lip_rois/ANÉCDOTA VIAJE MUNDIAL BRASIL 2014  parte 1/clip_0003.npz,ANÉCDOTA VIAJE MUNDIAL BRASIL 2014  parte 1,questionable,keep,5.00,0.5903,questionable
train,f01,ANÉCDOTA VIAJE MUNDIAL BRASIL 2014  parte 1,clip_0004,181,estabamos en la casa de amilcar ya antes del partido me decian no porque vos momo que toque el otro dale gero que la concha de tu madre bueno,data/processed/lip_rois/ANÉCDOTA VIAJE MUNDIAL BRASIL 2014  parte 1/clip_0004.npz,ANÉCDOTA VIAJE MUNDIAL BRASIL 2014  parte 1,questionable,keep,5.00,0.6635,questionable
train,f01,ANÉCDOTA VIAJE MUNDIAL BRASIL 2014  parte 1,clip_0006,177,entonces contra holanda me dice hagamos una cosa si le ganamos a holanda nos vamos a brasil a ver la final,data/processed/lip_rois/ANÉCDOTA VIAJE MUNDIAL BRASIL 2014  parte 1/clip_0006.npz,ANÉCDOTA VIAJE MUNDIAL BRASIL 2014  parte 1,questionable,keep,10.00,0.6248,questionable
train,f01,ANÉCDOTA VIAJE MUNDIAL BRASIL 2014  parte 1,clip_0008,227,tenian tenian una maquina increible holanda van persie cuestion que le digo no tengo si bueno si le digo si dale si le ganamos a holanda vamos a brasil,data/processed/lip_rois/ANÉCDOTA VIAJE MUNDIAL BRASIL 2014  parte 1/clip_0008.npz,ANÉCDOTA VIAJE MUNDIAL BRASIL 2014  parte 1,questionable,keep,9.00,0.6094,questionable
train,f01,ANÉCDOTA VIAJE MUNDIAL BRASIL 2014  parte 1,clip_0009,267,yo la tire por tirarla bueno entonces vamos a penales cuando ganamos todos obviamente festejando que se yo y me dice no vamos a tener que ir a brasil,data/processed/lip_rois/ANÉCDOTA VIAJE MUNDIAL BRASIL 2014  parte 1/clip_0009.npz,ANÉCDOTA VIAJE MUNDIAL BRASIL 2014  parte 1,questionable,keep,9.00,0.6049,questionable
train,f01,ANÉCDOTA VIAJE MUNDIAL BRASIL 2014  parte 1,clip_0011,185,lo miro a amilcar y bueno nos vamos a brasil bueno nos vamos a brasil ya arranco como la mierda estabamos en los de amilcar claro cuando vimos todo eso todo empezo,data/processed/lip_rois/ANÉCDOTA VIAJE MUNDIAL BRASIL 2014  parte 1/clip_0011.npz,ANÉCDOTA VIAJE MUNDIAL BRASIL 2014  parte 1,questionable,keep,5.00,0.6548,questionable
train,f01,ANÉCDOTA VIAJE MUNDIAL BRASIL 2014  parte 1,clip_0012,124,empezamos a buscar pasaje empezamos a buscar pasaje que si que no vamos a brasil que no vamos a brasil que esto que lo otro bueno no vamos a brasil,data/processed/lip_rois/ANÉCDOTA VIAJE MUNDIAL BRASIL 2014  parte 1/clip_0012.npz,ANÉCDOTA VIAJE MUNDIAL BRASIL 2014  parte 1,questionable,keep,1.00,0.7438,questionable
train,f01,ANÉCDOTA VIAJE MUNDIAL BRASIL 2014  parte 1,clip_0013,230,bueno empezamos a sacar cuentas no vamos a comprar el aereo bueno cuando digo no ya esta todo agotado no hay nada no hay nada para para para irnos,data/processed/lip_rois/ANÉCDOTA VIAJE MUNDIAL BRASIL 2014  parte 1/clip_0013.npz,ANÉCDOTA VIAJE MUNDIAL BRASIL 2014  parte 1,questionable,keep,3.00,0.711,questionable
train,f01,ANÉCDOTA VIAJE MUNDIAL BRASIL 2014  parte 1,clip_0014,168,aparece la hermana de amilcar y dice encontre un vuelo nos manda el link yo como un pelotudo agarro ni mire,data/processed/lip_rois/ANÉCDOTA VIAJE MUNDIAL BRASIL 2014  parte 1/clip_0014.npz,ANÉCDOTA VIAJE MUNDIAL BRASIL 2014  parte 1,questionable,keep,10.00,0.6176,questionable
train,f01,ANÉCDOTA VIAJE MUNDIAL BRASIL 2014  parte 1,clip_0015,180,ponele que el partido era miercoles 24 y el lunes podiamos volar entonces era el lunes 22,data/processed/lip_rois/ANÉCDOTA VIAJE MUNDIAL BRASIL 2014  parte 1/clip_0015.npz,ANÉCDOTA VIAJE MUNDIAL BRASIL 2014  parte 1,questionable,keep,9.00,0.6088,questionable
train,f01,ANÉCDOTA VIAJE MUNDIAL BRASIL 2014  parte 1,clip_0016,172,lunes 22 martes 23 martes 23 miercoles 24 lunes 22 entonces buscamos para sacar el lunes 22 miro asi lunes 22 voy compro el pasaje,data/processed/lip_rois/ANÉCDOTA VIAJE MUNDIAL BRASIL 2014  parte 1/clip_0016.npz,ANÉCDOTA VIAJE MUNDIAL BRASIL 2014  parte 1,questionable,keep,9.00,0.5736,questionable
train,f01,ANÉCDOTA VIAJE MUNDIAL BRASIL 2014  parte 1,clip_0017,119,pum termino el pasaje era ponele nosotros estabamos jugando el mundial no me acuerdo fue en junio ponele,data/processed/lip_rois/ANÉCDOTA VIAJE MUNDIAL BRASIL 2014  parte 1/clip_0017.npz,ANÉCDOTA VIAJE MUNDIAL BRASIL 2014  parte 1,questionable,keep,10.00,0.5921,questionable
train,f01,ANÉCDOTA VIAJE MUNDIAL BRASIL 2014  parte 1,clip_0018,95,el pasaje era el lunes 22 de octubre,data/processed/lip_rois/ANÉCDOTA VIAJE MUNDIAL BRASIL 2014  parte 1/clip_0018.npz,ANÉCDOTA VIAJE MUNDIAL BRASIL 2014  parte 1,questionable,keep,10.00,0.5328,questionable
train,f01,ANÉCDOTA VIAJE MUNDIAL BRASIL 2014  parte 1,clip_0020,248,todos cagandose de risa sos un pelotudo y luciano hablando luciano me miraba y me decia lulo el de la anecdota me decia oh brasil temporada baja hermoso,data/processed/lip_rois/ANÉCDOTA VIAJE MUNDIAL BRASIL 2014  parte 1/clip_0020.npz,ANÉCDOTA VIAJE MUNDIAL BRASIL 2014  parte 1,questionable,keep,5.00,0.6004,questionable
