palabras,n_frases,wer,cer,palabras_ref
4,1,225.0,111.54,4
5,2,120.0,80.39,10
6,1,100.0,54.29,6
7,5,91.43,67.53,35
8,5,92.5,56.19,40
9,3,100.0,71.53,27
10,9,70.0,49.76,90
11,4,93.18,74.06,44
12,11,78.03,51.63,132
13,15,72.31,44.86,195
14,13,77.47,50.16,182
15,9,77.78,48.1,135
16,13,86.06,55.76,208
17,9,81.7,53.62,153
18,16,80.9,54.19,288
19,10,81.05,53.65,190
20,7,77.14,50.07,140
21,1,95.24,46.46,21
22,4,71.59,45.19,88
23,2,80.43,56.42,46
24,1,83.33,55.75,24
25,3,69.33,42.12,75
27,4,84.26,57.12,108
28,1,75.0,39.2,28
