Failed to import Flash Attention, using ESPnet default: No module named 'flash_attn'
train=4818  val=466  batch=1  device=cuda
/home/joacoszterensus/miniconda3/envs/vsr-factors/lib/python3.8/site-packages/espnet2/asr/espnet_model.py:402: FutureWarning: `torch.cuda.amp.autocast(args...)` is deprecated. Please use `torch.amp.autocast('cuda', args...)` instead.
  with autocast(self.autocast_frontend, dtype=autocast_type):
ep1 it0/4818 loss=114.466
ep1 it100/4818 loss=48.490
ep1 it200/4818 loss=53.918
ep1 it300/4818 loss=85.579
ep1 it400/4818 loss=27.058
ep1 it500/4818 loss=59.825
ep1 it600/4818 loss=167.702
ep1 it700/4818 loss=94.372
ep1 it800/4818 loss=61.409
ep1 it900/4818 loss=87.259
ep1 it1000/4818 loss=54.648
ep1 it1100/4818 loss=30.075
ep1 it1200/4818 loss=59.892
ep1 it1300/4818 loss=91.234
ep1 it1400/4818 loss=59.758
ep1 it1500/4818 loss=88.748
ep1 it1600/4818 loss=141.036
ep1 it1700/4818 loss=75.850
ep1 it1800/4818 loss=68.614
ep1 it1900/4818 loss=117.666
ep1 it2000/4818 loss=42.897
ep1 it2100/4818 loss=40.518
ep1 it2200/4818 loss=43.309
ep1 it2300/4818 loss=135.877
ep1 it2400/4818 loss=53.003
ep1 it2500/4818 loss=95.941
ep1 it2600/4818 loss=86.123
ep1 it2700/4818 loss=27.911
ep1 it2800/4818 loss=74.355
ep1 it2900/4818 loss=66.761
ep1 it3000/4818 loss=57.968
ep1 it3100/4818 loss=19.551
ep1 it3200/4818 loss=71.916
ep1 it3300/4818 loss=118.186
ep1 it3400/4818 loss=65.666
ep1 it3500/4818 loss=95.418
ep1 it3600/4818 loss=132.321
ep1 it3700/4818 loss=46.091
ep1 it3800/4818 loss=39.674
ep1 it3900/4818 loss=45.370
ep1 it4000/4818 loss=52.832
ep1 it4100/4818 loss=63.416
ep1 it4200/4818 loss=61.832
ep1 it4300/4818 loss=89.976
ep1 it4400/4818 loss=30.617
ep1 it4500/4818 loss=66.256
ep1 it4600/4818 loss=51.861
ep1 it4700/4818 loss=50.122
ep1 it4800/4818 loss=33.384
== ep1 val_loss=52.9855 ==
  nuevo mejor (52.9855) -> best.pth
ep2 it0/4818 loss=71.347
ep2 it100/4818 loss=41.466
ep2 it200/4818 loss=81.445
ep2 it300/4818 loss=90.609
ep2 it400/4818 loss=54.220
ep2 it500/4818 loss=69.610
ep2 it600/4818 loss=26.295
ep2 it700/4818 loss=45.873
ep2 it800/4818 loss=43.318
ep2 it900/4818 loss=71.910
ep2 it1000/4818 loss=25.630
ep2 it1100/4818 loss=117.981
ep2 it1200/4818 loss=21.571
ep2 it1300/4818 loss=30.028
ep2 it1400/4818 loss=113.932
ep2 it1500/4818 loss=30.313
ep2 it1600/4818 loss=43.929
ep2 it1700/4818 loss=11.541
ep2 it1800/4818 loss=42.119
ep2 it1900/4818 loss=165.136
ep2 it2000/4818 loss=28.957
ep2 it2100/4818 loss=22.531
ep2 it2200/4818 loss=30.994
ep2 it2300/4818 loss=27.233
ep2 it2400/4818 loss=68.181
ep2 it2500/4818 loss=86.910
ep2 it2600/4818 loss=13.773
ep2 it2700/4818 loss=44.518
ep2 it2800/4818 loss=34.915
ep2 it2900/4818 loss=35.239
ep2 it3000/4818 loss=41.708
ep2 it3100/4818 loss=32.652
ep2 it3200/4818 loss=78.013
ep2 it3300/4818 loss=25.277
ep2 it3400/4818 loss=52.918
ep2 it3500/4818 loss=65.285
ep2 it3600/4818 loss=50.472
ep2 it3700/4818 loss=112.825
ep2 it3800/4818 loss=145.788
ep2 it3900/4818 loss=22.273
ep2 it4000/4818 loss=32.069
ep2 it4100/4818 loss=13.865
ep2 it4200/4818 loss=39.436
ep2 it4300/4818 loss=56.858
ep2 it4400/4818 loss=49.382
ep2 it4500/4818 loss=36.415
ep2 it4600/4818 loss=44.015
ep2 it4700/4818 loss=84.942
ep2 it4800/4818 loss=74.328
== ep2 val_loss=52.5409 ==
  nuevo mejor (52.5409) -> best.pth
ep3 it0/4818 loss=44.106
ep3 it100/4818 loss=64.939
ep3 it200/4818 loss=52.702
ep3 it300/4818 loss=31.863
ep3 it400/4818 loss=57.960
ep3 it500/4818 loss=22.472
ep3 it600/4818 loss=67.406
ep3 it700/4818 loss=37.529
ep3 it800/4818 loss=76.664
ep3 it900/4818 loss=23.892
ep3 it1000/4818 loss=42.390
ep3 it1100/4818 loss=42.553
ep3 it1200/4818 loss=79.070
ep3 it1300/4818 loss=29.935
ep3 it1400/4818 loss=48.085
ep3 it1500/4818 loss=80.993
ep3 it1600/4818 loss=15.841
ep3 it1700/4818 loss=61.375
ep3 it1800/4818 loss=37.404
ep3 it1900/4818 loss=51.642
ep3 it2000/4818 loss=56.762
ep3 it2100/4818 loss=88.611
ep3 it2200/4818 loss=39.476
ep3 it2300/4818 loss=69.039
ep3 it2400/4818 loss=27.473
ep3 it2500/4818 loss=44.948
ep3 it2600/4818 loss=40.637
ep3 it2700/4818 loss=30.536
ep3 it2800/4818 loss=65.761
ep3 it2900/4818 loss=23.834
ep3 it3000/4818 loss=67.373
ep3 it3100/4818 loss=124.174
ep3 it3200/4818 loss=31.518
ep3 it3300/4818 loss=33.046
ep3 it3400/4818 loss=30.965
ep3 it3500/4818 loss=34.565
ep3 it3600/4818 loss=74.669
ep3 it3700/4818 loss=130.800
ep3 it3800/4818 loss=25.269
ep3 it3900/4818 loss=56.188
ep3 it4000/4818 loss=49.309
ep3 it4100/4818 loss=39.812
ep3 it4200/4818 loss=60.892
ep3 it4300/4818 loss=52.823
ep3 it4400/4818 loss=26.661
ep3 it4500/4818 loss=50.975
ep3 it4600/4818 loss=38.564
ep3 it4700/4818 loss=61.353
ep3 it4800/4818 loss=48.503
== ep3 val_loss=52.2587 ==
  nuevo mejor (52.2587) -> best.pth
ep4 it0/4818 loss=30.165
ep4 it100/4818 loss=71.940
ep4 it200/4818 loss=34.309
ep4 it300/4818 loss=30.291
ep4 it400/4818 loss=49.974
ep4 it500/4818 loss=23.459
ep4 it600/4818 loss=36.324
ep4 it700/4818 loss=90.215
ep4 it800/4818 loss=58.341
ep4 it900/4818 loss=46.745
ep4 it1000/4818 loss=43.227
ep4 it1100/4818 loss=40.817
ep4 it1200/4818 loss=30.600
ep4 it1300/4818 loss=42.383
ep4 it1400/4818 loss=37.293
ep4 it1500/4818 loss=25.659
ep4 it1600/4818 loss=95.633
ep4 it1700/4818 loss=60.580
ep4 it1800/4818 loss=42.417
ep4 it1900/4818 loss=122.813
ep4 it2000/4818 loss=41.647
ep4 it2100/4818 loss=20.436
ep4 it2200/4818 loss=44.113
ep4 it2300/4818 loss=53.780
ep4 it2400/4818 loss=27.395
ep4 it2500/4818 loss=32.582
ep4 it2600/4818 loss=16.805
ep4 it2700/4818 loss=19.703
ep4 it2800/4818 loss=25.529
ep4 it2900/4818 loss=39.732
ep4 it3000/4818 loss=37.099
ep4 it3100/4818 loss=56.206
ep4 it3200/4818 loss=16.976
ep4 it3300/4818 loss=57.343
ep4 it3400/4818 loss=35.346
ep4 it3500/4818 loss=19.861
ep4 it3600/4818 loss=74.618
ep4 it3700/4818 loss=94.534
ep4 it3800/4818 loss=23.240
ep4 it3900/4818 loss=26.172
ep4 it4000/4818 loss=85.269
ep4 it4100/4818 loss=33.938
ep4 it4200/4818 loss=63.273
ep4 it4300/4818 loss=22.253
ep4 it4400/4818 loss=13.642
ep4 it4500/4818 loss=49.105
ep4 it4600/4818 loss=25.666
ep4 it4700/4818 loss=36.852
ep4 it4800/4818 loss=13.538
== ep4 val_loss=53.0838 ==
ep5 it0/4818 loss=29.668
ep5 it100/4818 loss=9.526
ep5 it200/4818 loss=39.328
ep5 it300/4818 loss=22.203
ep5 it400/4818 loss=64.706
ep5 it500/4818 loss=46.615
ep5 it600/4818 loss=19.651
ep5 it700/4818 loss=25.096
