Failed to import Flash Attention, using ESPnet default: No module named 'flash_attn'
train=4818 val=466 | congelados=['frontend'] entrenables=41.3M | augment=True lr=0.0001 device=cuda
/home/joacoszterensus/miniconda3/envs/vsr-factors/lib/python3.8/site-packages/espnet2/asr/espnet_model.py:402: FutureWarning: `torch.cuda.amp.autocast(args...)` is deprecated. Please use `torch.amp.autocast('cuda', args...)` instead.
  with autocast(self.autocast_frontend, dtype=autocast_type):
ep1 it0/4818 loss=42.047
ep1 it100/4818 loss=66.454
ep1 it200/4818 loss=42.044
ep1 it300/4818 loss=66.828
ep1 it400/4818 loss=53.811
ep1 it500/4818 loss=104.972
ep1 it600/4818 loss=32.662
ep1 it700/4818 loss=72.263
ep1 it800/4818 loss=62.667
ep1 it900/4818 loss=37.485
ep1 it1000/4818 loss=32.590
ep1 it1100/4818 loss=26.442
ep1 it1200/4818 loss=62.516
ep1 it1300/4818 loss=43.529
ep1 it1400/4818 loss=191.180
ep1 it1500/4818 loss=59.718
ep1 it1600/4818 loss=28.120
ep1 it1700/4818 loss=33.011
ep1 it1800/4818 loss=120.330
ep1 it1900/4818 loss=108.075
ep1 it2000/4818 loss=31.478
ep1 it2100/4818 loss=45.858
ep1 it2200/4818 loss=23.407
ep1 it2300/4818 loss=55.557
ep1 it2400/4818 loss=26.796
ep1 it2500/4818 loss=28.043
ep1 it2600/4818 loss=91.546
ep1 it2700/4818 loss=40.896
ep1 it2800/4818 loss=47.496
ep1 it2900/4818 loss=52.233
ep1 it3000/4818 loss=41.156
ep1 it3100/4818 loss=63.635
ep1 it3200/4818 loss=50.249
ep1 it3300/4818 loss=100.396
ep1 it3400/4818 loss=72.571
ep1 it3500/4818 loss=132.514
ep1 it3600/4818 loss=101.618
ep1 it3700/4818 loss=77.546
ep1 it3800/4818 loss=55.202
ep1 it3900/4818 loss=19.971
ep1 it4000/4818 loss=75.884
ep1 it4100/4818 loss=61.668
ep1 it4200/4818 loss=61.170
ep1 it4300/4818 loss=50.591
ep1 it4400/4818 loss=58.215
ep1 it4500/4818 loss=12.554
ep1 it4600/4818 loss=71.178
ep1 it4700/4818 loss=32.095
ep1 it4800/4818 loss=20.187
== ep1 val_loss=53.8114 ==
  nuevo mejor (53.8114) -> best.pth
ep2 it0/4818 loss=164.353
ep2 it100/4818 loss=42.977
ep2 it200/4818 loss=103.360
ep2 it300/4818 loss=37.018
ep2 it400/4818 loss=55.368
ep2 it500/4818 loss=63.184
ep2 it600/4818 loss=28.644
ep2 it700/4818 loss=57.577
ep2 it800/4818 loss=68.498
ep2 it900/4818 loss=72.423
ep2 it1000/4818 loss=87.294
ep2 it1100/4818 loss=29.169
ep2 it1200/4818 loss=47.458
ep2 it1300/4818 loss=43.410
ep2 it1400/4818 loss=58.404
ep2 it1500/4818 loss=72.796
ep2 it1600/4818 loss=47.383
ep2 it1700/4818 loss=54.421
ep2 it1800/4818 loss=71.204
ep2 it1900/4818 loss=53.779
ep2 it2000/4818 loss=29.035
ep2 it2100/4818 loss=43.217
ep2 it2200/4818 loss=22.791
ep2 it2300/4818 loss=21.580
ep2 it2400/4818 loss=73.462
ep2 it2500/4818 loss=46.141
ep2 it2600/4818 loss=60.901
ep2 it2700/4818 loss=32.098
ep2 it2800/4818 loss=85.788
ep2 it2900/4818 loss=72.965
ep2 it3000/4818 loss=7.253
ep2 it3100/4818 loss=32.157
ep2 it3200/4818 loss=55.265
ep2 it3300/4818 loss=89.103
ep2 it3400/4818 loss=67.435
ep2 it3500/4818 loss=16.723
ep2 it3600/4818 loss=37.831
ep2 it3700/4818 loss=22.553
ep2 it3800/4818 loss=65.833
ep2 it3900/4818 loss=70.640
ep2 it4000/4818 loss=94.183
ep2 it4100/4818 loss=53.009
ep2 it4200/4818 loss=56.839
ep2 it4300/4818 loss=110.194
ep2 it4400/4818 loss=48.721
ep2 it4500/4818 loss=136.142
ep2 it4600/4818 loss=55.105
ep2 it4700/4818 loss=44.246
ep2 it4800/4818 loss=40.024
== ep2 val_loss=53.8636 ==
ep3 it0/4818 loss=28.065
ep3 it100/4818 loss=52.659
ep3 it200/4818 loss=25.935
ep3 it300/4818 loss=24.072
ep3 it400/4818 loss=63.389
ep3 it500/4818 loss=56.495
ep3 it600/4818 loss=44.713
ep3 it700/4818 loss=64.353
ep3 it800/4818 loss=64.878
ep3 it900/4818 loss=55.453
ep3 it1000/4818 loss=55.047
ep3 it1100/4818 loss=11.186
ep3 it1200/4818 loss=37.473
ep3 it1300/4818 loss=14.973
ep3 it1400/4818 loss=36.127
ep3 it1500/4818 loss=74.486
ep3 it1600/4818 loss=87.286
ep3 it1700/4818 loss=69.177
ep3 it1800/4818 loss=47.351
ep3 it1900/4818 loss=67.108
ep3 it2000/4818 loss=51.537
ep3 it2100/4818 loss=36.032
ep3 it2200/4818 loss=23.601
ep3 it2300/4818 loss=47.644
ep3 it2400/4818 loss=81.236
ep3 it2500/4818 loss=45.577
ep3 it2600/4818 loss=60.730
ep3 it2700/4818 loss=125.394
ep3 it2800/4818 loss=45.232
ep3 it2900/4818 loss=24.413
ep3 it3000/4818 loss=75.957
ep3 it3100/4818 loss=58.755
ep3 it3200/4818 loss=131.120
ep3 it3300/4818 loss=83.629
ep3 it3400/4818 loss=50.140
ep3 it3500/4818 loss=44.565
ep3 it3600/4818 loss=91.272
ep3 it3700/4818 loss=25.858
ep3 it3800/4818 loss=36.850
ep3 it3900/4818 loss=30.897
ep3 it4000/4818 loss=17.799
ep3 it4100/4818 loss=125.946
ep3 it4200/4818 loss=123.683
ep3 it4300/4818 loss=28.879
ep3 it4400/4818 loss=40.985
ep3 it4500/4818 loss=36.090
ep3 it4600/4818 loss=96.120
ep3 it4700/4818 loss=14.635
ep3 it4800/4818 loss=42.295
== ep3 val_loss=53.4784 ==
  nuevo mejor (53.4784) -> best.pth
ep4 it0/4818 loss=26.549
ep4 it100/4818 loss=46.526
ep4 it200/4818 loss=33.449
ep4 it300/4818 loss=20.611
ep4 it400/4818 loss=16.548
ep4 it500/4818 loss=33.758
ep4 it600/4818 loss=54.940
ep4 it700/4818 loss=63.143
ep4 it800/4818 loss=51.012
ep4 it900/4818 loss=29.022
ep4 it1000/4818 loss=55.551
ep4 it1100/4818 loss=26.778
ep4 it1200/4818 loss=34.557
ep4 it1300/4818 loss=45.351
ep4 it1400/4818 loss=36.410
ep4 it1500/4818 loss=17.467
ep4 it1600/4818 loss=15.999
ep4 it1700/4818 loss=101.584
ep4 it1800/4818 loss=57.411
ep4 it1900/4818 loss=122.974
ep4 it2000/4818 loss=42.628
ep4 it2100/4818 loss=35.495
ep4 it2200/4818 loss=54.492
ep4 it2300/4818 loss=62.330
ep4 it2400/4818 loss=54.586
ep4 it2500/4818 loss=88.456
ep4 it2600/4818 loss=27.301
ep4 it2700/4818 loss=54.193
ep4 it2800/4818 loss=34.151
ep4 it2900/4818 loss=37.081
ep4 it3000/4818 loss=40.212
ep4 it3100/4818 loss=51.096
ep4 it3200/4818 loss=50.703
ep4 it3300/4818 loss=33.410
ep4 it3400/4818 loss=27.725
ep4 it3500/4818 loss=91.910
ep4 it3600/4818 loss=77.819
ep4 it3700/4818 loss=57.782
ep4 it3800/4818 loss=115.173
ep4 it3900/4818 loss=90.966
ep4 it4000/4818 loss=50.327
ep4 it4100/4818 loss=70.947
ep4 it4200/4818 loss=78.604
ep4 it4300/4818 loss=53.415
ep4 it4400/4818 loss=37.106
ep4 it4500/4818 loss=39.966
ep4 it4600/4818 loss=82.344
ep4 it4700/4818 loss=64.428
ep4 it4800/4818 loss=72.255
== ep4 val_loss=54.3550 ==
ep5 it0/4818 loss=51.643
ep5 it100/4818 loss=57.869
ep5 it200/4818 loss=5.283
ep5 it300/4818 loss=15.725
ep5 it400/4818 loss=44.215
ep5 it500/4818 loss=20.589
ep5 it600/4818 loss=18.413
ep5 it700/4818 loss=72.041
ep5 it800/4818 loss=64.036
ep5 it900/4818 loss=56.915
ep5 it1000/4818 loss=37.340
ep5 it1100/4818 loss=33.787
ep5 it1200/4818 loss=14.288
ep5 it1300/4818 loss=36.156
ep5 it1400/4818 loss=73.577
ep5 it1500/4818 loss=65.916
ep5 it1600/4818 loss=15.007
ep5 it1700/4818 loss=36.553
ep5 it1800/4818 loss=12.062
ep5 it1900/4818 loss=62.351
ep5 it2000/4818 loss=42.464
ep5 it2100/4818 loss=47.749
ep5 it2200/4818 loss=41.063
ep5 it2300/4818 loss=62.775
ep5 it2400/4818 loss=57.363
ep5 it2500/4818 loss=95.144
ep5 it2600/4818 loss=34.203
ep5 it2700/4818 loss=63.317
ep5 it2800/4818 loss=42.178
ep5 it2900/4818 loss=48.334
ep5 it3000/4818 loss=25.591
ep5 it3100/4818 loss=21.171
ep5 it3200/4818 loss=32.906
ep5 it3300/4818 loss=6.706
ep5 it3400/4818 loss=26.048
ep5 it3500/4818 loss=59.132
ep5 it3600/4818 loss=21.553
ep5 it3700/4818 loss=67.101
ep5 it3800/4818 loss=106.639
ep5 it3900/4818 loss=75.740
ep5 it4000/4818 loss=66.550
ep5 it4100/4818 loss=89.076
ep5 it4200/4818 loss=85.174
ep5 it4300/4818 loss=41.320
ep5 it4400/4818 loss=47.115
ep5 it4500/4818 loss=32.943
ep5 it4600/4818 loss=31.674
ep5 it4700/4818 loss=63.577
ep5 it4800/4818 loss=26.301
== ep5 val_loss=53.5833 ==
