split,spk,titulo,clip,n_frames,texto,npz
test,f11,LE DIJE QUE SOY ARGENTINO - Story Time - CAP 91,clip_0001,112,ok estamos en vivo acabo de subir un video nuevo a mi canal de youtube sobre el curupi,data/processed/lip_rois/LE DIJE QUE SOY ARGENTINO - Story Time - CAP 91/clip_0001.npz
test,f11,LE DIJE QUE SOY ARGENTINO - Story Time - CAP 91,clip_0002,81,es un mito paraguayo lo deberian ver,data/processed/lip_rois/LE DIJE QUE SOY ARGENTINO - Story Time - CAP 91/clip_0002.npz
test,f11,LE DIJE QUE SOY ARGENTINO - Story Time - CAP 91,clip_0003,147,pero bueno creo que estamos con 7 dias seguidos haciendo lives,data/processed/lip_rois/LE DIJE QUE SOY ARGENTINO - Story Time - CAP 91/clip_0003.npz
test,f11,LE DIJE QUE SOY ARGENTINO - Story Time - CAP 91,clip_0004,139,que buena onda espero que la esten disfrutando como yo,data/processed/lip_rois/LE DIJE QUE SOY ARGENTINO - Story Time - CAP 91/clip_0004.npz
test,f11,LE DIJE QUE SOY ARGENTINO - Story Time - CAP 91,clip_0005,137,que haces andy todo bien como va la gente mientras todos estan entrando,data/processed/lip_rois/LE DIJE QUE SOY ARGENTINO - Story Time - CAP 91/clip_0005.npz
test,f11,LE DIJE QUE SOY ARGENTINO - Story Time - CAP 91,clip_0006,158,queria contarles una anecdota muy graciosa que haces moni que haces rama valen ana,data/processed/lip_rois/LE DIJE QUE SOY ARGENTINO - Story Time - CAP 91/clip_0006.npz
test,f11,LE DIJE QUE SOY ARGENTINO - Story Time - CAP 91,clip_0007,242,que buena onda que todos entran asi tan rapido enzo maximo lorito dominic marcelo tuti,data/processed/lip_rois/LE DIJE QUE SOY ARGENTINO - Story Time - CAP 91/clip_0007.npz
test,f11,LE DIJE QUE SOY ARGENTINO - Story Time - CAP 91,clip_0008,154,bueno vamos a arrancar con esto les queria contar una anecdota muy graciosa en mi vida,data/processed/lip_rois/LE DIJE QUE SOY ARGENTINO - Story Time - CAP 91/clip_0008.npz
test,f11,LE DIJE QUE SOY ARGENTINO - Story Time - CAP 91,clip_0009,160,donde ser argentino o por lo menos mentir y decirles que soy argentino me salvo la vida,data/processed/lip_rois/LE DIJE QUE SOY ARGENTINO - Story Time - CAP 91/clip_0009.npz
test,f11,LE DIJE QUE SOY ARGENTINO - Story Time - CAP 91,clip_0010,220,basicamente una vez hace ponele no se 4 o 5 años,data/processed/lip_rois/LE DIJE QUE SOY ARGENTINO - Story Time - CAP 91/clip_0010.npz
test,f11,LE DIJE QUE SOY ARGENTINO - Story Time - CAP 91,clip_0011,136,fui a viaje a montreal quebec canada,data/processed/lip_rois/LE DIJE QUE SOY ARGENTINO - Story Time - CAP 91/clip_0011.npz
test,f11,LE DIJE QUE SOY ARGENTINO - Story Time - CAP 91,clip_0012,112,donde se habla frances no una ciudad super super linda,data/processed/lip_rois/LE DIJE QUE SOY ARGENTINO - Story Time - CAP 91/clip_0012.npz
test,f11,LE DIJE QUE SOY ARGENTINO - Story Time - CAP 91,clip_0013,156,tengo varios amigos que viven en montreal especialmente en montreal  especialmente durante el verano en montreal,data/processed/lip_rois/LE DIJE QUE SOY ARGENTINO - Story Time - CAP 91/clip_0013.npz
